"Region","Location of Placement","Type of Placement","0 to 3 Years","4 to 6 Years","7 to 12 Years","13 to 17 Years","18 Years and Over","Total"
"Southwest Region","In State","Residential Treatment Center",0,0,1,11,1,13
"Southwest Region","In State","Connecticut Juvenile Training School",0,0,0,10,2,12
"Western Region","In State","Residential Treatment Center",0,0,0,9,2,11
"Central Region","Out of State","Total",2,-6666,1,3,4,10
"South Central Region","Out of State","Relative Foster Care",1,2,3,4,0,10
"Southwest Region","Out of State","Total",1,1,2,2,4,10
"Eastern Region","In State","Shelter",0,0,1,8,0,9
"Western Region","In State","Connecticut Juvenile Training School",0,0,0,7,2,9
"Western Region","Out of State","Total",4,1,1,2,-6666,8
"North Central Region","In State","Solnit Center",0,0,1,6,0,7
"South Central Region","In State","Connecticut Juvenile Training School",0,0,0,7,0,7
"South Central Region","In State","Solnit Center",0,0,1,6,0,7
"Western Region","Out of State","Relative Foster Care",4,1,1,1,-6666,7
"North Central Region","In State","Connecticut Juvenile Training School",0,0,0,6,0,6
"Southwest Region","Out of State","Relative Foster Care",1,1,2,2,0,6
"Central Region","In State","Connecticut Juvenile Training School",0,0,0,4,1,5
"Central Region","In State","Medical or Psychiatric Hospital Placement",1,1,1,1,1,5
"North Central Region","In State","Medical or Psychiatric Hospital Placement",2,1,2,0,0,5
"South Central Region","Out of State","Independent Living",0,0,0,0,5,5
"Central Region","Out of State","Independent Living",0,-6666,0,0,4,4
"Eastern Region","In State","Solnit Center",0,0,0,3,1,4
"Eastern Region","Out of State","Residential Treatment Center",0,0,0,3,1,4
"Western Region","In State","Shelter",0,0,0,4,0,4
"Central Region","In State","Solnit Center",0,0,0,2,1,3
"Central Region","Out of State","Foster Care",1,-6666,0,2,0,3
"Eastern Region","In State","Connecticut Juvenile Training School",0,0,0,3,0,3
"Eastern Region","Out of State","Foster Care",1,0,0,1,1,3
"North Central Region","Out of State","Foster Care",0,2,1,0,-6666,3
"South Central Region","In State","Medical or Psychiatric Hospital Placement",0,0,0,3,0,3
"South Central Region","In State","PDC or Safe Home",0,0,1,2,0,3
"South Central Region","Out of State","Therapeutic Foster Care",0,0,3,0,0,3
"Southwest Region","Out of State","Independent Living",0,0,0,0,3,3
"Central Region","In State","Shelter",0,0,0,1,1,2
"Central Region","Out of State","Therapeutic Foster Care",0,-6666,1,1,0,2
"Eastern Region","Out of State","Independent Living",0,0,0,0,2,2
"Eastern Region","Out of State","Special Study",2,0,0,0,0,2
"North Central Region","Out of State","Residential Treatment Center",0,0,1,1,-6666,2
"North Central Region","Out of State","Therapeutic Foster Care",0,0,1,1,-6666,2
"South Central Region","In State","Shelter",0,0,0,2,0,2
"Southwest Region","In State","Medical or Psychiatric Hospital Placement",0,0,1,1,0,2
"Southwest Region","In State","Solnit Center",0,0,0,2,0,2
"Western Region","In State","Medical or Psychiatric Hospital Placement",1,0,1,0,0,2
"Western Region","In State","PDC or Safe Home",0,0,0,2,0,2
"Western Region","In State","Solnit Center",0,0,0,2,0,2
"Central Region","Out of State","Relative Foster Care",1,-6666,0,0,0,1
"Eastern Region","In State","Medical or Psychiatric Hospital Placement",0,0,1,0,0,1
"Eastern Region","Out of State","Medical or Psychiatric Hospital Placement",0,0,0,1,0,1
"South Central Region","Out of State","Foster Care",1,0,0,0,0,1
"Southwest Region","In State","Shelter",0,0,0,1,0,1
"Southwest Region","Out of State","Residential Treatment Center",0,0,0,0,1,1
"Western Region","Out of State","Residential Treatment Center",0,0,0,1,-6666,1
"Central Region","In State","High Meadows",0,0,0,0,0,0
"Central Region","In State","PDC or Safe Home",0,0,0,0,0,0
"Central Region","Out of State","Connecticut Juvenile Training School",0,-6666,0,0,0,0
"Central Region","Out of State","Group Home",0,-6666,0,0,0,0
"Central Region","Out of State","High Meadows",0,-6666,0,0,0,0
"Central Region","Out of State","Medical or Psychiatric Hospital Placement",0,-6666,0,0,0,0
"Central Region","Out of State","PDC or Safe Home",0,-6666,0,0,0,0
"Central Region","Out of State","Residential Treatment Center",0,-6666,0,0,0,0
"Central Region","Out of State","Shelter",0,-6666,0,0,0,0
"Central Region","Out of State","Solnit Center",0,-6666,0,0,0,0
"Central Region","Out of State","Special Study",0,-6666,0,0,0,0
"Eastern Region","In State","High Meadows",0,0,0,0,0,0
"Eastern Region","In State","PDC or Safe Home",0,0,0,0,0,0
"Eastern Region","Out of State","Connecticut Juvenile Training School",0,0,0,0,0,0
"Eastern Region","Out of State","Group Home",0,0,0,0,0,0
"Eastern Region","Out of State","High Meadows",0,0,0,0,0,0
"Eastern Region","Out of State","PDC or Safe Home",0,0,0,0,0,0
"Eastern Region","Out of State","Shelter",0,0,0,0,0,0
"Eastern Region","Out of State","Solnit Center",0,0,0,0,0,0
"Eastern Region","Out of State","Therapeutic Foster Care",0,0,0,0,0,0
"North Central Region","In State","High Meadows",0,0,0,0,0,0
"North Central Region","In State","PDC or Safe Home",0,0,0,0,0,0
"North Central Region","Out of State","Connecticut Juvenile Training School",0,0,0,0,-6666,0
"North Central Region","Out of State","Group Home",0,0,0,0,-6666,0
"North Central Region","Out of State","High Meadows",0,0,0,0,-6666,0
"North Central Region","Out of State","Independent Living",0,0,0,0,-6666,0
"North Central Region","Out of State","Medical or Psychiatric Hospital Placement",0,0,0,0,-6666,0
"North Central Region","Out of State","PDC or Safe Home",0,0,0,0,-6666,0
"North Central Region","Out of State","Shelter",0,0,0,0,-6666,0
"North Central Region","Out of State","Solnit Center",0,0,0,0,-6666,0
"North Central Region","Out of State","Special Study",0,0,0,0,-6666,0
"South Central Region","In State","High Meadows",0,0,0,0,0,0
"South Central Region","Out of State","Connecticut Juvenile Training School",0,0,0,0,0,0
"South Central Region","Out of State","Group Home",0,0,0,0,0,0
"South Central Region","Out of State","High Meadows",0,0,0,0,0,0
"South Central Region","Out of State","Medical or Psychiatric Hospital Placement",0,0,0,0,0,0
"South Central Region","Out of State","PDC or Safe Home",0,0,0,0,0,0
"South Central Region","Out of State","Residential Treatment Center",0,0,0,0,0,0
"South Central Region","Out of State","Shelter",0,0,0,0,0,0
"South Central Region","Out of State","Solnit Center",0,0,0,0,0,0
"South Central Region","Out of State","Special Study",0,0,0,0,0,0
"Southwest Region","In State","High Meadows",0,0,0,0,0,0
"Southwest Region","In State","PDC or Safe Home",0,0,0,0,0,0
"Southwest Region","Out of State","Connecticut Juvenile Training School",0,0,0,0,0,0
"Southwest Region","Out of State","Foster Care",0,0,0,0,0,0
"Southwest Region","Out of State","Group Home",0,0,0,0,0,0
"Southwest Region","Out of State","High Meadows",0,0,0,0,0,0
"Southwest Region","Out of State","Medical or Psychiatric Hospital Placement",0,0,0,0,0,0
"Southwest Region","Out of State","PDC or Safe Home",0,0,0,0,0,0
"Southwest Region","Out of State","Shelter",0,0,0,0,0,0
"Southwest Region","Out of State","Solnit Center",0,0,0,0,0,0
"Southwest Region","Out of State","Special Study",0,0,0,0,0,0
"Southwest Region","Out of State","Therapeutic Foster Care",0,0,0,0,0,0
"Western Region","In State","High Meadows",0,0,0,0,0,0
"Western Region","Out of State","Connecticut Juvenile Training School",0,0,0,0,-6666,0
"Western Region","Out of State","Foster Care",0,0,0,0,-6666,0
"Western Region","Out of State","Group Home",0,0,0,0,-6666,0
"Western Region","Out of State","High Meadows",0,0,0,0,-6666,0
"Western Region","Out of State","Independent Living",0,0,0,0,-6666,0
"Western Region","Out of State","Medical or Psychiatric Hospital Placement",0,0,0,0,-6666,0
"Western Region","Out of State","PDC or Safe Home",0,0,0,0,-6666,0
"Western Region","Out of State","Shelter",0,0,0,0,-6666,0
"Western Region","Out of State","Solnit Center",0,0,0,0,-6666,0
"Western Region","Out of State","Special Study",0,0,0,0,-6666,0
"Western Region","Out of State","Therapeutic Foster Care",0,0,0,0,-6666,0
"Statewide","In State","Total",1155,523,811,1102,559,4150
"Statewide","In State","Relative Foster Care",563,259,356,188,27,1393
"Statewide","In State","Foster Care",463,168,226,225,81,1163
"Statewide","In State","Therapeutic Foster Care",32,50,148,288,129,647
"Statewide","In State","Special Study",93,44,61,90,16,304
"Statewide","In State","Group Home",0,0,4,117,97,218
"Statewide","In State","Independent Living",0,0,0,6,179,185
"Statewide","In State","Residential Treatment Center",0,0,6,91,18,115
"Statewide","Out of State","Total",21,-6650,20,20,-13314,95
"Statewide","Out of State","Relative Foster Care",16,-6652,13,9,-13331,53
"Statewide","In State","Connecticut Juvenile Training School",0,0,0,37,5,42
"Statewide","In State","Shelter",0,0,1,30,4,35
"Statewide","In State","Solnit Center",0,0,2,21,2,25
"Statewide","In State","Medical or Psychiatric Hospital Placement",4,2,6,5,1,18
"Statewide","Out of State","Independent Living",0,-6666,0,0,-13318,14
"Statewide","Out of State","Foster Care",3,-6664,1,3,-13331,10
"Statewide","Out of State","Residential Treatment Center",0,-6666,1,5,-13330,8
"Statewide","Out of State","Therapeutic Foster Care",0,-6666,5,2,-13332,7
"Statewide","In State","PDC or Safe Home",0,0,1,4,0,5
"Statewide","Out of State","Special Study",2,-6666,0,0,-13332,2
"Statewide","Out of State","Medical or Psychiatric Hospital Placement",0,-6666,0,1,-13332,1
"Statewide","In State","High Meadows",0,0,0,0,0,0
"Statewide","Out of State","Connecticut Juvenile Training School",0,-6666,0,0,-13332,0
"Statewide","Out of State","Group Home",0,-6666,0,0,-13332,0
"Statewide","Out of State","High Meadows",0,-6666,0,0,-13332,0
"Statewide","Out of State","PDC or Safe Home",0,-6666,0,0,-13332,0
"Statewide","Out of State","Shelter",0,-6666,0,0,-13332,0
"Statewide","Out of State","Solnit Center",0,-6666,0,0,-13332,0
