"Town","FIPS","Year","Allegation Type","Report Status","Measure Type","Variable","Value","Region","Category"
"Andover",901301080,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Andover",901301080,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",26,"North Central Region","Neglect"
"Andover",901301080,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Andover",901301080,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Neglect"
"Andover",901301080,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Andover",901301080,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Andover",901301080,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"North Central Region","Abuse"
"Ansonia",900901220,2017,"All","Alleged","Number","Child Abuse and Neglect",612,"South Central Region","All"
"Ansonia",900901220,2017,"All","Substantiated","Number","Child Abuse and Neglect",181,"South Central Region","All"
"Ansonia",900901220,2017,"All","Substantiated","Rate","Child Abuse and Neglect",29.58,"South Central Region","All"
"Ansonia",900901220,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"Ansonia",900901220,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"Ansonia",900901220,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"Ansonia",900901220,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",28,"South Central Region","Neglect"
"Ansonia",900901220,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",13,"South Central Region","Neglect"
"Ansonia",900901220,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",46.43,"South Central Region","Neglect"
"Ansonia",900901220,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",101,"South Central Region","Neglect"
"Ansonia",900901220,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",36,"South Central Region","Neglect"
"Ansonia",900901220,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",35.64,"South Central Region","Neglect"
"Ansonia",900901220,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"Ansonia",900901220,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"Ansonia",900901220,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"Ansonia",900901220,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",15,"South Central Region","Neglect"
"Ansonia",900901220,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"Ansonia",900901220,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"Ansonia",900901220,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",67,"South Central Region","Abuse"
"Ansonia",900901220,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",15,"South Central Region","Abuse"
"Ansonia",900901220,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",22.39,"South Central Region","Abuse"
"Ansonia",900901220,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",365,"South Central Region","Neglect"
"Ansonia",900901220,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",106,"South Central Region","Neglect"
"Ansonia",900901220,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",29.04,"South Central Region","Neglect"
"Ansonia",900901220,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",11,"South Central Region","Abuse"
"Ansonia",900901220,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Abuse"
"Ansonia",900901220,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Abuse"
"Ashford",901501430,2017,"All","Alleged","Number","Child Abuse and Neglect",30,"Eastern Region","All"
"Ashford",901501430,2017,"All","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","All"
"Ashford",901501430,2017,"All","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","All"
"Ashford",901501430,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Ashford",901501430,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Ashford",901501430,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Ashford",901501430,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ashford",901501430,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ashford",901501430,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ashford",901501430,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ashford",901501430,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ashford",901501430,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ashford",901501430,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Ashford",901501430,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Ashford",901501430,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Risk"
"Ashford",901501430,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ashford",901501430,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ashford",901501430,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ashford",901501430,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Ashford",901501430,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Ashford",901501430,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Ashford",901501430,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",20,"Eastern Region","Neglect"
"Ashford",901501430,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ashford",901501430,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Neglect"
"Ashford",901501430,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Ashford",901501430,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Ashford",901501430,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Eastern Region","Abuse"
"Avon",900302060,2017,"All","Alleged","Number","Child Abuse and Neglect",111,"Central Region","All"
"Avon",900302060,2017,"All","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","All"
"Avon",900302060,2017,"All","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","All"
"Avon",900302060,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Central Region","Risk"
"Avon",900302060,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Risk"
"Avon",900302060,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Risk"
"Avon",900302060,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Avon",900302060,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Avon",900302060,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Avon",900302060,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",15,"Central Region","Neglect"
"Avon",900302060,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Avon",900302060,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Avon",900302060,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Central Region","Risk"
"Avon",900302060,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Risk"
"Avon",900302060,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Risk"
"Avon",900302060,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Avon",900302060,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Avon",900302060,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Avon",900302060,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",15,"Central Region","Abuse"
"Avon",900302060,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Abuse"
"Avon",900302060,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Abuse"
"Avon",900302060,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",63,"Central Region","Neglect"
"Avon",900302060,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Avon",900302060,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Avon",900302060,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Central Region","Abuse"
"Avon",900302060,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Abuse"
"Avon",900302060,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Abuse"
"Barkhamsted",900502760,2017,"All","Alleged","Number","Child Abuse and Neglect",41,"Western Region","All"
"Barkhamsted",900502760,2017,"All","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","All"
"Barkhamsted",900502760,2017,"All","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","All"
"Barkhamsted",900502760,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Barkhamsted",900502760,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Barkhamsted",900502760,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Barkhamsted",900502760,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Barkhamsted",900502760,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Barkhamsted",900502760,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Barkhamsted",900502760,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",11,"Western Region","Neglect"
"Barkhamsted",900502760,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Barkhamsted",900502760,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Barkhamsted",900502760,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Barkhamsted",900502760,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Barkhamsted",900502760,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Barkhamsted",900502760,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Barkhamsted",900502760,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Barkhamsted",900502760,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Barkhamsted",900502760,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Barkhamsted",900502760,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Barkhamsted",900502760,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Barkhamsted",900502760,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",26,"Western Region","Neglect"
"Barkhamsted",900502760,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Barkhamsted",900502760,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Barkhamsted",900502760,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Barkhamsted",900502760,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Barkhamsted",900502760,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Beacon Falls",900903250,2017,"All","Alleged","Number","Child Abuse and Neglect",115,"Western Region","All"
"Beacon Falls",900903250,2017,"All","Substantiated","Number","Child Abuse and Neglect",43,"Western Region","All"
"Beacon Falls",900903250,2017,"All","Substantiated","Rate","Child Abuse and Neglect",37.39,"Western Region","All"
"Beacon Falls",900903250,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Beacon Falls",900903250,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Beacon Falls",900903250,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Beacon Falls",900903250,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Beacon Falls",900903250,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Beacon Falls",900903250,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Beacon Falls",900903250,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",37,"Western Region","Neglect"
"Beacon Falls",900903250,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",16,"Western Region","Neglect"
"Beacon Falls",900903250,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",43.24,"Western Region","Neglect"
"Beacon Falls",900903250,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Beacon Falls",900903250,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Beacon Falls",900903250,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Beacon Falls",900903250,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Beacon Falls",900903250,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Beacon Falls",900903250,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Beacon Falls",900903250,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Beacon Falls",900903250,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Beacon Falls",900903250,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Beacon Falls",900903250,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",63,"Western Region","Neglect"
"Beacon Falls",900903250,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",22,"Western Region","Neglect"
"Beacon Falls",900903250,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",34.92,"Western Region","Neglect"
"Beacon Falls",900903250,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Beacon Falls",900903250,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Beacon Falls",900903250,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Berlin",900304300,2017,"All","Alleged","Number","Child Abuse and Neglect",157,"Central Region","All"
"Berlin",900304300,2017,"All","Substantiated","Number","Child Abuse and Neglect",34,"Central Region","All"
"Berlin",900304300,2017,"All","Substantiated","Rate","Child Abuse and Neglect",21.66,"Central Region","All"
"Berlin",900304300,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Central Region","Risk"
"Berlin",900304300,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Risk"
"Berlin",900304300,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Risk"
"Berlin",900304300,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Berlin",900304300,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Berlin",900304300,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Berlin",900304300,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",29,"Central Region","Neglect"
"Berlin",900304300,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Berlin",900304300,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Berlin",900304300,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Central Region","Risk"
"Berlin",900304300,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Risk"
"Berlin",900304300,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Risk"
"Berlin",900304300,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Berlin",900304300,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Berlin",900304300,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Neglect"
"Berlin",900304300,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",17,"Central Region","Abuse"
"Berlin",900304300,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Abuse"
"Berlin",900304300,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Abuse"
"Berlin",900304300,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",93,"Central Region","Neglect"
"Berlin",900304300,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",22,"Central Region","Neglect"
"Berlin",900304300,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",23.66,"Central Region","Neglect"
"Berlin",900304300,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"Central Region","Abuse"
"Berlin",900304300,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Central Region","Abuse"
"Berlin",900304300,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Central Region","Abuse"
"Bethany",900904580,2017,"All","Alleged","Number","Child Abuse and Neglect",16,"South Central Region","All"
"Bethany",900904580,2017,"All","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","All"
"Bethany",900904580,2017,"All","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","All"
"Bethany",900904580,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"Bethany",900904580,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"Bethany",900904580,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"Bethany",900904580,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"Bethany",900904580,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"Bethany",900904580,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"Bethany",900904580,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"Bethany",900904580,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"Bethany",900904580,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"Bethany",900904580,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"Bethany",900904580,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"Bethany",900904580,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Risk"
"Bethany",900904580,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"Bethany",900904580,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"Bethany",900904580,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"Bethany",900904580,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"South Central Region","Abuse"
"Bethany",900904580,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Abuse"
"Bethany",900904580,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Abuse"
"Bethany",900904580,2017,"Physical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"Bethany",900904580,2017,"Physical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"Bethany",900904580,2017,"Physical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Neglect"
"Bethany",900904580,2017,"Sexual Abuse","Alleged","Number","Child Abuse and Neglect",-9999,"South Central Region","Abuse"
"Bethany",900904580,2017,"Sexual Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"South Central Region","Abuse"
"Bethany",900904580,2017,"Sexual Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"South Central Region","Abuse"
"Bethel",900104720,2017,"All","Alleged","Number","Child Abuse and Neglect",258,"Western Region","All"
"Bethel",900104720,2017,"All","Substantiated","Number","Child Abuse and Neglect",33,"Western Region","All"
"Bethel",900104720,2017,"All","Substantiated","Rate","Child Abuse and Neglect",12.79,"Western Region","All"
"Bethel",900104720,2017,"At Risk","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Bethel",900104720,2017,"At Risk","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Bethel",900104720,2017,"At Risk","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Bethel",900104720,2017,"Educational Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Bethel",900104720,2017,"Educational Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Bethel",900104720,2017,"Educational Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Bethel",900104720,2017,"Emotional Neglect","Alleged","Number","Child Abuse and Neglect",38,"Western Region","Neglect"
"Bethel",900104720,2017,"Emotional Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Bethel",900104720,2017,"Emotional Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Bethel",900104720,2017,"High Risk Newborn","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Bethel",900104720,2017,"High Risk Newborn","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Bethel",900104720,2017,"High Risk Newborn","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Risk"
"Bethel",900104720,2017,"Medical Neglect","Alleged","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Bethel",900104720,2017,"Medical Neglect","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Bethel",900104720,2017,"Medical Neglect","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Neglect"
"Bethel",900104720,2017,"Physical Abuse","Alleged","Number","Child Abuse and Neglect",37,"Western Region","Abuse"
"Bethel",900104720,2017,"Physical Abuse","Substantiated","Number","Child Abuse and Neglect",-9999,"Western Region","Abuse"
"Bethel",900104720,2017,"Physical Abuse","Substantiated","Rate","Child Abuse and Neglect",-9999,"Western Region","Abuse"
