"District","FIPS","Year","Incident Type","Variable","Measure Type","Value","R#","Region"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Weapons","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Drugs, Alcohol, Tobacco","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Violent Crimes Against Persons","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","School Policy Violations","Incidents","Number",1310,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Sexually Related Behavior","Incidents","Number",0,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Personally Threatening Behavior","Incidents","Number",28,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Theft Related Behaviors","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2013-2014","Physical and Verbal Confrontation","Incidents","Number",113,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2009-2010","Fighting and Battery","Incidents","Number",6,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2009-2010","Property Damage","Incidents","Number",0,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2009-2010","Weapons","Incidents","Number",0,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2009-2010","Drugs, Alcohol, Tobacco","Incidents","Number",0,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2010-2011","Violent Crimes Against Persons","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2010-2011","School Policy Violations","Incidents","Number",343,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2010-2011","Sexually Related Behavior","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2010-2011","Personally Threatening Behavior","Incidents","Number",28,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2010-2011","Theft Related Behaviors","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2010-2011","Physical and Verbal Confrontation","Incidents","Number",48,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2010-2011","Fighting and Battery","Incidents","Number",19,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2010-2011","Property Damage","Incidents","Number",9,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2010-2011","Weapons","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2010-2011","Drugs, Alcohol, Tobacco","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Violent Crimes Against Persons","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","School Policy Violations","Incidents","Number",659,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Sexually Related Behavior","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Personally Threatening Behavior","Incidents","Number",28,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Theft Related Behaviors","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Physical and Verbal Confrontation","Incidents","Number",26,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Fighting and Battery","Incidents","Number",47,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Property Damage","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Weapons","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2011-2012","Drugs, Alcohol, Tobacco","Incidents","Number",0,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Violent Crimes Against Persons","Incidents","Number",0,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","School Policy Violations","Incidents","Number",241,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Sexually Related Behavior","Incidents","Number",-9999,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Personally Threatening Behavior","Incidents","Number",16,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Theft Related Behaviors","Incidents","Number",6,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Physical and Verbal Confrontation","Incidents","Number",22,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Fighting and Battery","Incidents","Number",75,1,"Southwest"
"Achievement First Bridgeport Academy District",NA,"2012-2013","Property Damage","Incidents","Number",-9999,1,"Southwest"
"Achievement First Hartford Academy District",NA,"2009-2010","Violent Crimes Against Persons","Incidents","Number",0,4,"North Central"
"Achievement First Hartford Academy District",NA,"2009-2010","School Policy Violations","Incidents","Number",344,4,"North Central"
"Achievement First Hartford Academy District",NA,"2009-2010","Sexually Related Behavior","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2009-2010","Personally Threatening Behavior","Incidents","Number",11,4,"North Central"
"Achievement First Hartford Academy District",NA,"2009-2010","Theft Related Behaviors","Incidents","Number",7,4,"North Central"
"Achievement First Hartford Academy District",NA,"2009-2010","Physical and Verbal Confrontation","Incidents","Number",62,4,"North Central"
"Achievement First Hartford Academy District",NA,"2009-2010","Fighting and Battery","Incidents","Number",40,4,"North Central"
"Achievement First Hartford Academy District",NA,"2009-2010","Property Damage","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Property Damage","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2009-2010","Weapons","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2009-2010","Drugs, Alcohol, Tobacco","Incidents","Number",0,4,"North Central"
"Achievement First Hartford Academy District",NA,"2010-2011","Violent Crimes Against Persons","Incidents","Number",0,4,"North Central"
"Achievement First Hartford Academy District",NA,"2010-2011","School Policy Violations","Incidents","Number",623,4,"North Central"
"Achievement First Hartford Academy District",NA,"2010-2011","Sexually Related Behavior","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2010-2011","Personally Threatening Behavior","Incidents","Number",11,4,"North Central"
"Achievement First Hartford Academy District",NA,"2010-2011","Theft Related Behaviors","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2010-2011","Physical and Verbal Confrontation","Incidents","Number",78,4,"North Central"
"Achievement First Hartford Academy District",NA,"2010-2011","Fighting and Battery","Incidents","Number",28,4,"North Central"
"Achievement First Hartford Academy District",NA,"2010-2011","Property Damage","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2010-2011","Weapons","Incidents","Number",0,4,"North Central"
"Achievement First Hartford Academy District",NA,"2010-2011","Drugs, Alcohol, Tobacco","Incidents","Number",0,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Violent Crimes Against Persons","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","School Policy Violations","Incidents","Number",1606,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Sexually Related Behavior","Incidents","Number",9,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Personally Threatening Behavior","Incidents","Number",45,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Theft Related Behaviors","Incidents","Number",10,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Physical and Verbal Confrontation","Incidents","Number",81,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Fighting and Battery","Incidents","Number",37,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Property Damage","Incidents","Number",10,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Weapons","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2011-2012","Drugs, Alcohol, Tobacco","Incidents","Number",0,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Violent Crimes Against Persons","Incidents","Number",10,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","School Policy Violations","Incidents","Number",2626,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Sexually Related Behavior","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Personally Threatening Behavior","Incidents","Number",17,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Theft Related Behaviors","Incidents","Number",9,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Physical and Verbal Confrontation","Incidents","Number",223,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Fighting and Battery","Incidents","Number",45,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Property Damage","Incidents","Number",24,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Weapons","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2012-2013","Drugs, Alcohol, Tobacco","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Violent Crimes Against Persons","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","School Policy Violations","Incidents","Number",888,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Sexually Related Behavior","Incidents","Number",15,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Personally Threatening Behavior","Incidents","Number",37,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Theft Related Behaviors","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Physical and Verbal Confrontation","Incidents","Number",160,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Fighting and Battery","Incidents","Number",30,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Violent Crimes Against Persons","Incidents","Number",0,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Weapons","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Violent Crimes Against Persons","Incidents","Number",0,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","School Policy Violations","Incidents","Number",714,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Sexually Related Behavior","Incidents","Number",17,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Personally Threatening Behavior","Incidents","Number",55,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Theft Related Behaviors","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Physical and Verbal Confrontation","Incidents","Number",210,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Fighting and Battery","Incidents","Number",76,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Property Damage","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Weapons","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Drugs, Alcohol, Tobacco","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Personally Threatening Behavior","Incidents","Number",21,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","School Policy Violations","Incidents","Number",923,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Sexually Related Behavior","Incidents","Number",8,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Personally Threatening Behavior","Incidents","Number",26,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Theft Related Behaviors","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Physical and Verbal Confrontation","Incidents","Number",158,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Fighting and Battery","Incidents","Number",480,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Property Damage","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Weapons","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Drugs, Alcohol, Tobacco","Incidents","Number",7,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Violent Crimes Against Persons","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","School Policy Violations","Incidents","Number",1342,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Sexually Related Behavior","Incidents","Number",8,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Property Damage","Incidents","Number",6,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Theft Related Behaviors","Incidents","Number",6,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Physical and Verbal Confrontation","Incidents","Number",146,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Fighting and Battery","Incidents","Number",139,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Weapons","Incidents","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Drugs, Alcohol, Tobacco","Incidents","Number",0,4,"North Central"
"Amistad Academy District",NA,"2009-2010","Weapons","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2013-2014","School Policy Violations","Incidents","Number",1523,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Sexually Related Behavior","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Personally Threatening Behavior","Incidents","Number",56,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Theft Related Behaviors","Incidents","Number",14,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Physical and Verbal Confrontation","Incidents","Number",181,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Fighting and Battery","Incidents","Number",86,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Property Damage","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Weapons","Incidents","Number",7,2,"South Central"
"Amistad Academy District",NA,"2009-2010","Drugs, Alcohol, Tobacco","Incidents","Number",0,2,"South Central"
"Amistad Academy District",NA,"2010-2011","Violent Crimes Against Persons","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2010-2011","School Policy Violations","Incidents","Number",222,2,"South Central"
"Amistad Academy District",NA,"2010-2011","Sexually Related Behavior","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2010-2011","Personally Threatening Behavior","Incidents","Number",14,2,"South Central"
"Amistad Academy District",NA,"2010-2011","Theft Related Behaviors","Incidents","Number",8,2,"South Central"
"Amistad Academy District",NA,"2010-2011","Physical and Verbal Confrontation","Incidents","Number",43,2,"South Central"
"Amistad Academy District",NA,"2010-2011","Fighting and Battery","Incidents","Number",6,2,"South Central"
"Amistad Academy District",NA,"2010-2011","Property Damage","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2010-2011","Weapons","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2010-2011","Drugs, Alcohol, Tobacco","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Violent Crimes Against Persons","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2011-2012","School Policy Violations","Incidents","Number",369,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Sexually Related Behavior","Incidents","Number",8,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Personally Threatening Behavior","Incidents","Number",21,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Theft Related Behaviors","Incidents","Number",8,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Physical and Verbal Confrontation","Incidents","Number",64,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Fighting and Battery","Incidents","Number",16,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Property Damage","Incidents","Number",0,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Weapons","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Drugs, Alcohol, Tobacco","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Violent Crimes Against Persons","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2012-2013","School Policy Violations","Incidents","Number",1520,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Sexually Related Behavior","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Personally Threatening Behavior","Incidents","Number",31,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Theft Related Behaviors","Incidents","Number",15,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Physical and Verbal Confrontation","Incidents","Number",134,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Fighting and Battery","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Property Damage","Incidents","Number",9,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Weapons","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Drugs, Alcohol, Tobacco","Incidents","Number",0,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Violent Crimes Against Persons","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2009-2010","Violent Crimes Against Persons","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2009-2010","School Policy Violations","Incidents","Number",198,2,"South Central"
"Amistad Academy District",NA,"2009-2010","Sexually Related Behavior","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2009-2010","Personally Threatening Behavior","Incidents","Number",16,2,"South Central"
"Amistad Academy District",NA,"2009-2010","Theft Related Behaviors","Incidents","Number",7,2,"South Central"
"Amistad Academy District",NA,"2009-2010","Physical and Verbal Confrontation","Incidents","Number",64,2,"South Central"
"Amistad Academy District",NA,"2009-2010","Fighting and Battery","Incidents","Number",21,2,"South Central"
"Amistad Academy District",NA,"2009-2010","Property Damage","Incidents","Number",6,2,"South Central"
"Amistad Academy District",NA,"2015-2016","School Policy Violations","Incidents","Number",588,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Violent Crimes Against Persons","Incidents","Number",0,2,"South Central"
"Amistad Academy District",NA,"2014-2015","School Policy Violations","Incidents","Number",1024,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Sexually Related Behavior","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Personally Threatening Behavior","Incidents","Number",40,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Theft Related Behaviors","Incidents","Number",13,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Physical and Verbal Confrontation","Incidents","Number",201,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Fighting and Battery","Incidents","Number",47,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Property Damage","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Weapons","Incidents","Number",0,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Drugs, Alcohol, Tobacco","Incidents","Number",0,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Violent Crimes Against Persons","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Theft Related Behaviors","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Sexually Related Behavior","Incidents","Number",10,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Personally Threatening Behavior","Incidents","Number",25,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Theft Related Behaviors","Incidents","Number",15,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Physical and Verbal Confrontation","Incidents","Number",212,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Fighting and Battery","Incidents","Number",9,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Property Damage","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Weapons","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Drugs, Alcohol, Tobacco","Incidents","Number",7,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Violent Crimes Against Persons","Incidents","Number",0,2,"South Central"
"Amistad Academy District",NA,"2016-2017","School Policy Violations","Incidents","Number",567,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Sexually Related Behavior","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Personally Threatening Behavior","Incidents","Number",10,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Weapons","Incidents","Number",-9999,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Physical and Verbal Confrontation","Incidents","Number",260,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Fighting and Battery","Incidents","Number",27,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Property Damage","Incidents","Number",10,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Drugs, Alcohol, Tobacco","Incidents","Number",-9999,2,"South Central"
"Andover School District",NA,"2013-2014","Drugs, Alcohol, Tobacco","Incidents","Number",0,4,"North Central"
"Andover School District",NA,"2009-2010","Violent Crimes Against Persons","Incidents","Number",-6666,4,"North Central"
"Andover School District",NA,"2009-2010","School Policy Violations","Incidents","Number",-6666,4,"North Central"
"Andover School District",NA,"2009-2010","Sexually Related Behavior","Incidents","Number",-6666,4,"North Central"
"Andover School District",NA,"2009-2010","Personally Threatening Behavior","Incidents","Number",-6666,4,"North Central"
"Andover School District",NA,"2009-2010","Theft Related Behaviors","Incidents","Number",-6666,4,"North Central"
"Andover School District",NA,"2009-2010","Physical and Verbal Confrontation","Incidents","Number",-6666,4,"North Central"
"Andover School District",NA,"2009-2010","Fighting and Battery","Incidents","Number",-6666,4,"North Central"
"Andover School District",NA,"2009-2010","Property Damage","Incidents","Number",-6666,4,"North Central"
"Andover School District",NA,"2009-2010","Weapons","Incidents","Number",-6666,4,"North Central"
"Andover School District",NA,"2014-2015","Violent Crimes Against Persons","Incidents","Number",0,4,"North Central"
"Andover School District",NA,"2014-2015","School Policy Violations","Incidents","Number",0,4,"North Central"
"Andover School District",NA,"2014-2015","Sexually Related Behavior","Incidents","Number",-9999,4,"North Central"
"Andover School District",NA,"2014-2015","Personally Threatening Behavior","Incidents","Number",-9999,4,"North Central"
"Andover School District",NA,"2014-2015","Theft Related Behaviors","Incidents","Number",0,4,"North Central"
"Andover School District",NA,"2014-2015","Physical and Verbal Confrontation","Incidents","Number",0,4,"North Central"
"Andover School District",NA,"2014-2015","Fighting and Battery","Incidents","Number",0,4,"North Central"
"Andover School District",NA,"2014-2015","Property Damage","Incidents","Number",0,4,"North Central"
"Andover School District",NA,"2014-2015","Weapons","Incidents","Number",0,4,"North Central"
"Andover School District",NA,"2014-2015","Drugs, Alcohol, Tobacco","Incidents","Number",0,4,"North Central"
"Andover School District",NA,"2015-2016","Violent Crimes Against Persons","Incidents","Number",0,4,"North Central"
"Andover School District",NA,"2015-2016","School Policy Violations","Incidents","Number",0,4,"North Central"
