"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value"
"Achievement First Hartford Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",8.9
"Achievement First Hartford Academy District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",870
"Achievement First Hartford Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",954
"Achievement First Hartford Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",100
"Achievement First Hartford Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",55
"Achievement First Hartford Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",5.8
"Achievement First Hartford Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",91
"Achievement First Hartford Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",9.5
"Achievement First Hartford Academy District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",954
"Achievement First Hartford Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1063
"Achievement First Hartford Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",100
"Achievement First Hartford Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",52
"Achievement First Hartford Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",4.9
"Achievement First Hartford Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",115
"Achievement First Hartford Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",10.8
"Achievement First Hartford Academy District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",1063
"Achievement First Hartford Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1066
"Achievement First Hartford Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",100
"Achievement First Hartford Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",33
"Achievement First Hartford Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",3.1
"Achievement First Hartford Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",111
"Achievement First Hartford Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",10.4
"Achievement First Hartford Academy District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",1066
"Achievement First Hartford Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",-9999
"Achievement First Hartford Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",-9999
"Achievement First Hartford Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",45
"Achievement First Hartford Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",3.9
"Achievement First Hartford Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",125
"Achievement First Hartford Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",10.9
"Achievement First Hartford Academy District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",1149
"Amistad Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",690
"Amistad Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",80.5
"Amistad Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",102
"Amistad Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",11.9
"Amistad Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",51
"Amistad Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",6
"Amistad Academy District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",857
"Amistad Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",733
"Amistad Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",81.1
"Amistad Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",74
"Amistad Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",8.2
"Amistad Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",45
"Amistad Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",5
"Amistad Academy District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",904
"Amistad Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",792
"Amistad Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",84.5
"Amistad Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",102
"Amistad Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",10.9
"Amistad Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",51
"Amistad Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",5.4
"Amistad Academy District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",937
"Amistad Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",800
"Amistad Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",81.3
"Amistad Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",115
"Amistad Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",11.7
"Amistad Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",50
"Amistad Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",5.1
"Amistad Academy District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",984
"Amistad Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",862
"Amistad Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",83.2
"Amistad Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",106
"Amistad Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",10.2
"Amistad Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",57
"Amistad Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",5.5
"Amistad Academy District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",1036
"Amistad Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",768
"Amistad Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",72.7
"Amistad Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",116
"Amistad Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",11
"Amistad Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",59
"Amistad Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",5.6
"Amistad Academy District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",1057
"Amistad Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1057
"Amistad Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",97.8
"Amistad Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",122
"Amistad Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",11.3
"Amistad Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",61
"Amistad Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",5.6
"Amistad Academy District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",1081
"Andover School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",32
"Andover School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",10.2
"Andover School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",-9999
"Andover School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",-9999
"Andover School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",24
"Andover School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",7.6
"Andover School District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",314
"Andover School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",44
"Andover School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",14
"Andover School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",-9999
"Andover School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",-9999
"Andover School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",25
"Andover School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",7.9
"Andover School District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",315
"Andover School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",43
"Andover School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",14.4
"Andover School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",-9999
"Andover School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",-9999
"Andover School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",22
"Andover School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",7.4
"Andover School District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",299
"Andover School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",37
"Andover School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",13.5
"Andover School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",-9999
"Andover School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",-9999
"Andover School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",20
"Andover School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",7.3
"Andover School District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",275
"Andover School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",41
"Andover School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",16.4
"Andover School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",-9999
"Andover School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",-9999
"Andover School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",17
"Andover School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",6.8
"Andover School District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",250
"Andover School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",41
"Andover School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",18.2
"Andover School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",-9999
"Andover School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",-9999
"Andover School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",10
"Andover School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",4.4
"Andover School District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",225
"Andover School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",40
"Andover School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",19.6
"Andover School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",-9999
"Andover School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",-9999
"Andover School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",-9999
"Andover School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",-9999
"Andover School District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",204
"Ansonia School District",900901220,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1521
"Ansonia School District",900901220,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",60.2
"Ansonia School District",900901220,"2011-2012","Indicator of Educational Need","English Language Learner","Number",77
"Ansonia School District",900901220,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",3
"Ansonia School District",900901220,"2011-2012","Indicator of Educational Need","Special Education","Number",282
"Ansonia School District",900901220,"2011-2012","Indicator of Educational Need","Special Education","Percent",11.2
"Ansonia School District",900901220,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",2526
"Ansonia School District",900901220,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1621
"Ansonia School District",900901220,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",66.8
"Ansonia School District",900901220,"2012-2013","Indicator of Educational Need","English Language Learner","Number",69
"Ansonia School District",900901220,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",2.8
"Ansonia School District",900901220,"2012-2013","Indicator of Educational Need","Special Education","Number",293
"Ansonia School District",900901220,"2012-2013","Indicator of Educational Need","Special Education","Percent",12.1
"Ansonia School District",900901220,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",2425
"Ansonia School District",900901220,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1544
"Ansonia School District",900901220,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",66
"Ansonia School District",900901220,"2013-2014","Indicator of Educational Need","English Language Learner","Number",84
"Ansonia School District",900901220,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",3.6
"Ansonia School District",900901220,"2013-2014","Indicator of Educational Need","Special Education","Number",318
"Ansonia School District",900901220,"2013-2014","Indicator of Educational Need","Special Education","Percent",13.6
"Ansonia School District",900901220,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",2338
"Ansonia School District",900901220,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1609
"Ansonia School District",900901220,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",66.6
"Ansonia School District",900901220,"2014-2015","Indicator of Educational Need","English Language Learner","Number",72
"Ansonia School District",900901220,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",3
"Ansonia School District",900901220,"2014-2015","Indicator of Educational Need","Special Education","Number",394
"Ansonia School District",900901220,"2014-2015","Indicator of Educational Need","Special Education","Percent",16.3
"Ansonia School District",900901220,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",2415
"Ansonia School District",900901220,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1634
"Ansonia School District",900901220,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",68.6
"Ansonia School District",900901220,"2015-2016","Indicator of Educational Need","English Language Learner","Number",66
"Ansonia School District",900901220,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",2.8
"Ansonia School District",900901220,"2015-2016","Indicator of Educational Need","Special Education","Number",428
"Ansonia School District",900901220,"2015-2016","Indicator of Educational Need","Special Education","Percent",18
"Ansonia School District",900901220,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",2382
"Ansonia School District",900901220,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1597
"Ansonia School District",900901220,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",67.6
"Ansonia School District",900901220,"2016-2017","Indicator of Educational Need","English Language Learner","Number",81
"Ansonia School District",900901220,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",3.4
"Ansonia School District",900901220,"2016-2017","Indicator of Educational Need","Special Education","Number",459
"Ansonia School District",900901220,"2016-2017","Indicator of Educational Need","Special Education","Percent",19.4
"Ansonia School District",900901220,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",2364
"Ansonia School District",900901220,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1582
"Ansonia School District",900901220,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",68.7
"Ansonia School District",900901220,"2017-2018","Indicator of Educational Need","English Language Learner","Number",90
"Ansonia School District",900901220,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",3.9
"Ansonia School District",900901220,"2017-2018","Indicator of Educational Need","Special Education","Number",457
"Ansonia School District",900901220,"2017-2018","Indicator of Educational Need","Special Education","Percent",19.8
"Ansonia School District",900901220,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",2304
"Area Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",925
"Area Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",47.3
"Area Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",41
"Area Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",2.1
"Area Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",702
"Area Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",35.9
"Area Cooperative Educational Services",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",1955
"Area Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",910
"Area Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",47.1
"Area Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",42
"Area Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",2.2
"Area Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",699
"Area Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",36.2
"Area Cooperative Educational Services",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",1932
"Area Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1093
"Area Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",56.5
"Area Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",46
"Area Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",2.4
"Area Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",734
"Area Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",38
"Area Cooperative Educational Services",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",1933
"Area Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1130
"Area Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",58.3
"Area Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",56
"Area Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",2.9
"Area Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",747
"Area Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",38.5
"Area Cooperative Educational Services",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",1939
"Area Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1340
"Area Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",68.8
"Area Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",54
"Area Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",2.8
"Area Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",742
"Area Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",38.1
"Area Cooperative Educational Services",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",1948
