"Region","Location of Placement","Type of Placement","Race/Ethnicity","Value"
"South Central Region","In State","Group Home","Total",35
"Southwest Region","In State","Special Study","Total",35
"Eastern Region","In State","Independent Living","Total",34
"Southwest Region","In State","Therapeutic Foster Care","Black",34
"Central Region","In State","Special Study","Total",33
"Eastern Region","In State","Foster Care","Black",33
"Western Region","In State","Special Study","White",30
"Eastern Region","In State","Residential Treatment Center","Total",28
"Western Region","In State","Relative Foster Care","Other",28
"Eastern Region","Out of State","Total","Total",27
"North Central Region","In State","Relative Foster Care","Other",27
"Western Region","In State","Foster Care","Black",27
"Western Region","In State","Special Study","Hispanic",27
"North Central Region","In State","Special Study","Hispanic",26
"Western Region","In State","Therapeutic Foster Care","Black",26
"Eastern Region","In State","Group Home","White",23
"North Central Region","In State","Group Home","Hispanic",23
"North Central Region","In State","Therapeutic Foster Care","White",23
"South Central Region","In State","Therapeutic Foster Care","White",23
"Southwest Region","In State","Group Home","Total",23
"Eastern Region","In State","Special Study","White",22
"North Central Region","In State","Special Study","Black",22
"North Central Region","In State","Residential Treatment Center","Total",22
"South Central Region","In State","Residential Treatment Center","Total",22
"Eastern Region","In State","Therapeutic Foster Care","Hispanic",21
"North Central Region","In State","Independent Living","Black",21
"North Central Region","In State","Foster Care","Other",21
"North Central Region","Out of State","Total","Total",21
"Southwest Region","In State","Relative Foster Care","White",21
"Western Region","In State","Group Home","Total",21
"Central Region","In State","Residential Treatment Center","Total",19
"North Central Region","In State","Special Study","White",19
"South Central Region","In State","Independent Living","Black",19
"South Central Region","Out of State","Total","Total",19
"Central Region","In State","Group Home","Hispanic",18
"South Central Region","In State","Group Home","Black",18
"Southwest Region","In State","Independent Living","Total",18
"Western Region","In State","Foster Care","Other",18
"Western Region","In State","Therapeutic Foster Care","Other",18
"Eastern Region","In State","Relative Foster Care","Black",17
"Eastern Region","In State","Independent Living","White",17
"North Central Region","In State","Group Home","Black",17
"North Central Region","In State","Shelter","Total",17
"Southwest Region","In State","Special Study","Black",17
"Central Region","In State","Foster Care","Black",16
"Central Region","In State","Special Study","Hispanic",16
"Southwest Region","In State","Foster Care","White",16
"Central Region","In State","Therapeutic Foster Care","Black",15
"Central Region","In State","Foster Care","Other",15
"Central Region","In State","Group Home","White",15
"Eastern Region","In State","Therapeutic Foster Care","Black",15
"Eastern Region","Out of State","Relative Foster Care","Total",15
"Eastern Region","Out of State","Total","White",15
"South Central Region","In State","Independent Living","Hispanic",15
"Western Region","In State","Independent Living","Total",15
"Central Region","In State","Relative Foster Care","Other",14
"Central Region","In State","Therapeutic Foster Care","Other",14
"Central Region","In State","Independent Living","White",14
"Eastern Region","In State","Residential Treatment Center","Hispanic",14
"Eastern Region","In State","Special Study","Hispanic",14
"North Central Region","Out of State","Relative Foster Care","Total",14
"South Central Region","In State","Foster Care","Other",14
"Southwest Region","In State","Group Home","Black",14
"Southwest Region","In State","Special Study","Hispanic",14
"Southwest Region","In State","Foster Care","Other",14
"Western Region","In State","Special Study","Black",14
"Eastern Region","In State","Residential Treatment Center","White",13
"North Central Region","In State","Group Home","White",13
"North Central Region","Out of State","Total","Hispanic",13
"South Central Region","In State","Special Study","Hispanic",13
"South Central Region","In State","Relative Foster Care","Other",13
"Southwest Region","In State","Residential Treatment Center","Total",13
"Central Region","In State","Independent Living","Hispanic",12
"South Central Region","In State","Special Study","Black",12
"South Central Region","Out of State","Total","Black",12
"Southwest Region","In State","Connecticut Juvenile Training School","Total",12
"Central Region","In State","Residential Treatment Center","Hispanic",11
"Central Region","In State","Special Study","White",11
"North Central Region","In State","Independent Living","Hispanic",11
"Western Region","In State","Residential Treatment Center","Total",11
"Central Region","In State","Independent Living","Black",10
"Central Region","Out of State","Total","Total",10
"Eastern Region","In State","Special Study","Other",10
"North Central Region","Out of State","Relative Foster Care","Hispanic",10
"South Central Region","Out of State","Relative Foster Care","Total",10
"Southwest Region","In State","Connecticut Juvenile Training School","Black",10
"Southwest Region","In State","Independent Living","Black",10
"Southwest Region","Out of State","Total","Total",10
"Western Region","In State","Group Home","Hispanic",10
"Eastern Region","In State","Therapeutic Foster Care","Other",9
"Eastern Region","In State","Shelter","Total",9
"North Central Region","In State","Residential Treatment Center","Hispanic",9
"South Central Region","In State","Therapeutic Foster Care","Other",9
"Southwest Region","In State","Relative Foster Care","Other",9
"Western Region","In State","Connecticut Juvenile Training School","Total",9
"Eastern Region","In State","Independent Living","Hispanic",8
"Eastern Region","Out of State","Relative Foster Care","White",8
"North Central Region","In State","Residential Treatment Center","Black",8
"Western Region","In State","Group Home","White",8
"Western Region","In State","Residential Treatment Center","White",8
"Western Region","Out of State","Total","Total",8
"Central Region","In State","Group Home","Black",7
"Central Region","Out of State","Total","White",7
"Eastern Region","In State","Special Study","Black",7
"Eastern Region","Out of State","Total","Black",7
"North Central Region","In State","Solnit Center","Total",7
"North Central Region","In State","Shelter","White",7
"South Central Region","In State","Connecticut Juvenile Training School","Black",7
"South Central Region","In State","Group Home","Hispanic",7
"South Central Region","In State","Connecticut Juvenile Training School","Total",7
"South Central Region","In State","Solnit Center","Total",7
"South Central Region","In State","Group Home","White",7
"South Central Region","In State","Independent Living","White",7
"South Central Region","In State","Residential Treatment Center","White",7
"Southwest Region","In State","Therapeutic Foster Care","Other",7
"Western Region","Out of State","Relative Foster Care","Total",7
"Central Region","In State","Relative Foster Care","Black",6
"Eastern Region","In State","Group Home","Black",6
"Eastern Region","In State","Group Home","Hispanic",6
"North Central Region","In State","Connecticut Juvenile Training School","Total",6
"South Central Region","In State","Residential Treatment Center","Black",6
"South Central Region","In State","Special Study","White",6
"South Central Region","Out of State","Relative Foster Care","Black",6
"Southwest Region","In State","Independent Living","Hispanic",6
"Southwest Region","In State","Residential Treatment Center","Hispanic",6
"Southwest Region","Out of State","Relative Foster Care","Total",6
"Southwest Region","Out of State","Total","White",6
"Western Region","In State","Independent Living","White",6
"Central Region","In State","Connecticut Juvenile Training School","Total",5
"Central Region","In State","Medical or Psychiatric Hospital Placement","Total",5
"Central Region","In State","Residential Treatment Center","White",5
"Eastern Region","In State","Independent Living","Black",5
"Eastern Region","In State","Group Home","Other",5
"Eastern Region","Out of State","Relative Foster Care","Black",5
"North Central Region","In State","Connecticut Juvenile Training School","Black",5
"North Central Region","In State","Shelter","Black",5
"North Central Region","In State","Shelter","Hispanic",5
"North Central Region","In State","Therapeutic Foster Care","Other",5
"North Central Region","In State","Medical or Psychiatric Hospital Placement","Total",5
"South Central Region","In State","Residential Treatment Center","Other",5
"South Central Region","In State","Special Study","Other",5
"South Central Region","Out of State","Independent Living","Total",5
"Southwest Region","Out of State","Relative Foster Care","White",5
"Western Region","In State","Special Study","Other",5
"Central Region","Out of State","Independent Living","Total",4
"Eastern Region","In State","Independent Living","Other",4
"Eastern Region","In State","Solnit Center","Total",4
"Eastern Region","In State","Shelter","White",4
"Eastern Region","Out of State","Residential Treatment Center","Total",4
"North Central Region","In State","Group Home","Other",4
"North Central Region","In State","Independent Living","Other",4
"North Central Region","In State","Special Study","Other",4
"North Central Region","In State","Solnit Center","White",4
"North Central Region","Out of State","Total","Other",4
"South Central Region","In State","Residential Treatment Center","Hispanic",4
"South Central Region","Out of State","Total","White",4
"Southwest Region","In State","Group Home","Hispanic",4
"Southwest Region","In State","Residential Treatment Center","White",4
"Southwest Region","In State","Therapeutic Foster Care","White",4
"Western Region","In State","Connecticut Juvenile Training School","Hispanic",4
"Western Region","In State","Independent Living","Hispanic",4
"Western Region","In State","Shelter","Total",4
"Western Region","Out of State","Relative Foster Care","Hispanic",4
"Western Region","Out of State","Total","Hispanic",4
"Western Region","Out of State","Total","White",4
"Central Region","In State","Special Study","Black",3
"Central Region","In State","Connecticut Juvenile Training School","Hispanic",3
"Central Region","In State","Special Study","Other",3
"Central Region","In State","Solnit Center","Total",3
"Central Region","In State","Solnit Center","White",3
"Central Region","Out of State","Foster Care","Total",3
"Eastern Region","In State","Shelter","Hispanic",3
"Eastern Region","In State","Connecticut Juvenile Training School","Total",3
"Eastern Region","Out of State","Total","Other",3
"Eastern Region","Out of State","Foster Care","Total",3
"North Central Region","In State","Residential Treatment Center","White",3
"North Central Region","Out of State","Foster Care","Hispanic",3
"North Central Region","Out of State","Relative Foster Care","Other",3
"North Central Region","Out of State","Foster Care","Total",3
"South Central Region","In State","Solnit Center","Hispanic",3
"South Central Region","In State","Group Home","Other",3
"South Central Region","In State","Independent Living","Other",3
"South Central Region","In State","Medical or Psychiatric Hospital Placement","Total",3
"South Central Region","In State","PDC or Safe Home","Total",3
"South Central Region","Out of State","Therapeutic Foster Care","Black",3
"South Central Region","Out of State","Total","Hispanic",3
"South Central Region","Out of State","Therapeutic Foster Care","Total",3
"Southwest Region","In State","Residential Treatment Center","Black",3
"Southwest Region","In State","Group Home","Other",3
"Southwest Region","In State","Special Study","White",3
"Southwest Region","Out of State","Total","Black",3
"Southwest Region","Out of State","Independent Living","Total",3
"Western Region","In State","Connecticut Juvenile Training School","Black",3
"Western Region","In State","Independent Living","Black",3
"Western Region","In State","Shelter","White",3
"Western Region","Out of State","Relative Foster Care","White",3
"Central Region","In State","Medical or Psychiatric Hospital Placement","Black",2
"Central Region","In State","Residential Treatment Center","Black",2
"Central Region","In State","Medical or Psychiatric Hospital Placement","Hispanic",2
"Central Region","In State","Group Home","Other",2
"Central Region","In State","Shelter","Total",2
"Central Region","Out of State","Independent Living","Black",2
"Central Region","Out of State","Total","Black",2
"Central Region","Out of State","Therapeutic Foster Care","Total",2
"Central Region","Out of State","Foster Care","White",2
"Central Region","Out of State","Independent Living","White",2
"Central Region","Out of State","Therapeutic Foster Care","White",2
"Eastern Region","In State","Solnit Center","Hispanic",2
"Eastern Region","In State","Connecticut Juvenile Training School","White",2
"Eastern Region","Out of State","Total","Hispanic",2
"Eastern Region","Out of State","Independent Living","Total",2
"Eastern Region","Out of State","Special Study","Total",2
"Eastern Region","Out of State","Foster Care","White",2
"Eastern Region","Out of State","Residential Treatment Center","White",2
"Eastern Region","Out of State","Special Study","White",2
"North Central Region","In State","Medical or Psychiatric Hospital Placement","Other",2
"North Central Region","In State","Residential Treatment Center","Other",2
"North Central Region","In State","Solnit Center","Other",2
"North Central Region","In State","Independent Living","White",2
"North Central Region","In State","Medical or Psychiatric Hospital Placement","White",2
"North Central Region","Out of State","Total","Black",2
"North Central Region","Out of State","Residential Treatment Center","Total",2
"North Central Region","Out of State","Therapeutic Foster Care","Total",2
"North Central Region","Out of State","Total","White",2
"South Central Region","In State","Medical or Psychiatric Hospital Placement","Black",2
"South Central Region","In State","Solnit Center","Black",2
"South Central Region","In State","Shelter","Total",2
"South Central Region","In State","Shelter","White",2
"South Central Region","In State","Solnit Center","White",2
"South Central Region","Out of State","Independent Living","Black",2
"South Central Region","Out of State","Relative Foster Care","Hispanic",2
"South Central Region","Out of State","Independent Living","White",2
"South Central Region","Out of State","Relative Foster Care","White",2
"Southwest Region","In State","Medical or Psychiatric Hospital Placement","Black",2
"Southwest Region","In State","Independent Living","Other",2
"Southwest Region","In State","Medical or Psychiatric Hospital Placement","Total",2
"Southwest Region","In State","Solnit Center","Total",2
"Southwest Region","In State","Group Home","White",2
"Southwest Region","Out of State","Independent Living","Black",2
"Western Region","In State","Group Home","Black",2
"Western Region","In State","Medical or Psychiatric Hospital Placement","Black",2
"Western Region","In State","PDC or Safe Home","Hispanic",2
"Western Region","In State","Residential Treatment Center","Hispanic",2
"Western Region","In State","Solnit Center","Hispanic",2
"Western Region","In State","Independent Living","Other",2
"Western Region","In State","Medical or Psychiatric Hospital Placement","Total",2
"Western Region","In State","PDC or Safe Home","Total",2
"Western Region","In State","Solnit Center","Total",2
"Western Region","In State","Connecticut Juvenile Training School","White",2
"Central Region","In State","Connecticut Juvenile Training School","Black",1
"Central Region","In State","Shelter","Black",1
"Central Region","In State","Connecticut Juvenile Training School","Other",1
"Central Region","In State","Residential Treatment Center","Other",1
"Central Region","In State","Medical or Psychiatric Hospital Placement","White",1
"Central Region","In State","Shelter","White",1
"Central Region","Out of State","Foster Care","Other",1
"Central Region","Out of State","Total","Other",1
"Central Region","Out of State","Relative Foster Care","Total",1
"Central Region","Out of State","Relative Foster Care","White",1
"Eastern Region","In State","Connecticut Juvenile Training School","Black",1
"Eastern Region","In State","Shelter","Black",1
"Eastern Region","In State","Solnit Center","Black",1
"Eastern Region","In State","Medical or Psychiatric Hospital Placement","Hispanic",1
"Eastern Region","In State","Residential Treatment Center","Other",1
"Eastern Region","In State","Shelter","Other",1
"Eastern Region","In State","Medical or Psychiatric Hospital Placement","Total",1
"Eastern Region","In State","Solnit Center","White",1
"Eastern Region","Out of State","Independent Living","Black",1
"Eastern Region","Out of State","Residential Treatment Center","Black",1
"Eastern Region","Out of State","Foster Care","Hispanic",1
"Eastern Region","Out of State","Relative Foster Care","Hispanic",1
"Eastern Region","Out of State","Medical or Psychiatric Hospital Placement","Other",1
"Eastern Region","Out of State","Relative Foster Care","Other",1
"Eastern Region","Out of State","Residential Treatment Center","Other",1
"Eastern Region","Out of State","Medical or Psychiatric Hospital Placement","Total",1
"Eastern Region","Out of State","Independent Living","White",1
"North Central Region","In State","Solnit Center","Black",1
"North Central Region","In State","Medical or Psychiatric Hospital Placement","Hispanic",1
"North Central Region","In State","Connecticut Juvenile Training School","White",1
"North Central Region","Out of State","Residential Treatment Center","Black",1
"North Central Region","Out of State","Therapeutic Foster Care","Black",1
"North Central Region","Out of State","Residential Treatment Center","Other",1
"North Central Region","Out of State","Relative Foster Care","White",1
"North Central Region","Out of State","Therapeutic Foster Care","White",1
"South Central Region","In State","PDC or Safe Home","Black",1
"South Central Region","In State","PDC or Safe Home","Hispanic",1
"South Central Region","In State","PDC or Safe Home","Other",1
"South Central Region","In State","Medical or Psychiatric Hospital Placement","White",1
"South Central Region","Out of State","Foster Care","Black",1
"South Central Region","Out of State","Independent Living","Hispanic",1
"South Central Region","Out of State","Foster Care","Total",1
"Southwest Region","In State","Solnit Center","Black",1
"Southwest Region","In State","Connecticut Juvenile Training School","Hispanic",1
"Southwest Region","In State","Shelter","Hispanic",1
"Southwest Region","In State","Solnit Center","Hispanic",1
"Southwest Region","In State","Connecticut Juvenile Training School","Other",1
"Southwest Region","In State","Special Study","Other",1
"Southwest Region","In State","Shelter","Total",1
"Southwest Region","Out of State","Residential Treatment Center","Black",1
"Southwest Region","Out of State","Relative Foster Care","Hispanic",1
"Southwest Region","Out of State","Total","Hispanic",1
"Southwest Region","Out of State","Residential Treatment Center","Total",1
"Southwest Region","Out of State","Independent Living","White",1
"Western Region","In State","Residential Treatment Center","Black",1
"Western Region","In State","Shelter","Hispanic",1
"Western Region","In State","Group Home","Other",1
"Western Region","Out of State","Residential Treatment Center","Total",1
"Western Region","Out of State","Residential Treatment Center","White",1
"Central Region","In State","High Meadows","Black",0
"Central Region","In State","PDC or Safe Home","Black",0
"Central Region","In State","Solnit Center","Black",0
"Central Region","In State","High Meadows","Hispanic",0
"Central Region","In State","PDC or Safe Home","Hispanic",0
"Central Region","In State","Shelter","Hispanic",0
"Central Region","In State","Solnit Center","Hispanic",0
"Central Region","In State","High Meadows","Other",0
"Central Region","In State","Independent Living","Other",0
"Central Region","In State","Medical or Psychiatric Hospital Placement","Other",0
"Central Region","In State","PDC or Safe Home","Other",0
"Central Region","In State","Shelter","Other",0
"Central Region","In State","Solnit Center","Other",0
"Central Region","In State","High Meadows","Total",0
"Central Region","In State","PDC or Safe Home","Total",0
"Central Region","In State","Connecticut Juvenile Training School","White",0
"Central Region","In State","High Meadows","White",0
"Central Region","In State","PDC or Safe Home","White",0
"Central Region","Out of State","Connecticut Juvenile Training School","Black",0
"Central Region","Out of State","Foster Care","Black",0
"Central Region","Out of State","Group Home","Black",0
"Central Region","Out of State","High Meadows","Black",0
"Central Region","Out of State","Medical or Psychiatric Hospital Placement","Black",0
"Central Region","Out of State","PDC or Safe Home","Black",0
"Central Region","Out of State","Relative Foster Care","Black",0
"Central Region","Out of State","Residential Treatment Center","Black",0
"Central Region","Out of State","Shelter","Black",0
"Central Region","Out of State","Solnit Center","Black",0
"Central Region","Out of State","Special Study","Black",0
"Central Region","Out of State","Therapeutic Foster Care","Black",0
"Central Region","Out of State","Connecticut Juvenile Training School","Other",0
"Central Region","Out of State","Group Home","Other",0
"Central Region","Out of State","High Meadows","Other",0
"Central Region","Out of State","Independent Living","Other",0
"Central Region","Out of State","Medical or Psychiatric Hospital Placement","Other",0
"Central Region","Out of State","PDC or Safe Home","Other",0
"Central Region","Out of State","Relative Foster Care","Other",0
"Central Region","Out of State","Residential Treatment Center","Other",0
"Central Region","Out of State","Shelter","Other",0
"Central Region","Out of State","Solnit Center","Other",0
"Central Region","Out of State","Special Study","Other",0
"Central Region","Out of State","Therapeutic Foster Care","Other",0
"Central Region","Out of State","Connecticut Juvenile Training School","Total",0
"Central Region","Out of State","Group Home","Total",0
"Central Region","Out of State","High Meadows","Total",0
"Central Region","Out of State","Medical or Psychiatric Hospital Placement","Total",0
"Central Region","Out of State","PDC or Safe Home","Total",0
"Central Region","Out of State","Residential Treatment Center","Total",0
"Central Region","Out of State","Shelter","Total",0
"Central Region","Out of State","Solnit Center","Total",0
"Central Region","Out of State","Special Study","Total",0
"Central Region","Out of State","Connecticut Juvenile Training School","White",0
"Central Region","Out of State","Group Home","White",0
"Central Region","Out of State","High Meadows","White",0
"Central Region","Out of State","Medical or Psychiatric Hospital Placement","White",0
"Central Region","Out of State","PDC or Safe Home","White",0
"Central Region","Out of State","Residential Treatment Center","White",0
"Central Region","Out of State","Shelter","White",0
"Central Region","Out of State","Solnit Center","White",0
"Central Region","Out of State","Special Study","White",0
"Eastern Region","In State","High Meadows","Black",0
"Eastern Region","In State","Medical or Psychiatric Hospital Placement","Black",0
"Eastern Region","In State","PDC or Safe Home","Black",0
"Eastern Region","In State","Residential Treatment Center","Black",0
"Eastern Region","In State","Connecticut Juvenile Training School","Hispanic",0
"Eastern Region","In State","High Meadows","Hispanic",0
"Eastern Region","In State","PDC or Safe Home","Hispanic",0
"Eastern Region","In State","Connecticut Juvenile Training School","Other",0
"Eastern Region","In State","High Meadows","Other",0
"Eastern Region","In State","Medical or Psychiatric Hospital Placement","Other",0
"Eastern Region","In State","PDC or Safe Home","Other",0
"Eastern Region","In State","Solnit Center","Other",0
"Eastern Region","In State","High Meadows","Total",0
"Eastern Region","In State","PDC or Safe Home","Total",0
"Eastern Region","In State","High Meadows","White",0
"Eastern Region","In State","Medical or Psychiatric Hospital Placement","White",0
"Eastern Region","In State","PDC or Safe Home","White",0
"Eastern Region","Out of State","Connecticut Juvenile Training School","Black",0
"Eastern Region","Out of State","Foster Care","Black",0
"Eastern Region","Out of State","Group Home","Black",0
"Eastern Region","Out of State","High Meadows","Black",0
"Eastern Region","Out of State","Medical or Psychiatric Hospital Placement","Black",0
"Eastern Region","Out of State","PDC or Safe Home","Black",0
"Eastern Region","Out of State","Shelter","Black",0
"Eastern Region","Out of State","Solnit Center","Black",0
"Eastern Region","Out of State","Special Study","Black",0
"Eastern Region","Out of State","Therapeutic Foster Care","Black",0
"Eastern Region","Out of State","Connecticut Juvenile Training School","Hispanic",0
"Eastern Region","Out of State","Group Home","Hispanic",0
"Eastern Region","Out of State","High Meadows","Hispanic",0
"Eastern Region","Out of State","Independent Living","Hispanic",0
"Eastern Region","Out of State","Medical or Psychiatric Hospital Placement","Hispanic",0
"Eastern Region","Out of State","PDC or Safe Home","Hispanic",0
"Eastern Region","Out of State","Residential Treatment Center","Hispanic",0
"Eastern Region","Out of State","Shelter","Hispanic",0
"Eastern Region","Out of State","Solnit Center","Hispanic",0
"Eastern Region","Out of State","Special Study","Hispanic",0
"Eastern Region","Out of State","Therapeutic Foster Care","Hispanic",0
"Eastern Region","Out of State","Connecticut Juvenile Training School","Other",0
"Eastern Region","Out of State","Foster Care","Other",0
"Eastern Region","Out of State","Group Home","Other",0
"Eastern Region","Out of State","High Meadows","Other",0
"Eastern Region","Out of State","Independent Living","Other",0
"Eastern Region","Out of State","PDC or Safe Home","Other",0
"Eastern Region","Out of State","Shelter","Other",0
"Eastern Region","Out of State","Solnit Center","Other",0
"Eastern Region","Out of State","Special Study","Other",0
"Eastern Region","Out of State","Therapeutic Foster Care","Other",0
"Eastern Region","Out of State","Connecticut Juvenile Training School","Total",0
"Eastern Region","Out of State","Group Home","Total",0
"Eastern Region","Out of State","High Meadows","Total",0
"Eastern Region","Out of State","PDC or Safe Home","Total",0
"Eastern Region","Out of State","Shelter","Total",0
"Eastern Region","Out of State","Solnit Center","Total",0
"Eastern Region","Out of State","Therapeutic Foster Care","Total",0
"Eastern Region","Out of State","Connecticut Juvenile Training School","White",0
"Eastern Region","Out of State","Group Home","White",0
"Eastern Region","Out of State","High Meadows","White",0
"Eastern Region","Out of State","Medical or Psychiatric Hospital Placement","White",0
"Eastern Region","Out of State","PDC or Safe Home","White",0
"Eastern Region","Out of State","Shelter","White",0
"Eastern Region","Out of State","Solnit Center","White",0
"Eastern Region","Out of State","Therapeutic Foster Care","White",0
"North Central Region","In State","High Meadows","Black",0
"North Central Region","In State","Medical or Psychiatric Hospital Placement","Black",0
"North Central Region","In State","PDC or Safe Home","Black",0
"North Central Region","In State","Connecticut Juvenile Training School","Hispanic",0
"North Central Region","In State","High Meadows","Hispanic",0
"North Central Region","In State","PDC or Safe Home","Hispanic",0
"North Central Region","In State","Solnit Center","Hispanic",0
"North Central Region","In State","Connecticut Juvenile Training School","Other",0
"North Central Region","In State","High Meadows","Other",0
"North Central Region","In State","PDC or Safe Home","Other",0
"North Central Region","In State","Shelter","Other",0
"North Central Region","In State","High Meadows","Total",0
"North Central Region","In State","PDC or Safe Home","Total",0
"North Central Region","In State","High Meadows","White",0
"North Central Region","In State","PDC or Safe Home","White",0
"North Central Region","Out of State","Connecticut Juvenile Training School","Black",0
"North Central Region","Out of State","Foster Care","Black",0
"North Central Region","Out of State","Group Home","Black",0
"North Central Region","Out of State","High Meadows","Black",0
"North Central Region","Out of State","Independent Living","Black",0
"North Central Region","Out of State","Medical or Psychiatric Hospital Placement","Black",0
"North Central Region","Out of State","PDC or Safe Home","Black",0
"North Central Region","Out of State","Relative Foster Care","Black",0
"North Central Region","Out of State","Shelter","Black",0
"North Central Region","Out of State","Solnit Center","Black",0
"North Central Region","Out of State","Special Study","Black",0
"North Central Region","Out of State","Connecticut Juvenile Training School","Hispanic",0
"North Central Region","Out of State","Group Home","Hispanic",0
"North Central Region","Out of State","High Meadows","Hispanic",0
"North Central Region","Out of State","Independent Living","Hispanic",0
"North Central Region","Out of State","Medical or Psychiatric Hospital Placement","Hispanic",0
"North Central Region","Out of State","PDC or Safe Home","Hispanic",0
"North Central Region","Out of State","Residential Treatment Center","Hispanic",0
"North Central Region","Out of State","Shelter","Hispanic",0
"North Central Region","Out of State","Solnit Center","Hispanic",0
"North Central Region","Out of State","Special Study","Hispanic",0
"North Central Region","Out of State","Therapeutic Foster Care","Hispanic",0
"North Central Region","Out of State","Connecticut Juvenile Training School","Other",0
"North Central Region","Out of State","Foster Care","Other",0
"North Central Region","Out of State","Group Home","Other",0
"North Central Region","Out of State","High Meadows","Other",0
"North Central Region","Out of State","Independent Living","Other",0
"North Central Region","Out of State","Medical or Psychiatric Hospital Placement","Other",0
"North Central Region","Out of State","PDC or Safe Home","Other",0
"North Central Region","Out of State","Shelter","Other",0
