"Town","FIPS","Year","Measure Type","Variable","Value","Region"
"Barkhamsted",900502760,"2007-2011","Number","Deaths",2,"Western Region"
"Barkhamsted",900502760,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Barkhamsted",900502760,"2008-2012","Crude Rate (per 100,000)","Deaths",10.54,"Western Region"
"Barkhamsted",900502760,"2008-2012","Number","Deaths",2,"Western Region"
"Barkhamsted",900502760,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Barkhamsted",900502760,"2010-2014","Crude Rate (per 100,000)","Deaths",5.33,"Western Region"
"Barkhamsted",900502760,"2010-2014","Number","Deaths",1,"Western Region"
"Beacon Falls",900903250,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Beacon Falls",900903250,"2006-2010","Crude Rate (per 100,000)","Deaths",16.92,"Western Region"
"Beacon Falls",900903250,"2006-2010","Number","Deaths",5,"Western Region"
"Beacon Falls",900903250,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Beacon Falls",900903250,"2007-2011","Crude Rate (per 100,000)","Deaths",16.75,"Western Region"
"Beacon Falls",900903250,"2007-2011","Number","Deaths",5,"Western Region"
"Beacon Falls",900903250,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Beacon Falls",900903250,"2008-2012","Crude Rate (per 100,000)","Deaths",16.53,"Western Region"
"Beacon Falls",900903250,"2008-2012","Number","Deaths",5,"Western Region"
"Beacon Falls",900903250,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Beacon Falls",900903250,"2010-2014","Crude Rate (per 100,000)","Deaths",16.52,"Western Region"
"Beacon Falls",900903250,"2010-2014","Number","Deaths",5,"Western Region"
"Berlin",900304300,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Berlin",900304300,"2006-2010","Crude Rate (per 100,000)","Deaths",14.29,"Central Region"
"Berlin",900304300,"2006-2010","Number","Deaths",14,"Central Region"
"Berlin",900304300,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Berlin",900304300,"2007-2011","Crude Rate (per 100,000)","Deaths",11.17,"Central Region"
"Berlin",900304300,"2007-2011","Number","Deaths",11,"Central Region"
"Berlin",900304300,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Berlin",900304300,"2008-2012","Crude Rate (per 100,000)","Deaths",10.07,"Central Region"
"Berlin",900304300,"2008-2012","Number","Deaths",10,"Central Region"
"Berlin",900304300,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Berlin",900304300,"2010-2014","Crude Rate (per 100,000)","Deaths",9.86,"Central Region"
"Berlin",900304300,"2010-2014","Number","Deaths",10,"Central Region"
"Bethany",900904580,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"Bethany",900904580,"2006-2010","Crude Rate (per 100,000)","Deaths",7.32,"South Central Region"
"Bethany",900904580,"2006-2010","Number","Deaths",2,"South Central Region"
"Bethany",900904580,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"Bethany",900904580,"2007-2011","Crude Rate (per 100,000)","Deaths",3.63,"South Central Region"
"Bethany",900904580,"2007-2011","Number","Deaths",1,"South Central Region"
"Bethany",900904580,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"Bethany",900904580,"2008-2012","Crude Rate (per 100,000)","Deaths",7.19,"South Central Region"
"Bethany",900904580,"2008-2012","Number","Deaths",2,"South Central Region"
"Bethany",900904580,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"Bethany",900904580,"2010-2014","Crude Rate (per 100,000)","Deaths",7.21,"South Central Region"
"Bethany",900904580,"2010-2014","Number","Deaths",2,"South Central Region"
"Bethel",900104720,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Bethel",900104720,"2006-2010","Crude Rate (per 100,000)","Deaths",8.71,"Western Region"
"Bethel",900104720,"2006-2010","Number","Deaths",8,"Western Region"
"Bethel",900104720,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Bethel",900104720,"2007-2011","Crude Rate (per 100,000)","Deaths",7.57,"Western Region"
"Bethel",900104720,"2007-2011","Number","Deaths",7,"Western Region"
"Bethel",900104720,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Bethel",900104720,"2008-2012","Crude Rate (per 100,000)","Deaths",5.37,"Western Region"
"Bethel",900104720,"2008-2012","Number","Deaths",5,"Western Region"
"Bethel",900104720,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Bethel",900104720,"2010-2014","Crude Rate (per 100,000)","Deaths",8.4,"Western Region"
"Bethel",900104720,"2010-2014","Number","Deaths",8,"Western Region"
"Bethlehem",900504930,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Bethlehem",900504930,"2006-2010","Crude Rate (per 100,000)","Deaths",16.69,"Western Region"
"Bethlehem",900504930,"2006-2010","Number","Deaths",3,"Western Region"
"Bethlehem",900504930,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Bethlehem",900504930,"2007-2011","Crude Rate (per 100,000)","Deaths",16.69,"Western Region"
"Bethlehem",900504930,"2007-2011","Number","Deaths",3,"Western Region"
"Bethlehem",900504930,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Bethlehem",900504930,"2008-2012","Crude Rate (per 100,000)","Deaths",22.2,"Western Region"
"Bethlehem",900504930,"2008-2012","Number","Deaths",4,"Western Region"
"Bethlehem",900504930,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Bethlehem",900504930,"2010-2014","Crude Rate (per 100,000)","Deaths",11.24,"Western Region"
"Bethlehem",900504930,"2010-2014","Number","Deaths",2,"Western Region"
"Bloomfield",900305910,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"Bloomfield",900305910,"2006-2010","Crude Rate (per 100,000)","Deaths",3.93,"North Central Region"
"Bloomfield",900305910,"2006-2010","Number","Deaths",4,"North Central Region"
"Bloomfield",900305910,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"Bloomfield",900305910,"2007-2011","Crude Rate (per 100,000)","Deaths",6.86,"North Central Region"
"Bloomfield",900305910,"2007-2011","Number","Deaths",7,"North Central Region"
"Bloomfield",900305910,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"Bloomfield",900305910,"2008-2012","Crude Rate (per 100,000)","Deaths",7.81,"North Central Region"
"Bloomfield",900305910,"2008-2012","Number","Deaths",8,"North Central Region"
"Bloomfield",900305910,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"Bloomfield",900305910,"2010-2014","Crude Rate (per 100,000)","Deaths",5.82,"North Central Region"
"Bloomfield",900305910,"2010-2014","Number","Deaths",6,"North Central Region"
"Bolton",901306260,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"Bolton",901306260,"2006-2010","Crude Rate (per 100,000)","Deaths",11.95,"North Central Region"
"Bolton",901306260,"2006-2010","Number","Deaths",3,"North Central Region"
"Bolton",901306260,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"Bolton",901306260,"2007-2011","Crude Rate (per 100,000)","Deaths",11.99,"North Central Region"
"Bolton",901306260,"2007-2011","Number","Deaths",3,"North Central Region"
"Bolton",901306260,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"Bolton",901306260,"2008-2012","Crude Rate (per 100,000)","Deaths",8.03,"North Central Region"
"Bolton",901306260,"2008-2012","Number","Deaths",2,"North Central Region"
"Bolton",901306260,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"North Central Region"
"Bolton",901306260,"2010-2014","Crude Rate (per 100,000)","Deaths",8.06,"North Central Region"
"Bolton",901306260,"2010-2014","Number","Deaths",2,"North Central Region"
"Bozrah",901106820,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Bozrah",901106820,"2006-2010","Crude Rate (per 100,000)","Deaths",30.89,"Eastern Region"
"Bozrah",901106820,"2006-2010","Number","Deaths",4,"Eastern Region"
"Bozrah",901106820,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Bozrah",901106820,"2007-2011","Crude Rate (per 100,000)","Deaths",30.73,"Eastern Region"
"Bozrah",901106820,"2007-2011","Number","Deaths",4,"Eastern Region"
"Bozrah",901106820,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Bozrah",901106820,"2008-2012","Crude Rate (per 100,000)","Deaths",30.46,"Eastern Region"
"Bozrah",901106820,"2008-2012","Number","Deaths",4,"Eastern Region"
"Bozrah",901106820,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Bozrah",901106820,"2010-2014","Crude Rate (per 100,000)","Deaths",15.22,"Eastern Region"
"Bozrah",901106820,"2010-2014","Number","Deaths",2,"Eastern Region"
"Branford",900907310,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"Branford",900907310,"2006-2010","Crude Rate (per 100,000)","Deaths",6.38,"South Central Region"
"Branford",900907310,"2006-2010","Number","Deaths",9,"South Central Region"
"Branford",900907310,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"Branford",900907310,"2007-2011","Crude Rate (per 100,000)","Deaths",8.54,"South Central Region"
"Branford",900907310,"2007-2011","Number","Deaths",12,"South Central Region"
"Branford",900907310,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"Branford",900907310,"2008-2012","Crude Rate (per 100,000)","Deaths",9.28,"South Central Region"
"Branford",900907310,"2008-2012","Number","Deaths",13,"South Central Region"
"Branford",900907310,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"South Central Region"
"Branford",900907310,"2010-2014","Crude Rate (per 100,000)","Deaths",9.27,"South Central Region"
"Branford",900907310,"2010-2014","Number","Deaths",13,"South Central Region"
"Bridgeport",900108070,"2006-2010","AAMR (per 100,000)","Deaths",4.9,"Southwest Region"
"Bridgeport",900108070,"2006-2010","Crude Rate (per 100,000)","Deaths",4.77,"Southwest Region"
"Bridgeport",900108070,"2006-2010","Number","Deaths",34,"Southwest Region"
"Bridgeport",900108070,"2007-2011","AAMR (per 100,000)","Deaths",5.36,"Southwest Region"
"Bridgeport",900108070,"2007-2011","Crude Rate (per 100,000)","Deaths",5.16,"Southwest Region"
"Bridgeport",900108070,"2007-2011","Number","Deaths",37,"Southwest Region"
"Bridgeport",900108070,"2008-2012","AAMR (per 100,000)","Deaths",5.32,"Southwest Region"
"Bridgeport",900108070,"2008-2012","Crude Rate (per 100,000)","Deaths",5.26,"Southwest Region"
"Bridgeport",900108070,"2008-2012","Number","Deaths",38,"Southwest Region"
"Bridgeport",900108070,"2010-2014","AAMR (per 100,000)","Deaths",5.22,"Southwest Region"
"Bridgeport",900108070,"2010-2014","Crude Rate (per 100,000)","Deaths",5.19,"Southwest Region"
"Bridgeport",900108070,"2010-2014","Number","Deaths",38,"Southwest Region"
"Bridgewater",900508210,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Bridgewater",900508210,"2006-2010","Crude Rate (per 100,000)","Deaths",11.71,"Western Region"
"Bridgewater",900508210,"2006-2010","Number","Deaths",1,"Western Region"
"Bridgewater",900508210,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Bridgewater",900508210,"2007-2011","Crude Rate (per 100,000)","Deaths",11.17,"Western Region"
"Bridgewater",900508210,"2007-2011","Number","Deaths",1,"Western Region"
"Bridgewater",900508210,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Bridgewater",900508210,"2008-2012","Crude Rate (per 100,000)","Deaths",11.59,"Western Region"
"Bridgewater",900508210,"2008-2012","Number","Deaths",1,"Western Region"
"Bridgewater",900508210,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Bridgewater",900508210,"2010-2014","Crude Rate (per 100,000)","Deaths",11.75,"Western Region"
"Bridgewater",900508210,"2010-2014","Number","Deaths",1,"Western Region"
"Bristol",900308490,"2006-2010","AAMR (per 100,000)","Deaths",9.22,"Central Region"
"Bristol",900308490,"2006-2010","Crude Rate (per 100,000)","Deaths",9.59,"Central Region"
"Bristol",900308490,"2006-2010","Number","Deaths",29,"Central Region"
"Bristol",900308490,"2007-2011","AAMR (per 100,000)","Deaths",11,"Central Region"
"Bristol",900308490,"2007-2011","Crude Rate (per 100,000)","Deaths",11.24,"Central Region"
"Bristol",900308490,"2007-2011","Number","Deaths",34,"Central Region"
"Bristol",900308490,"2008-2012","AAMR (per 100,000)","Deaths",12.42,"Central Region"
"Bristol",900308490,"2008-2012","Crude Rate (per 100,000)","Deaths",12.57,"Central Region"
"Bristol",900308490,"2008-2012","Number","Deaths",38,"Central Region"
"Bristol",900308490,"2010-2014","AAMR (per 100,000)","Deaths",10.37,"Central Region"
"Bristol",900308490,"2010-2014","Crude Rate (per 100,000)","Deaths",10.9,"Central Region"
"Bristol",900308490,"2010-2014","Number","Deaths",33,"Central Region"
"Brookfield",900108980,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Brookfield",900108980,"2006-2010","Crude Rate (per 100,000)","Deaths",11.1,"Western Region"
"Brookfield",900108980,"2006-2010","Number","Deaths",9,"Western Region"
"Brookfield",900108980,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Brookfield",900108980,"2007-2011","Crude Rate (per 100,000)","Deaths",11.02,"Western Region"
"Brookfield",900108980,"2007-2011","Number","Deaths",9,"Western Region"
"Brookfield",900108980,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Brookfield",900108980,"2008-2012","Crude Rate (per 100,000)","Deaths",12.14,"Western Region"
"Brookfield",900108980,"2008-2012","Number","Deaths",10,"Western Region"
"Brookfield",900108980,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Brookfield",900108980,"2010-2014","Crude Rate (per 100,000)","Deaths",13.13,"Western Region"
"Brookfield",900108980,"2010-2014","Number","Deaths",11,"Western Region"
"Brooklyn",901509190,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Brooklyn",901509190,"2006-2010","Crude Rate (per 100,000)","Deaths",9.89,"Eastern Region"
"Brooklyn",901509190,"2006-2010","Number","Deaths",4,"Eastern Region"
"Brooklyn",901509190,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Brooklyn",901509190,"2007-2011","Crude Rate (per 100,000)","Deaths",14.76,"Eastern Region"
"Brooklyn",901509190,"2007-2011","Number","Deaths",6,"Eastern Region"
"Brooklyn",901509190,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Brooklyn",901509190,"2008-2012","Crude Rate (per 100,000)","Deaths",17.05,"Eastern Region"
"Brooklyn",901509190,"2008-2012","Number","Deaths",7,"Eastern Region"
"Brooklyn",901509190,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Brooklyn",901509190,"2010-2014","Crude Rate (per 100,000)","Deaths",17.02,"Eastern Region"
"Brooklyn",901509190,"2010-2014","Number","Deaths",7,"Eastern Region"
"Burlington",900310100,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Burlington",900310100,"2006-2010","Crude Rate (per 100,000)","Deaths",13.18,"Central Region"
"Burlington",900310100,"2006-2010","Number","Deaths",6,"Central Region"
"Burlington",900310100,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Burlington",900310100,"2007-2011","Crude Rate (per 100,000)","Deaths",15.23,"Central Region"
"Burlington",900310100,"2007-2011","Number","Deaths",7,"Central Region"
"Burlington",900310100,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Burlington",900310100,"2008-2012","Crude Rate (per 100,000)","Deaths",15.05,"Central Region"
"Burlington",900310100,"2008-2012","Number","Deaths",7,"Central Region"
"Burlington",900310100,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Burlington",900310100,"2010-2014","Crude Rate (per 100,000)","Deaths",12.74,"Central Region"
"Burlington",900310100,"2010-2014","Number","Deaths",6,"Central Region"
"Canaan",900510940,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Canaan",900510940,"2006-2010","Crude Rate (per 100,000)","Deaths",-6666,"Western Region"
"Canaan",900510940,"2006-2010","Number","Deaths",-6666,"Western Region"
"Canaan",900510940,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Canaan",900510940,"2007-2011","Crude Rate (per 100,000)","Deaths",-6666,"Western Region"
"Canaan",900510940,"2007-2011","Number","Deaths",-6666,"Western Region"
"Canaan",900510940,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Canaan",900510940,"2008-2012","Crude Rate (per 100,000)","Deaths",-6666,"Western Region"
"Canaan",900510940,"2008-2012","Number","Deaths",-6666,"Western Region"
"Canaan",900510940,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Canaan",900510940,"2010-2014","Crude Rate (per 100,000)","Deaths",-6666,"Western Region"
"Canaan",900510940,"2010-2014","Number","Deaths",-6666,"Western Region"
"Canterbury",901512130,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Canterbury",901512130,"2006-2010","Crude Rate (per 100,000)","Deaths",11.79,"Eastern Region"
"Canterbury",901512130,"2006-2010","Number","Deaths",3,"Eastern Region"
"Canterbury",901512130,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Canterbury",901512130,"2007-2011","Crude Rate (per 100,000)","Deaths",11.74,"Eastern Region"
"Canterbury",901512130,"2007-2011","Number","Deaths",3,"Eastern Region"
"Canterbury",901512130,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Canterbury",901512130,"2008-2012","Crude Rate (per 100,000)","Deaths",19.48,"Eastern Region"
"Canterbury",901512130,"2008-2012","Number","Deaths",5,"Eastern Region"
"Canterbury",901512130,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Canterbury",901512130,"2010-2014","Crude Rate (per 100,000)","Deaths",43.06,"Eastern Region"
"Canterbury",901512130,"2010-2014","Number","Deaths",11,"Eastern Region"
"Canton",900312270,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Canton",900312270,"2006-2010","Crude Rate (per 100,000)","Deaths",17.93,"Central Region"
"Canton",900312270,"2006-2010","Number","Deaths",9,"Central Region"
"Canton",900312270,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Canton",900312270,"2007-2011","Crude Rate (per 100,000)","Deaths",13.81,"Central Region"
"Canton",900312270,"2007-2011","Number","Deaths",7,"Central Region"
"Canton",900312270,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Canton",900312270,"2008-2012","Crude Rate (per 100,000)","Deaths",11.66,"Central Region"
"Canton",900312270,"2008-2012","Number","Deaths",6,"Central Region"
"Canton",900312270,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Central Region"
"Canton",900312270,"2010-2014","Crude Rate (per 100,000)","Deaths",11.62,"Central Region"
"Canton",900312270,"2010-2014","Number","Deaths",6,"Central Region"
"Chaplin",901513810,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Chaplin",901513810,"2006-2010","Crude Rate (per 100,000)","Deaths",16.93,"Eastern Region"
"Chaplin",901513810,"2006-2010","Number","Deaths",2,"Eastern Region"
"Chaplin",901513810,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Chaplin",901513810,"2007-2011","Crude Rate (per 100,000)","Deaths",16.12,"Eastern Region"
"Chaplin",901513810,"2007-2011","Number","Deaths",2,"Eastern Region"
"Chaplin",901513810,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Chaplin",901513810,"2008-2012","Crude Rate (per 100,000)","Deaths",26.03,"Eastern Region"
"Chaplin",901513810,"2008-2012","Number","Deaths",3,"Eastern Region"
"Chaplin",901513810,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Chaplin",901513810,"2010-2014","Crude Rate (per 100,000)","Deaths",35,"Eastern Region"
"Chaplin",901513810,"2010-2014","Number","Deaths",4,"Eastern Region"
"Cheshire",900914160,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Cheshire",900914160,"2006-2010","Crude Rate (per 100,000)","Deaths",8.22,"Western Region"
"Cheshire",900914160,"2006-2010","Number","Deaths",12,"Western Region"
"Cheshire",900914160,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Cheshire",900914160,"2007-2011","Crude Rate (per 100,000)","Deaths",8.22,"Western Region"
"Cheshire",900914160,"2007-2011","Number","Deaths",12,"Western Region"
"Cheshire",900914160,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Cheshire",900914160,"2008-2012","Crude Rate (per 100,000)","Deaths",8.89,"Western Region"
"Cheshire",900914160,"2008-2012","Number","Deaths",13,"Western Region"
"Cheshire",900914160,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Western Region"
"Cheshire",900914160,"2010-2014","Crude Rate (per 100,000)","Deaths",7.52,"Western Region"
"Cheshire",900914160,"2010-2014","Number","Deaths",11,"Western Region"
"Chester",900714300,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Chester",900714300,"2006-2010","Crude Rate (per 100,000)","Deaths",15.09,"Eastern Region"
"Chester",900714300,"2006-2010","Number","Deaths",3,"Eastern Region"
"Chester",900714300,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Chester",900714300,"2007-2011","Crude Rate (per 100,000)","Deaths",25.1,"Eastern Region"
"Chester",900714300,"2007-2011","Number","Deaths",5,"Eastern Region"
"Chester",900714300,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Chester",900714300,"2008-2012","Crude Rate (per 100,000)","Deaths",25.05,"Eastern Region"
"Chester",900714300,"2008-2012","Number","Deaths",5,"Eastern Region"
"Chester",900714300,"2010-2014","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Chester",900714300,"2010-2014","Crude Rate (per 100,000)","Deaths",19.14,"Eastern Region"
"Chester",900714300,"2010-2014","Number","Deaths",4,"Eastern Region"
"Clinton",900715350,"2006-2010","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Clinton",900715350,"2006-2010","Crude Rate (per 100,000)","Deaths",16.52,"Eastern Region"
"Clinton",900715350,"2006-2010","Number","Deaths",11,"Eastern Region"
"Clinton",900715350,"2007-2011","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Clinton",900715350,"2007-2011","Crude Rate (per 100,000)","Deaths",18.06,"Eastern Region"
"Clinton",900715350,"2007-2011","Number","Deaths",12,"Eastern Region"
"Clinton",900715350,"2008-2012","AAMR (per 100,000)","Deaths",-6666,"Eastern Region"
"Clinton",900715350,"2008-2012","Crude Rate (per 100,000)","Deaths",15.09,"Eastern Region"
