"District","FIPS","Year","Variable","Indicator of Educational Need","Measure Type","Value","R#","Region"
"Achievement First Hartford Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",5.8,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",91,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",9.5,4,"North Central"
"Achievement First Hartford Academy District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",954,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1063,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",100,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",52,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",4.9,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",115,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",10.8,4,"North Central"
"Achievement First Hartford Academy District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",1063,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1066,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",100,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",33,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",3.1,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",111,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",10.4,4,"North Central"
"Achievement First Hartford Academy District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",1066,4,"North Central"
"Achievement First Hartford Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",-9999,4,"North Central"
"Achievement First Hartford Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",45,4,"North Central"
"Achievement First Hartford Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",3.9,4,"North Central"
"Achievement First Hartford Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",125,4,"North Central"
"Achievement First Hartford Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",10.9,4,"North Central"
"Achievement First Hartford Academy District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",1149,4,"North Central"
"Amistad Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",690,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",80.5,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",102,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",11.9,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",51,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",6,2,"South Central"
"Amistad Academy District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",857,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",733,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",81.1,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",74,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",8.2,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",45,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",5,2,"South Central"
"Amistad Academy District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",904,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",792,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",84.5,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",102,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",10.9,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",51,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",5.4,2,"South Central"
"Amistad Academy District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",937,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",800,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",81.3,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",115,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",11.7,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",50,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",5.1,2,"South Central"
"Amistad Academy District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",984,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",862,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",83.2,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",106,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",10.2,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",57,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",5.5,2,"South Central"
"Amistad Academy District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",1036,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",768,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",72.7,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",116,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",11,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",59,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",5.6,2,"South Central"
"Amistad Academy District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",1057,2,"South Central"
"Amistad Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1057,2,"South Central"
"Amistad Academy District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",97.8,2,"South Central"
"Amistad Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",122,2,"South Central"
"Amistad Academy District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",11.3,2,"South Central"
"Amistad Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",61,2,"South Central"
"Amistad Academy District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",5.6,2,"South Central"
"Amistad Academy District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",1081,2,"South Central"
"Andover School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",32,4,"North Central"
"Andover School District",NA,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",10.2,4,"North Central"
"Andover School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Number",-9999,4,"North Central"
"Andover School District",NA,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",-9999,4,"North Central"
"Andover School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Number",24,4,"North Central"
"Andover School District",NA,"2011-2012","Indicator of Educational Need","Special Education","Percent",7.6,4,"North Central"
"Andover School District",NA,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",314,4,"North Central"
"Andover School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",44,4,"North Central"
"Andover School District",NA,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",14,4,"North Central"
"Andover School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Number",-9999,4,"North Central"
"Andover School District",NA,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",-9999,4,"North Central"
"Andover School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Number",25,4,"North Central"
"Andover School District",NA,"2012-2013","Indicator of Educational Need","Special Education","Percent",7.9,4,"North Central"
"Andover School District",NA,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",315,4,"North Central"
"Andover School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",43,4,"North Central"
"Andover School District",NA,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",14.4,4,"North Central"
"Andover School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Number",-9999,4,"North Central"
"Andover School District",NA,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",-9999,4,"North Central"
"Andover School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Number",22,4,"North Central"
"Andover School District",NA,"2013-2014","Indicator of Educational Need","Special Education","Percent",7.4,4,"North Central"
"Andover School District",NA,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",299,4,"North Central"
"Andover School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",37,4,"North Central"
"Andover School District",NA,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",13.5,4,"North Central"
"Andover School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Number",-9999,4,"North Central"
"Andover School District",NA,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",-9999,4,"North Central"
"Andover School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Number",20,4,"North Central"
"Andover School District",NA,"2014-2015","Indicator of Educational Need","Special Education","Percent",7.3,4,"North Central"
"Andover School District",NA,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",275,4,"North Central"
"Andover School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",41,4,"North Central"
"Andover School District",NA,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",16.4,4,"North Central"
"Andover School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Number",-9999,4,"North Central"
"Andover School District",NA,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",-9999,4,"North Central"
"Andover School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Number",17,4,"North Central"
"Andover School District",NA,"2015-2016","Indicator of Educational Need","Special Education","Percent",6.8,4,"North Central"
"Andover School District",NA,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",250,4,"North Central"
"Andover School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",41,4,"North Central"
"Andover School District",NA,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",18.2,4,"North Central"
"Andover School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Number",-9999,4,"North Central"
"Andover School District",NA,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",-9999,4,"North Central"
"Andover School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Number",10,4,"North Central"
"Andover School District",NA,"2016-2017","Indicator of Educational Need","Special Education","Percent",4.4,4,"North Central"
"Andover School District",NA,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",225,4,"North Central"
"Andover School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",40,4,"North Central"
"Andover School District",NA,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",19.6,4,"North Central"
"Andover School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Number",-9999,4,"North Central"
"Andover School District",NA,"2017-2018","Indicator of Educational Need","English Language Learner","Percent",-9999,4,"North Central"
"Andover School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Number",-9999,4,"North Central"
"Andover School District",NA,"2017-2018","Indicator of Educational Need","Special Education","Percent",-9999,4,"North Central"
"Andover School District",NA,"2017-2018","Indicator of Educational Need","Total Students Evaluated","Number",204,4,"North Central"
"Ansonia School District",900901220,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1521,2,"South Central"
"Ansonia School District",900901220,"2011-2012","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",60.2,2,"South Central"
"Ansonia School District",900901220,"2011-2012","Indicator of Educational Need","English Language Learner","Number",77,2,"South Central"
"Ansonia School District",900901220,"2011-2012","Indicator of Educational Need","English Language Learner","Percent",3,2,"South Central"
"Ansonia School District",900901220,"2011-2012","Indicator of Educational Need","Special Education","Number",282,2,"South Central"
"Ansonia School District",900901220,"2011-2012","Indicator of Educational Need","Special Education","Percent",11.2,2,"South Central"
"Ansonia School District",900901220,"2011-2012","Indicator of Educational Need","Total Students Evaluated","Number",2526,2,"South Central"
"Ansonia School District",900901220,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1621,2,"South Central"
"Ansonia School District",900901220,"2012-2013","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",66.8,2,"South Central"
"Ansonia School District",900901220,"2012-2013","Indicator of Educational Need","English Language Learner","Number",69,2,"South Central"
"Ansonia School District",900901220,"2012-2013","Indicator of Educational Need","English Language Learner","Percent",2.8,2,"South Central"
"Ansonia School District",900901220,"2012-2013","Indicator of Educational Need","Special Education","Number",293,2,"South Central"
"Ansonia School District",900901220,"2012-2013","Indicator of Educational Need","Special Education","Percent",12.1,2,"South Central"
"Ansonia School District",900901220,"2012-2013","Indicator of Educational Need","Total Students Evaluated","Number",2425,2,"South Central"
"Ansonia School District",900901220,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1544,2,"South Central"
"Ansonia School District",900901220,"2013-2014","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",66,2,"South Central"
"Ansonia School District",900901220,"2013-2014","Indicator of Educational Need","English Language Learner","Number",84,2,"South Central"
"Ansonia School District",900901220,"2013-2014","Indicator of Educational Need","English Language Learner","Percent",3.6,2,"South Central"
"Ansonia School District",900901220,"2013-2014","Indicator of Educational Need","Special Education","Number",318,2,"South Central"
"Ansonia School District",900901220,"2013-2014","Indicator of Educational Need","Special Education","Percent",13.6,2,"South Central"
"Ansonia School District",900901220,"2013-2014","Indicator of Educational Need","Total Students Evaluated","Number",2338,2,"South Central"
"Ansonia School District",900901220,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1609,2,"South Central"
"Ansonia School District",900901220,"2014-2015","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",66.6,2,"South Central"
"Ansonia School District",900901220,"2014-2015","Indicator of Educational Need","English Language Learner","Number",72,2,"South Central"
"Ansonia School District",900901220,"2014-2015","Indicator of Educational Need","English Language Learner","Percent",3,2,"South Central"
"Ansonia School District",900901220,"2014-2015","Indicator of Educational Need","Special Education","Number",394,2,"South Central"
"Ansonia School District",900901220,"2014-2015","Indicator of Educational Need","Special Education","Percent",16.3,2,"South Central"
"Ansonia School District",900901220,"2014-2015","Indicator of Educational Need","Total Students Evaluated","Number",2415,2,"South Central"
"Ansonia School District",900901220,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1634,2,"South Central"
"Ansonia School District",900901220,"2015-2016","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",68.6,2,"South Central"
"Ansonia School District",900901220,"2015-2016","Indicator of Educational Need","English Language Learner","Number",66,2,"South Central"
"Ansonia School District",900901220,"2015-2016","Indicator of Educational Need","English Language Learner","Percent",2.8,2,"South Central"
"Ansonia School District",900901220,"2015-2016","Indicator of Educational Need","Special Education","Number",428,2,"South Central"
"Ansonia School District",900901220,"2015-2016","Indicator of Educational Need","Special Education","Percent",18,2,"South Central"
"Ansonia School District",900901220,"2015-2016","Indicator of Educational Need","Total Students Evaluated","Number",2382,2,"South Central"
"Ansonia School District",900901220,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1597,2,"South Central"
"Ansonia School District",900901220,"2016-2017","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",67.6,2,"South Central"
"Ansonia School District",900901220,"2016-2017","Indicator of Educational Need","English Language Learner","Number",81,2,"South Central"
"Ansonia School District",900901220,"2016-2017","Indicator of Educational Need","English Language Learner","Percent",3.4,2,"South Central"
"Ansonia School District",900901220,"2016-2017","Indicator of Educational Need","Special Education","Number",459,2,"South Central"
"Ansonia School District",900901220,"2016-2017","Indicator of Educational Need","Special Education","Percent",19.4,2,"South Central"
"Ansonia School District",900901220,"2016-2017","Indicator of Educational Need","Total Students Evaluated","Number",2364,2,"South Central"
"Ansonia School District",900901220,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Number",1582,2,"South Central"
"Ansonia School District",900901220,"2017-2018","Indicator of Educational Need","Eligible for Free or Reduced Price Lunch","Percent",68.7,2,"South Central"
"Ansonia School District",900901220,"2017-2018","Indicator of Educational Need","English Language Learner","Number",90,2,"South Central"
