"Town","Region","FiscalYear","Substance","Adm_Count_by_Drug_Yr_Town","Adm_Count_Yr_Town","Adm_Count_by_Drug_Yr_Region","Adm_Count_Yr_Region","Adm_Count_by_Drug_Yr_State","Adm_Count_Yr_State","Pct Adm Drug Town","Pct Adm Drug Region","Pct Adm Drug State"
"Ansonia","South Central Region",2015,"Other Opiates and Synthetics",35,518,699,11215,3209,67992,6.8,6.2,4.7
"Ansonia","South Central Region",2015,"Benzodiazepines",7,518,278,11215,817,67992,1.4,2.5,1.2
"Ansonia","South Central Region",2015,"Cocaine",17,518,420,11215,2450,67992,3.3,3.7,3.6
"Ansonia","South Central Region",2016,"PCP",4,468,275,11087,1056,67054,0.9,2.5,1.6
"Ansonia","South Central Region",2015,"PCP",2,518,242,11215,1062,67992,0.4,2.2,1.6
"Ashford","Eastern Region",2015,"Other",1,80,161,13332,856,67992,1.2,1.2,1.3
"Ashford","Eastern Region",2015,"Heroin",24,80,4615,13332,24247,67992,30,34.6,35.7
"Ashford","Eastern Region",2015,"Alcohol",31,80,5886,13332,24428,67992,38.8,44.1,35.9
"Ashford","Eastern Region",2015,"Marijuana, Hashish, THC",10,80,1038,13332,8754,67992,12.5,7.8,12.9
"Ashford","Eastern Region",2015,"Other Opiates and Synthetics",10,80,707,13332,3209,67992,12.5,5.3,4.7
"Ashford","Eastern Region",2015,"Cocaine",1,80,413,13332,2450,67992,1.2,3.1,3.6
"Ashford","Eastern Region",2015,"Crack",2,80,362,13332,2169,67992,2.5,2.7,3.2
"Ashford","Eastern Region",2015,"Benzodiazepines",1,80,107,13332,817,67992,1.2,0.8,1.2
"Avon","Central Region",2015,"Alcohol",65,105,3210,8799,24428,67992,61.9,36.5,35.9
"Avon","Central Region",2016,"Heroin",20,55,3717,9163,25634,67054,36.4,40.6,38.2
"Avon","Central Region",2016,"Other",2,55,67,9163,719,67054,3.6,0.7,1.1
"Avon","Central Region",2015,"Other Opiates and Synthetics",3,105,426,8799,3209,67992,2.9,4.8,4.7
"Avon","Central Region",2016,"Alcohol",26,55,3310,9163,23336,67054,47.3,36.1,34.8
"Avon","Central Region",2016,"Marijuana, Hashish, THC",3,55,994,9163,8159,67054,5.5,10.8,12.2
"Avon","Central Region",2016,"Other Opiates and Synthetics",1,55,357,9163,2792,67054,1.8,3.9,4.2
"Avon","Central Region",2014,"Alcohol",33,50,3296,8170,24611,65045,66,40.3,37.8
"Avon","Central Region",2014,"Benzodiazepines",3,50,56,8170,841,65045,6,0.7,1.3
"Avon","Central Region",2014,"Cocaine",4,50,360,8170,2712,65045,8,4.4,4.2
"Avon","Central Region",2014,"Heroin",4,50,2843,8170,21053,65045,8,34.8,32.4
"Avon","Central Region",2014,"Marijuana, Hashish, THC",6,50,920,8170,8281,65045,12,11.3,12.7
"Avon","Central Region",2016,"Crack",1,55,186,9163,2039,67054,1.8,2,3
"Avon","Central Region",2016,"PCP",1,55,81,9163,1056,67054,1.8,0.9,1.6
"Avon","Central Region",2016,"Cocaine",1,55,364,9163,2479,67054,1.8,4,3.7
"Avon","Central Region",2015,"Heroin",28,105,3468,8799,24247,67992,26.7,39.4,35.7
"Avon","Central Region",2015,"Marijuana, Hashish, THC",6,105,921,8799,8754,67992,5.7,10.5,12.9
"Avon","Central Region",2015,"Crack",1,105,194,8799,2169,67992,1,2.2,3.2
"Avon","Central Region",2015,"Benzodiazepines",1,105,91,8799,817,67992,1,1,1.2
"Avon","Central Region",2015,"Other",1,105,106,8799,856,67992,1,1.2,1.3
"Barkhamsted","Western Region",2016,"Heroin",23,36,5285,13371,25634,67054,63.9,39.5,38.2
"Barkhamsted","Western Region",2016,"Marijuana, Hashish, THC",2,36,1778,13371,8159,67054,5.6,13.3,12.2
"Barkhamsted","Western Region",2016,"Alcohol",5,36,4390,13371,23336,67054,13.9,32.8,34.8
"Barkhamsted","Western Region",2016,"Other Opiates and Synthetics",1,36,603,13371,2792,67054,2.8,4.5,4.2
"Barkhamsted","Western Region",2016,"Cocaine",2,36,479,13371,2479,67054,5.6,3.6,3.7
"Barkhamsted","Western Region",2016,"Other",3,36,115,13371,719,67054,8.3,0.9,1.1
"Beacon Falls","Western Region",2014,"Heroin",14,49,3897,11656,21053,65045,28.6,33.4,32.4
"Beacon Falls","Western Region",2014,"Other Opiates and Synthetics",5,49,620,11656,3231,65045,10.2,5.3,5
"Beacon Falls","Western Region",2014,"Marijuana, Hashish, THC",2,49,1521,11656,8281,65045,4.1,13,12.7
"Beacon Falls","Western Region",2014,"Benzodiazepines",3,49,130,11656,841,65045,6.1,1.1,1.3
"Beacon Falls","Western Region",2014,"Cocaine",1,49,534,11656,2712,65045,2,4.6,4.2
"Beacon Falls","Western Region",2014,"Alcohol",22,49,4225,11656,24611,65045,44.9,36.2,37.8
"Beacon Falls","Western Region",2014,"Crack",2,49,412,11656,2496,65045,4.1,3.5,3.8
"Beacon Falls","Western Region",2016,"Heroin",65,117,5285,13371,25634,67054,55.6,39.5,38.2
"Beacon Falls","Western Region",2016,"Marijuana, Hashish, THC",6,117,1778,13371,8159,67054,5.1,13.3,12.2
"Beacon Falls","Western Region",2016,"Alcohol",36,117,4390,13371,23336,67054,30.8,32.8,34.8
"Beacon Falls","Western Region",2016,"Cocaine",1,117,479,13371,2479,67054,0.9,3.6,3.7
"Beacon Falls","Western Region",2016,"Other Opiates and Synthetics",5,117,603,13371,2792,67054,4.3,4.5,4.2
"Beacon Falls","Western Region",2015,"Other Opiates and Synthetics",8,79,684,12679,3209,67992,10.1,5.4,4.7
"Beacon Falls","Western Region",2016,"Benzodiazepines",3,117,161,13371,840,67054,2.6,1.2,1.3
"Beacon Falls","Western Region",2016,"Crack",1,117,408,13371,2039,67054,0.9,3.1,3
"Beacon Falls","Western Region",2015,"Marijuana, Hashish, THC",7,79,1743,12679,8754,67992,8.9,13.7,12.9
"Beacon Falls","Western Region",2015,"Crack",1,79,415,12679,2169,67992,1.3,3.3,3.2
"Beacon Falls","Western Region",2015,"Alcohol",27,79,4216,12679,24428,67992,34.2,33.3,35.9
"Beacon Falls","Western Region",2015,"Other",1,79,156,12679,856,67992,1.3,1.2,1.3
"Beacon Falls","Western Region",2015,"Heroin",31,79,4773,12679,24247,67992,39.2,37.6,35.7
"Beacon Falls","Western Region",2015,"Benzodiazepines",3,79,138,12679,817,67992,3.8,1.1,1.2
"Beacon Falls","Western Region",2015,"Cocaine",1,79,435,12679,2450,67992,1.3,3.4,3.6
"Berlin","Central Region",2016,"Cocaine",15,250,364,9163,2479,67054,6,4,3.7
"Berlin","Central Region",2016,"Crack",2,250,186,9163,2039,67054,0.8,2,3
"Berlin","Central Region",2016,"Heroin",93,250,3717,9163,25634,67054,37.2,40.6,38.2
"Berlin","Central Region",2014,"Crack",3,217,186,8170,2496,65045,1.4,2.3,3.8
"Berlin","Central Region",2016,"Marijuana, Hashish, THC",20,250,994,9163,8159,67054,8,10.8,12.2
"Berlin","Central Region",2016,"Benzodiazepines",5,250,87,9163,840,67054,2,0.9,1.3
"Berlin","Central Region",2014,"Alcohol",93,217,3296,8170,24611,65045,42.9,40.3,37.8
"Berlin","Central Region",2014,"Cocaine",11,217,360,8170,2712,65045,5.1,4.4,4.2
"Berlin","Central Region",2016,"Alcohol",101,250,3310,9163,23336,67054,40.4,36.1,34.8
"Berlin","Central Region",2016,"Other Opiates and Synthetics",6,250,357,9163,2792,67054,2.4,3.9,4.2
"Berlin","Central Region",2014,"Marijuana, Hashish, THC",21,217,920,8170,8281,65045,9.7,11.3,12.7
"Berlin","Central Region",2014,"PCP",2,217,51,8170,1023,65045,0.9,0.6,1.6
"Berlin","Central Region",2016,"Other",7,250,67,9163,719,67054,2.8,0.7,1.1
"Berlin","Central Region",2014,"Heroin",75,217,2843,8170,21053,65045,34.6,34.8,32.4
"Berlin","Central Region",2014,"Other Opiates and Synthetics",9,217,375,8170,3231,65045,4.1,4.6,5
"Berlin","Central Region",2015,"Alcohol",111,254,3210,8799,24428,67992,43.7,36.5,35.9
"Berlin","Central Region",2015,"Crack",4,254,194,8799,2169,67992,1.6,2.2,3.2
"Berlin","Central Region",2015,"Heroin",102,254,3468,8799,24247,67992,40.2,39.4,35.7
"Berlin","Central Region",2015,"Marijuana, Hashish, THC",19,254,921,8799,8754,67992,7.5,10.5,12.9
"Berlin","Central Region",2016,"PCP",1,250,81,9163,1056,67054,0.4,0.9,1.6
"Berlin","Central Region",2015,"Cocaine",8,254,311,8799,2450,67992,3.1,3.5,3.6
"Berlin","Central Region",2015,"Other Opiates and Synthetics",7,254,426,8799,3209,67992,2.8,4.8,4.7
"Berlin","Central Region",2015,"Other",3,254,106,8799,856,67992,1.2,1.2,1.3
"Berlin","Central Region",2014,"Other",3,217,83,8170,797,65045,1.4,1,1.2
"Bethany","South Central Region",2016,"Other Opiates and Synthetics",3,29,638,11087,2792,67054,10.3,5.8,4.2
"Bethany","South Central Region",2015,"Other Opiates and Synthetics",5,25,699,11215,3209,67992,20,6.2,4.7
"Bethany","South Central Region",2016,"Alcohol",9,29,3516,11087,23336,67054,31,31.7,34.8
"Bethany","South Central Region",2015,"Alcohol",4,25,3933,11215,24428,67992,16,35.1,35.9
"Bethany","South Central Region",2016,"Heroin",13,29,3851,11087,25634,67054,44.8,34.7,38.2
"Bethany","South Central Region",2015,"Other",2,25,209,11215,856,67992,8,1.9,1.3
"Bethany","South Central Region",2016,"Marijuana, Hashish, THC",4,29,1502,11087,8159,67054,13.8,13.5,12.2
"Bethany","South Central Region",2015,"Heroin",13,25,3629,11215,24247,67992,52,32.4,35.7
"Bethany","South Central Region",2015,"Marijuana, Hashish, THC",1,25,1381,11215,8754,67992,4,12.3,12.9
"Bethel","Western Region",2015,"Marijuana, Hashish, THC",30,267,1743,12679,8754,67992,11.2,13.7,12.9
"Bethel","Western Region",2015,"Alcohol",121,267,4216,12679,24428,67992,45.3,33.3,35.9
"Bethel","Western Region",2015,"Heroin",89,267,4773,12679,24247,67992,33.3,37.6,35.7
"Bethel","Western Region",2015,"Other Opiates and Synthetics",12,267,684,12679,3209,67992,4.5,5.4,4.7
"Bethel","Western Region",2016,"Alcohol",126,282,4390,13371,23336,67054,44.7,32.8,34.8
"Bethel","Western Region",2015,"Crack",5,267,415,12679,2169,67992,1.9,3.3,3.2
"Bethel","Western Region",2015,"Benzodiazepines",2,267,138,12679,817,67992,0.7,1.1,1.2
"Bethel","Western Region",2014,"Other",4,242,191,11656,797,65045,1.7,1.6,1.2
"Bethel","Western Region",2014,"Other Opiates and Synthetics",25,242,620,11656,3231,65045,10.3,5.3,5
"Bethel","Western Region",2014,"PCP",1,242,126,11656,1023,65045,0.4,1.1,1.6
"Bethel","Western Region",2014,"Alcohol",97,242,4225,11656,24611,65045,40.1,36.2,37.8
"Bethel","Western Region",2014,"Heroin",87,242,3897,11656,21053,65045,36,33.4,32.4
"Bethel","Western Region",2014,"Marijuana, Hashish, THC",22,242,1521,11656,8281,65045,9.1,13,12.7
"Bethel","Western Region",2015,"Cocaine",7,267,435,12679,2450,67992,2.6,3.4,3.6
"Bethel","Western Region",2014,"Cocaine",4,242,534,11656,2712,65045,1.7,4.6,4.2
"Bethel","Western Region",2014,"Benzodiazepines",2,242,130,11656,841,65045,0.8,1.1,1.3
"Bethel","Western Region",2016,"Marijuana, Hashish, THC",13,282,1778,13371,8159,67054,4.6,13.3,12.2
"Bethel","Western Region",2016,"Heroin",107,282,5285,13371,25634,67054,37.9,39.5,38.2
"Bethel","Western Region",2016,"Other Opiates and Synthetics",18,282,603,13371,2792,67054,6.4,4.5,4.2
"Bethel","Western Region",2016,"Crack",2,282,408,13371,2039,67054,0.7,3.1,3
"Bethel","Western Region",2016,"Benzodiazepines",4,282,161,13371,840,67054,1.4,1.2,1.3
"Bethel","Western Region",2016,"Cocaine",11,282,479,13371,2479,67054,3.9,3.6,3.7
"Bethel","Western Region",2016,"Other",1,282,115,13371,719,67054,0.4,0.9,1.1
"Bethel","Western Region",2015,"Other",1,267,156,12679,856,67992,0.4,1.2,1.3
"Bloomfield","North Central Region",2014,"Alcohol",112,216,4698,12451,24611,65045,51.9,37.7,37.8
"Bloomfield","North Central Region",2014,"Heroin",43,216,4391,12451,21053,65045,19.9,35.3,32.4
"Bloomfield","North Central Region",2016,"Alcohol",121,242,4311,11955,23336,67054,50,36.1,34.8
"Bloomfield","North Central Region",2014,"Marijuana, Hashish, THC",37,216,1627,12451,8281,65045,17.1,13.1,12.7
"Bloomfield","North Central Region",2016,"Crack",10,242,387,11955,2039,67054,4.1,3.2,3
"Bloomfield","North Central Region",2014,"Other Opiates and Synthetics",4,216,287,12451,3231,65045,1.9,2.3,5
"Bloomfield","North Central Region",2014,"PCP",1,216,244,12451,1023,65045,0.5,2,1.6
"Bloomfield","North Central Region",2016,"Benzodiazepines",1,242,54,11955,840,67054,0.4,0.5,1.3
"Bloomfield","North Central Region",2016,"Heroin",48,242,4658,11955,25634,67054,19.8,39,38.2
"Bloomfield","North Central Region",2016,"Marijuana, Hashish, THC",38,242,1527,11955,8159,67054,15.7,12.8,12.2
"Bloomfield","North Central Region",2016,"Cocaine",16,242,386,11955,2479,67054,6.6,3.2,3.7
"Bloomfield","North Central Region",2016,"Other",6,242,119,11955,719,67054,2.5,1,1.1
"Bloomfield","North Central Region",2016,"PCP",1,242,277,11955,1056,67054,0.4,2.3,1.6
"Bloomfield","North Central Region",2016,"Other Opiates and Synthetics",1,242,236,11955,2792,67054,0.4,2,4.2
"Bloomfield","North Central Region",2014,"Crack",10,216,501,12451,2496,65045,4.6,4,3.8
"Bloomfield","North Central Region",2014,"Cocaine",5,216,512,12451,2712,65045,2.3,4.1,4.2
"Bloomfield","North Central Region",2014,"Other",4,216,100,12451,797,65045,1.9,0.8,1.2
"Bloomfield","North Central Region",2015,"Cocaine",9,237,433,12409,2450,67992,3.8,3.5,3.6
"Bloomfield","North Central Region",2015,"Other",7,237,126,12409,856,67992,3,1,1.3
"Bloomfield","North Central Region",2015,"Heroin",56,237,4744,12409,24247,67992,23.6,38.2,35.7
"Bloomfield","North Central Region",2015,"Marijuana, Hashish, THC",53,237,1741,12409,8754,67992,22.4,14,12.9
"Bloomfield","North Central Region",2015,"Alcohol",96,237,4350,12409,24428,67992,40.5,35.1,35.9
"Bloomfield","North Central Region",2015,"PCP",11,237,301,12409,1062,67992,4.6,2.4,1.6
"Bloomfield","North Central Region",2015,"Crack",1,237,393,12409,2169,67992,0.4,3.2,3.2
"Bloomfield","North Central Region",2015,"Other Opiates and Synthetics",4,237,261,12409,3209,67992,1.7,2.1,4.7
"Bozrah","Eastern Region",2014,"Marijuana, Hashish, THC",2,39,1153,13735,8281,65045,5.1,8.4,12.7
"Bozrah","Eastern Region",2014,"Other",3,39,156,13735,797,65045,7.7,1.1,1.2
"Bozrah","Eastern Region",2014,"Cocaine",3,39,459,13735,2712,65045,7.7,3.3,4.2
"Bozrah","Eastern Region",2014,"Heroin",10,39,4277,13735,21053,65045,25.6,31.1,32.4
"Bozrah","Eastern Region",2015,"Heroin",3,23,4615,13332,24247,67992,13,34.6,35.7
"Bozrah","Eastern Region",2014,"Alcohol",21,39,6324,13735,24611,65045,53.8,46,37.8
"Bozrah","Eastern Region",2015,"Cocaine",1,23,413,13332,2450,67992,4.3,3.1,3.6
"Bozrah","Eastern Region",2015,"Marijuana, Hashish, THC",4,23,1038,13332,8754,67992,17.4,7.8,12.9
"Bozrah","Eastern Region",2015,"Alcohol",13,23,5886,13332,24428,67992,56.5,44.1,35.9
"Bozrah","Eastern Region",2015,"Crack",1,23,362,13332,2169,67992,4.3,2.7,3.2
"Bozrah","Eastern Region",2015,"Benzodiazepines",1,23,107,13332,817,67992,4.3,0.8,1.2
"Branford","South Central Region",2015,"Heroin",187,452,3629,11215,24247,67992,41.4,32.4,35.7
"Branford","South Central Region",2015,"Marijuana, Hashish, THC",17,452,1381,11215,8754,67992,3.8,12.3,12.9
"Branford","South Central Region",2015,"Crack",6,452,424,11215,2169,67992,1.3,3.8,3.2
"Branford","South Central Region",2014,"Heroin",160,437,2974,10142,21053,65045,36.6,29.3,32.4
"Branford","South Central Region",2014,"Cocaine",14,437,411,10142,2712,65045,3.2,4.1,4.2
"Branford","South Central Region",2015,"Other Opiates and Synthetics",48,452,699,11215,3209,67992,10.6,6.2,4.7
"Branford","South Central Region",2015,"Other",13,452,209,11215,856,67992,2.9,1.9,1.3
"Branford","South Central Region",2014,"Alcohol",166,437,3477,10142,24611,65045,38,34.3,37.8
"Branford","South Central Region",2015,"Benzodiazepines",9,452,278,11215,817,67992,2,2.5,1.2
"Branford","South Central Region",2014,"Other Opiates and Synthetics",46,437,717,10142,3231,65045,10.5,7.1,5
"Branford","South Central Region",2014,"Marijuana, Hashish, THC",22,437,1356,10142,8281,65045,5,13.4,12.7
"Branford","South Central Region",2015,"Alcohol",156,452,3933,11215,24428,67992,34.5,35.1,35.9
"Branford","South Central Region",2016,"Heroin",179,430,3851,11087,25634,67054,41.6,34.7,38.2
"Branford","South Central Region",2016,"Benzodiazepines",18,430,257,11087,840,67054,4.2,2.3,1.3
"Branford","South Central Region",2016,"Cocaine",13,430,485,11087,2479,67054,3,4.4,3.7
"Branford","South Central Region",2016,"Marijuana, Hashish, THC",17,430,1502,11087,8159,67054,4,13.5,12.2
"Branford","South Central Region",2016,"Other Opiates and Synthetics",41,430,638,11087,2792,67054,9.5,5.8,4.2
"Branford","South Central Region",2016,"Alcohol",146,430,3516,11087,23336,67054,34,31.7,34.8
"Branford","South Central Region",2014,"Crack",11,437,514,10142,2496,65045,2.5,5.1,3.8
"Branford","South Central Region",2014,"Benzodiazepines",15,437,281,10142,841,65045,3.4,2.8,1.3
"Branford","South Central Region",2016,"Other",8,430,175,11087,719,67054,1.9,1.6,1.1
"Branford","South Central Region",2014,"Other",3,437,168,10142,797,65045,0.7,1.7,1.2
"Branford","South Central Region",2015,"PCP",2,452,242,11215,1062,67992,0.4,2.2,1.6
"Branford","South Central Region",2015,"Cocaine",14,452,420,11215,2450,67992,3.1,3.7,3.6
"Branford","South Central Region",2016,"Crack",8,430,388,11087,2039,67054,1.9,3.5,3
"Bridgeport","Southwest Region",2014,"Other",55,4940,99,8891,797,65045,1.1,1.1,1.2
"Bridgeport","Southwest Region",2015,"Marijuana, Hashish, THC",1133,5121,1930,9558,8754,67992,22.1,20.2,12.9
"Bridgeport","Southwest Region",2015,"PCP",180,5121,285,9558,1062,67992,3.5,3,1.6
"Bridgeport","Southwest Region",2015,"Alcohol",1254,5121,2833,9558,24428,67992,24.5,29.6,35.9
"Bridgeport","Southwest Region",2014,"Crack",353,4940,479,8891,2496,65045,7.1,5.4,3.8
"Bridgeport","Southwest Region",2015,"Other",58,5121,98,9558,856,67992,1.1,1,1.3
"Bridgeport","Southwest Region",2015,"Benzodiazepines",61,5121,143,9558,817,67992,1.2,1.5,1.2
"Bridgeport","Southwest Region",2015,"Crack",272,5121,381,9558,2169,67992,5.3,4,3.2
"Bridgeport","Southwest Region",2015,"Other Opiates and Synthetics",181,5121,432,9558,3209,67992,3.5,4.5,4.7
"Bridgeport","Southwest Region",2015,"Cocaine",274,5121,438,9558,2450,67992,5.4,4.6,3.6
"Bridgeport","Southwest Region",2015,"Heroin",1708,5121,3018,9558,24247,67992,33.4,31.6,35.7
"Bridgeport","Southwest Region",2016,"Other Opiates and Synthetics",181,5010,416,8741,2792,67054,3.6,4.8,4.2
"Bridgeport","Southwest Region",2014,"Cocaine",266,4940,436,8891,2712,65045,5.4,4.9,4.2
"Bridgeport","Southwest Region",2014,"Marijuana, Hashish, THC",1050,4940,1704,8891,8281,65045,21.3,19.2,12.7
"Bridgeport","Southwest Region",2014,"Heroin",1583,4940,2671,8891,21053,65045,32,30,32.4
"Bridgeport","Southwest Region",2014,"Other Opiates and Synthetics",179,4940,437,8891,3231,65045,3.6,4.9,5
"Bridgeport","Southwest Region",2014,"PCP",202,4940,300,8891,1023,65045,4.1,3.4,1.6
"Bridgeport","Southwest Region",2014,"Alcohol",1166,4940,2591,8891,24611,65045,23.6,29.1,37.8
"Bridgeport","Southwest Region",2014,"Benzodiazepines",86,4940,174,8891,841,65045,1.7,2,1.3
"Bridgeport","Southwest Region",2016,"Heroin",2000,5010,3226,8741,25634,67054,39.9,36.9,38.2
"Bridgeport","Southwest Region",2016,"Marijuana, Hashish, THC",834,5010,1359,8741,8159,67054,16.6,15.5,12.2
"Bridgeport","Southwest Region",2016,"PCP",158,5010,227,8741,1056,67054,3.2,2.6,1.6
"Bridgeport","Southwest Region",2016,"Other",67,5010,110,8741,719,67054,1.3,1.3,1.1
"Bridgeport","Southwest Region",2016,"Alcohol",1166,5010,2491,8741,23336,67054,23.3,28.5,34.8
"Bridgeport","Southwest Region",2016,"Benzodiazepines",101,5010,177,8741,840,67054,2,2,1.3
"Bridgeport","Southwest Region",2016,"Cocaine",247,5010,375,8741,2479,67054,4.9,4.3,3.7
"Bridgeport","Southwest Region",2016,"Crack",256,5010,360,8741,2039,67054,5.1,4.1,3
"Bristol","Central Region",2014,"Marijuana, Hashish, THC",152,1372,920,8170,8281,65045,11.1,11.3,12.7
"Bristol","Central Region",2016,"Cocaine",64,1718,364,9163,2479,67054,3.7,4,3.7
"Bristol","Central Region",2016,"Benzodiazepines",10,1718,87,9163,840,67054,0.6,0.9,1.3
"Bristol","Central Region",2014,"Alcohol",475,1372,3296,8170,24611,65045,34.6,40.3,37.8
"Bristol","Central Region",2014,"Cocaine",57,1372,360,8170,2712,65045,4.2,4.4,4.2
"Bristol","Central Region",2014,"Crack",29,1372,186,8170,2496,65045,2.1,2.3,3.8
"Bristol","Central Region",2014,"PCP",8,1372,51,8170,1023,65045,0.6,0.6,1.6
"Bristol","Central Region",2014,"Benzodiazepines",8,1372,56,8170,841,65045,0.6,0.7,1.3
"Bristol","Central Region",2014,"Other",15,1372,83,8170,797,65045,1.1,1,1.2
"Bristol","Central Region",2014,"Heroin",558,1372,2843,8170,21053,65045,40.7,34.8,32.4
"Bristol","Central Region",2014,"Other Opiates and Synthetics",70,1372,375,8170,3231,65045,5.1,4.6,5
"Bristol","Central Region",2016,"Alcohol",618,1718,3310,9163,23336,67054,36,36.1,34.8
"Bristol","Central Region",2016,"Crack",34,1718,186,9163,2039,67054,2,2,3
"Bristol","Central Region",2016,"Heroin",752,1718,3717,9163,25634,67054,43.8,40.6,38.2
"Bristol","Central Region",2016,"Marijuana, Hashish, THC",157,1718,994,9163,8159,67054,9.1,10.8,12.2
"Bristol","Central Region",2016,"Other Opiates and Synthetics",66,1718,357,9163,2792,67054,3.8,3.9,4.2
"Bristol","Central Region",2016,"PCP",10,1718,81,9163,1056,67054,0.6,0.9,1.6
"Bristol","Central Region",2016,"Other",7,1718,67,9163,719,67054,0.4,0.7,1.1
"Bristol","Central Region",2015,"Crack",47,1572,194,8799,2169,67992,3,2.2,3.2
"Bristol","Central Region",2015,"Heroin",667,1572,3468,8799,24247,67992,42.4,39.4,35.7
"Bristol","Central Region",2015,"Marijuana, Hashish, THC",163,1572,921,8799,8754,67992,10.4,10.5,12.9
"Bristol","Central Region",2015,"Other Opiates and Synthetics",89,1572,426,8799,3209,67992,5.7,4.8,4.7
"Bristol","Central Region",2015,"Alcohol",525,1572,3210,8799,24428,67992,33.4,36.5,35.9
"Bristol","Central Region",2015,"Cocaine",43,1572,311,8799,2450,67992,2.7,3.5,3.6
"Bristol","Central Region",2015,"Other",16,1572,106,8799,856,67992,1,1.2,1.3
"Bristol","Central Region",2015,"Benzodiazepines",13,1572,91,8799,817,67992,0.8,1,1.2
"Bristol","Central Region",2015,"PCP",9,1572,72,8799,1062,67992,0.6,0.8,1.6
"Brookfield","Western Region",2014,"Alcohol",64,185,4225,11656,24611,65045,34.6,36.2,37.8
"Brookfield","Western Region",2015,"Heroin",79,185,4773,12679,24247,67992,42.7,37.6,35.7
"Brookfield","Western Region",2015,"Alcohol",64,185,4216,12679,24428,67992,34.6,33.3,35.9
"Brookfield","Western Region",2016,"Cocaine",4,177,479,13371,2479,67054,2.3,3.6,3.7
"Brookfield","Western Region",2016,"Crack",2,177,408,13371,2039,67054,1.1,3.1,3
"Brookfield","Western Region",2016,"Heroin",77,177,5285,13371,25634,67054,43.5,39.5,38.2
"Brookfield","Western Region",2016,"Alcohol",61,177,4390,13371,23336,67054,34.5,32.8,34.8
"Brookfield","Western Region",2015,"Other",4,185,156,12679,856,67992,2.2,1.2,1.3
"Brookfield","Western Region",2016,"Benzodiazepines",9,177,161,13371,840,67054,5.1,1.2,1.3
"Brookfield","Western Region",2016,"Other Opiates and Synthetics",8,177,603,13371,2792,67054,4.5,4.5,4.2
"Brookfield","Western Region",2014,"Heroin",81,185,3897,11656,21053,65045,43.8,33.4,32.4
"Brookfield","Western Region",2014,"Marijuana, Hashish, THC",15,185,1521,11656,8281,65045,8.1,13,12.7
"Brookfield","Western Region",2014,"Other",5,185,191,11656,797,65045,2.7,1.6,1.2
"Brookfield","Western Region",2016,"Marijuana, Hashish, THC",11,177,1778,13371,8159,67054,6.2,13.3,12.2
"Brookfield","Western Region",2016,"Other",5,177,115,13371,719,67054,2.8,0.9,1.1
"Brookfield","Western Region",2014,"Cocaine",1,185,534,11656,2712,65045,0.5,4.6,4.2
