"Town","FIPS","Year","Gender","Measure Type","Variable","Value","Region"
"Ashford",901501430,"2012-2016","Total","Percent","Employed or Enrolled Youth",100,"Eastern Region"
"Ashford",901501430,"2012-2016","Total","Percent","Margins of Error",59.18,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","Number","Employed or Enrolled Youth",48,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","Number","Margins of Error",34,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"Eastern Region"
"Ashford",901501430,"2012-2016","Female","Percent","Margins of Error",98.67,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","Number","Employed or Enrolled Youth",99,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","Number","Margins of Error",51,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","Percent","Employed or Enrolled Youth",100,"Eastern Region"
"Ashford",901501430,"2012-2016","Male","Percent","Margins of Error",69.82,"Eastern Region"
"Avon",900302060,"2012-2016","Total","Number","Employed or Enrolled Youth",941,"Central Region"
"Avon",900302060,"2012-2016","Total","Number","Margins of Error",167,"Central Region"
"Avon",900302060,"2012-2016","Total","Percent","Employed or Enrolled Youth",100,"Central Region"
"Avon",900302060,"2012-2016","Total","Percent","Margins of Error",23.63,"Central Region"
"Avon",900302060,"2012-2016","Female","Number","Employed or Enrolled Youth",438,"Central Region"
"Avon",900302060,"2012-2016","Female","Number","Margins of Error",117,"Central Region"
"Avon",900302060,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"Central Region"
"Avon",900302060,"2012-2016","Female","Percent","Margins of Error",37.32,"Central Region"
"Avon",900302060,"2012-2016","Male","Number","Employed or Enrolled Youth",503,"Central Region"
"Avon",900302060,"2012-2016","Male","Number","Margins of Error",119,"Central Region"
"Avon",900302060,"2012-2016","Male","Percent","Employed or Enrolled Youth",100,"Central Region"
"Avon",900302060,"2012-2016","Male","Percent","Margins of Error",33.28,"Central Region"
"Barkhamsted",900502760,"2012-2016","Total","Number","Employed or Enrolled Youth",135,"Western Region"
"Barkhamsted",900502760,"2012-2016","Total","Number","Margins of Error",72,"Western Region"
"Barkhamsted",900502760,"2012-2016","Total","Percent","Employed or Enrolled Youth",100,"Western Region"
"Barkhamsted",900502760,"2012-2016","Total","Percent","Margins of Error",70.86,"Western Region"
"Barkhamsted",900502760,"2012-2016","Female","Number","Employed or Enrolled Youth",87,"Western Region"
"Barkhamsted",900502760,"2012-2016","Female","Number","Margins of Error",62,"Western Region"
"Barkhamsted",900502760,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"Western Region"
"Barkhamsted",900502760,"2012-2016","Female","Percent","Margins of Error",99.34,"Western Region"
"Barkhamsted",900502760,"2012-2016","Male","Number","Employed or Enrolled Youth",48,"Western Region"
"Barkhamsted",900502760,"2012-2016","Male","Number","Margins of Error",36,"Western Region"
"Barkhamsted",900502760,"2012-2016","Male","Percent","Employed or Enrolled Youth",100,"Western Region"
"Barkhamsted",900502760,"2012-2016","Male","Percent","Margins of Error",100.69,"Western Region"
"Beacon Falls",900903250,"2012-2016","Total","Number","Employed or Enrolled Youth",401,"Western Region"
"Beacon Falls",900903250,"2012-2016","Total","Number","Margins of Error",197,"Western Region"
"Beacon Falls",900903250,"2012-2016","Total","Percent","Employed or Enrolled Youth",100,"Western Region"
"Beacon Falls",900903250,"2012-2016","Total","Percent","Margins of Error",63.8,"Western Region"
"Beacon Falls",900903250,"2012-2016","Female","Number","Employed or Enrolled Youth",269,"Western Region"
"Beacon Falls",900903250,"2012-2016","Female","Number","Margins of Error",177,"Western Region"
"Beacon Falls",900903250,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"Western Region"
"Beacon Falls",900903250,"2012-2016","Female","Percent","Margins of Error",92.44,"Western Region"
"Beacon Falls",900903250,"2012-2016","Male","Number","Employed or Enrolled Youth",132,"Western Region"
"Beacon Falls",900903250,"2012-2016","Male","Number","Margins of Error",88,"Western Region"
"Beacon Falls",900903250,"2012-2016","Male","Percent","Employed or Enrolled Youth",100,"Western Region"
"Beacon Falls",900903250,"2012-2016","Male","Percent","Margins of Error",93.57,"Western Region"
"Berlin",900304300,"2012-2016","Total","Number","Employed or Enrolled Youth",897,"Central Region"
"Berlin",900304300,"2012-2016","Total","Number","Margins of Error",232,"Central Region"
"Berlin",900304300,"2012-2016","Total","Percent","Employed or Enrolled Youth",100,"Central Region"
"Berlin",900304300,"2012-2016","Total","Percent","Margins of Error",35.12,"Central Region"
"Berlin",900304300,"2012-2016","Female","Number","Employed or Enrolled Youth",361,"Central Region"
"Berlin",900304300,"2012-2016","Female","Number","Margins of Error",149,"Central Region"
"Berlin",900304300,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"Central Region"
"Berlin",900304300,"2012-2016","Female","Percent","Margins of Error",57.84,"Central Region"
"Berlin",900304300,"2012-2016","Male","Number","Employed or Enrolled Youth",536,"Central Region"
"Berlin",900304300,"2012-2016","Male","Number","Margins of Error",178,"Central Region"
"Berlin",900304300,"2012-2016","Male","Percent","Employed or Enrolled Youth",100,"Central Region"
"Berlin",900304300,"2012-2016","Male","Percent","Margins of Error",46.54,"Central Region"
"Bethany",900904580,"2012-2016","Total","Number","Employed or Enrolled Youth",182,"South Central Region"
"Bethany",900904580,"2012-2016","Total","Number","Margins of Error",92,"South Central Region"
"Bethany",900904580,"2012-2016","Total","Percent","Employed or Enrolled Youth",100,"South Central Region"
"Bethany",900904580,"2012-2016","Total","Percent","Margins of Error",67.53,"South Central Region"
"Bethany",900904580,"2012-2016","Female","Number","Employed or Enrolled Youth",48,"South Central Region"
"Bethany",900904580,"2012-2016","Female","Number","Margins of Error",47,"South Central Region"
"Bethany",900904580,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"South Central Region"
"Bethany",900904580,"2012-2016","Female","Percent","Margins of Error",128.05,"South Central Region"
"Bethany",900904580,"2012-2016","Male","Number","Employed or Enrolled Youth",134,"South Central Region"
"Bethany",900904580,"2012-2016","Male","Number","Margins of Error",79,"South Central Region"
"Bethany",900904580,"2012-2016","Male","Percent","Employed or Enrolled Youth",100,"South Central Region"
"Bethany",900904580,"2012-2016","Male","Percent","Margins of Error",81.16,"South Central Region"
"Bethel",900104720,"2012-2016","Total","Number","Employed or Enrolled Youth",930,"Western Region"
"Bethel",900104720,"2012-2016","Total","Number","Margins of Error",179,"Western Region"
"Bethel",900104720,"2012-2016","Total","Percent","Employed or Enrolled Youth",98,"Western Region"
"Bethel",900104720,"2012-2016","Total","Percent","Margins of Error",26.11,"Western Region"
"Bethel",900104720,"2012-2016","Female","Number","Employed or Enrolled Youth",423,"Western Region"
"Bethel",900104720,"2012-2016","Female","Number","Margins of Error",119,"Western Region"
"Bethel",900104720,"2012-2016","Female","Percent","Employed or Enrolled Youth",98.14,"Western Region"
"Bethel",900104720,"2012-2016","Female","Percent","Margins of Error",40.47,"Western Region"
"Bethel",900104720,"2012-2016","Male","Number","Employed or Enrolled Youth",507,"Western Region"
"Bethel",900104720,"2012-2016","Male","Number","Margins of Error",134,"Western Region"
"Bethel",900104720,"2012-2016","Male","Percent","Employed or Enrolled Youth",97.88,"Western Region"
"Bethel",900104720,"2012-2016","Male","Percent","Margins of Error",36.27,"Western Region"
"Bethlehem",900504930,"2012-2016","Total","Number","Employed or Enrolled Youth",232,"Western Region"
"Bethlehem",900504930,"2012-2016","Total","Number","Margins of Error",88,"Western Region"
"Bethlehem",900504930,"2012-2016","Total","Percent","Employed or Enrolled Youth",99.57,"Western Region"
"Bethlehem",900504930,"2012-2016","Total","Percent","Margins of Error",50.39,"Western Region"
"Bethlehem",900504930,"2012-2016","Female","Number","Employed or Enrolled Youth",96,"Western Region"
"Bethlehem",900504930,"2012-2016","Female","Number","Margins of Error",52,"Western Region"
"Bethlehem",900504930,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"Western Region"
"Bethlehem",900504930,"2012-2016","Female","Percent","Margins of Error",74.32,"Western Region"
"Bethlehem",900504930,"2012-2016","Male","Number","Employed or Enrolled Youth",136,"Western Region"
"Bethlehem",900504930,"2012-2016","Male","Number","Margins of Error",71,"Western Region"
"Bethlehem",900504930,"2012-2016","Male","Percent","Employed or Enrolled Youth",99.27,"Western Region"
"Bethlehem",900504930,"2012-2016","Male","Percent","Margins of Error",67.27,"Western Region"
"Bloomfield",900305910,"2012-2016","Total","Number","Employed or Enrolled Youth",858,"North Central Region"
"Bloomfield",900305910,"2012-2016","Total","Number","Margins of Error",212,"North Central Region"
"Bloomfield",900305910,"2012-2016","Total","Percent","Employed or Enrolled Youth",97.72,"North Central Region"
"Bloomfield",900305910,"2012-2016","Total","Percent","Margins of Error",34.93,"North Central Region"
"Bloomfield",900305910,"2012-2016","Female","Number","Employed or Enrolled Youth",355,"North Central Region"
"Bloomfield",900305910,"2012-2016","Female","Number","Margins of Error",116,"North Central Region"
"Bloomfield",900305910,"2012-2016","Female","Percent","Employed or Enrolled Youth",94.92,"North Central Region"
"Bloomfield",900305910,"2012-2016","Female","Percent","Margins of Error",42.99,"North Central Region"
"Bloomfield",900305910,"2012-2016","Male","Number","Employed or Enrolled Youth",503,"North Central Region"
"Bloomfield",900305910,"2012-2016","Male","Number","Margins of Error",177,"North Central Region"
"Bloomfield",900305910,"2012-2016","Male","Percent","Employed or Enrolled Youth",99.8,"North Central Region"
"Bloomfield",900305910,"2012-2016","Male","Percent","Margins of Error",48.38,"North Central Region"
"Bolton",901306260,"2012-2016","Total","Number","Employed or Enrolled Youth",316,"North Central Region"
"Bolton",901306260,"2012-2016","Total","Number","Margins of Error",102,"North Central Region"
"Bolton",901306260,"2012-2016","Total","Percent","Employed or Enrolled Youth",97.23,"North Central Region"
"Bolton",901306260,"2012-2016","Total","Percent","Margins of Error",44.16,"North Central Region"
"Bolton",901306260,"2012-2016","Female","Number","Employed or Enrolled Youth",168,"North Central Region"
"Bolton",901306260,"2012-2016","Female","Number","Margins of Error",66,"North Central Region"
"Bolton",901306260,"2012-2016","Female","Percent","Employed or Enrolled Youth",94.92,"North Central Region"
"Bolton",901306260,"2012-2016","Female","Percent","Margins of Error",51.82,"North Central Region"
"Bolton",901306260,"2012-2016","Male","Number","Employed or Enrolled Youth",148,"North Central Region"
"Bolton",901306260,"2012-2016","Male","Number","Margins of Error",77,"North Central Region"
"Bolton",901306260,"2012-2016","Male","Percent","Employed or Enrolled Youth",100,"North Central Region"
"Bolton",901306260,"2012-2016","Male","Percent","Margins of Error",73.8,"North Central Region"
"Bozrah",901106820,"2012-2016","Total","Number","Employed or Enrolled Youth",130,"Eastern Region"
"Bozrah",901106820,"2012-2016","Total","Number","Margins of Error",57,"Eastern Region"
"Bozrah",901106820,"2012-2016","Total","Percent","Employed or Enrolled Youth",86.09,"Eastern Region"
"Bozrah",901106820,"2012-2016","Total","Percent","Margins of Error",51.52,"Eastern Region"
"Bozrah",901106820,"2012-2016","Female","Number","Employed or Enrolled Youth",70,"Eastern Region"
"Bozrah",901106820,"2012-2016","Female","Number","Margins of Error",43,"Eastern Region"
"Bozrah",901106820,"2012-2016","Female","Percent","Employed or Enrolled Youth",92.11,"Eastern Region"
"Bozrah",901106820,"2012-2016","Female","Percent","Margins of Error",74.55,"Eastern Region"
"Bozrah",901106820,"2012-2016","Male","Number","Employed or Enrolled Youth",60,"Eastern Region"
"Bozrah",901106820,"2012-2016","Male","Number","Margins of Error",37,"Eastern Region"
"Bozrah",901106820,"2012-2016","Male","Percent","Employed or Enrolled Youth",80,"Eastern Region"
"Bozrah",901106820,"2012-2016","Male","Percent","Margins of Error",64.26,"Eastern Region"
"Branford",900907310,"2012-2016","Total","Number","Employed or Enrolled Youth",1289,"South Central Region"
"Branford",900907310,"2012-2016","Total","Number","Margins of Error",256,"South Central Region"
"Branford",900907310,"2012-2016","Total","Percent","Employed or Enrolled Youth",94.57,"South Central Region"
"Branford",900907310,"2012-2016","Total","Percent","Margins of Error",26.53,"South Central Region"
"Branford",900907310,"2012-2016","Female","Number","Employed or Enrolled Youth",717,"South Central Region"
"Branford",900907310,"2012-2016","Female","Number","Margins of Error",185,"South Central Region"
"Branford",900907310,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"South Central Region"
"Branford",900907310,"2012-2016","Female","Percent","Margins of Error",36.27,"South Central Region"
"Branford",900907310,"2012-2016","Male","Number","Employed or Enrolled Youth",572,"South Central Region"
"Branford",900907310,"2012-2016","Male","Number","Margins of Error",177,"South Central Region"
"Branford",900907310,"2012-2016","Male","Percent","Employed or Enrolled Youth",88.54,"South Central Region"
"Branford",900907310,"2012-2016","Male","Percent","Margins of Error",38.02,"South Central Region"
"Bridgeport",900108070,"2012-2016","Total","Number","Employed or Enrolled Youth",7583,"Southwest Region"
"Bridgeport",900108070,"2012-2016","Total","Number","Margins of Error",652,"Southwest Region"
"Bridgeport",900108070,"2012-2016","Total","Percent","Employed or Enrolled Youth",88.58,"Southwest Region"
"Bridgeport",900108070,"2012-2016","Total","Percent","Margins of Error",10.05,"Southwest Region"
"Bridgeport",900108070,"2012-2016","Female","Number","Employed or Enrolled Youth",3675,"Southwest Region"
"Bridgeport",900108070,"2012-2016","Female","Number","Margins of Error",426,"Southwest Region"
"Bridgeport",900108070,"2012-2016","Female","Percent","Employed or Enrolled Youth",89.29,"Southwest Region"
"Bridgeport",900108070,"2012-2016","Female","Percent","Margins of Error",14.1,"Southwest Region"
"Bridgeport",900108070,"2012-2016","Male","Number","Employed or Enrolled Youth",3908,"Southwest Region"
"Bridgeport",900108070,"2012-2016","Male","Number","Margins of Error",494,"Southwest Region"
"Bridgeport",900108070,"2012-2016","Male","Percent","Employed or Enrolled Youth",87.92,"Southwest Region"
"Bridgeport",900108070,"2012-2016","Male","Percent","Margins of Error",14.19,"Southwest Region"
"Bridgewater",900508210,"2012-2016","Total","Number","Employed or Enrolled Youth",84,"Western Region"
"Bridgewater",900508210,"2012-2016","Total","Number","Margins of Error",38,"Western Region"
"Bridgewater",900508210,"2012-2016","Total","Percent","Employed or Enrolled Youth",95.45,"Western Region"
"Bridgewater",900508210,"2012-2016","Total","Percent","Margins of Error",56.52,"Western Region"
"Bridgewater",900508210,"2012-2016","Female","Number","Employed or Enrolled Youth",41,"Western Region"
"Bridgewater",900508210,"2012-2016","Female","Number","Margins of Error",26,"Western Region"
"Bridgewater",900508210,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"Western Region"
"Bridgewater",900508210,"2012-2016","Female","Percent","Margins of Error",82.68,"Western Region"
"Bridgewater",900508210,"2012-2016","Male","Number","Employed or Enrolled Youth",43,"Western Region"
"Bridgewater",900508210,"2012-2016","Male","Number","Margins of Error",29,"Western Region"
"Bridgewater",900508210,"2012-2016","Male","Percent","Employed or Enrolled Youth",91.49,"Western Region"
"Bridgewater",900508210,"2012-2016","Male","Percent","Margins of Error",79.12,"Western Region"
"Bristol",900308490,"2012-2016","Total","Number","Employed or Enrolled Youth",2597,"Central Region"
"Bristol",900308490,"2012-2016","Total","Number","Margins of Error",364,"Central Region"
"Bristol",900308490,"2012-2016","Total","Percent","Employed or Enrolled Youth",90.2,"Central Region"
"Bristol",900308490,"2012-2016","Total","Percent","Margins of Error",17.57,"Central Region"
"Bristol",900308490,"2012-2016","Female","Number","Employed or Enrolled Youth",1115,"Central Region"
"Bristol",900308490,"2012-2016","Female","Number","Margins of Error",251,"Central Region"
"Bristol",900308490,"2012-2016","Female","Percent","Employed or Enrolled Youth",92.76,"Central Region"
"Bristol",900308490,"2012-2016","Female","Percent","Margins of Error",29.17,"Central Region"
"Bristol",900308490,"2012-2016","Male","Number","Employed or Enrolled Youth",1482,"Central Region"
"Bristol",900308490,"2012-2016","Male","Number","Margins of Error",264,"Central Region"
"Bristol",900308490,"2012-2016","Male","Percent","Employed or Enrolled Youth",88.37,"Central Region"
"Bristol",900308490,"2012-2016","Male","Percent","Margins of Error",21.15,"Central Region"
"Brookfield",900108980,"2012-2016","Total","Number","Employed or Enrolled Youth",864,"Western Region"
"Brookfield",900108980,"2012-2016","Total","Number","Margins of Error",199,"Western Region"
"Brookfield",900108980,"2012-2016","Total","Percent","Employed or Enrolled Youth",96.64,"Western Region"
"Brookfield",900108980,"2012-2016","Total","Percent","Margins of Error",30.87,"Western Region"
"Brookfield",900108980,"2012-2016","Female","Number","Employed or Enrolled Youth",444,"Western Region"
"Brookfield",900108980,"2012-2016","Female","Number","Margins of Error",141,"Western Region"
"Brookfield",900108980,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"Western Region"
"Brookfield",900108980,"2012-2016","Female","Percent","Margins of Error",44.37,"Western Region"
"Brookfield",900108980,"2012-2016","Male","Number","Employed or Enrolled Youth",420,"Western Region"
"Brookfield",900108980,"2012-2016","Male","Number","Margins of Error",141,"Western Region"
"Brookfield",900108980,"2012-2016","Male","Percent","Employed or Enrolled Youth",93.33,"Western Region"
"Brookfield",900108980,"2012-2016","Male","Percent","Margins of Error",44.41,"Western Region"
"Brooklyn",901509190,"2012-2016","Total","Number","Employed or Enrolled Youth",175,"Eastern Region"
"Brooklyn",901509190,"2012-2016","Total","Number","Margins of Error",85,"Eastern Region"
"Brooklyn",901509190,"2012-2016","Total","Percent","Employed or Enrolled Youth",98.31,"Eastern Region"
"Brooklyn",901509190,"2012-2016","Total","Percent","Margins of Error",63.31,"Eastern Region"
"Brooklyn",901509190,"2012-2016","Female","Number","Employed or Enrolled Youth",40,"Eastern Region"
"Brooklyn",901509190,"2012-2016","Female","Number","Margins of Error",48,"Eastern Region"
"Brooklyn",901509190,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"Eastern Region"
"Brooklyn",901509190,"2012-2016","Female","Percent","Margins of Error",156.92,"Eastern Region"
"Brooklyn",901509190,"2012-2016","Male","Number","Employed or Enrolled Youth",135,"Eastern Region"
"Brooklyn",901509190,"2012-2016","Male","Number","Margins of Error",71,"Eastern Region"
"Brooklyn",901509190,"2012-2016","Male","Percent","Employed or Enrolled Youth",97.83,"Eastern Region"
"Brooklyn",901509190,"2012-2016","Male","Percent","Margins of Error",69.88,"Eastern Region"
"Burlington",900310100,"2012-2016","Total","Number","Employed or Enrolled Youth",533,"Central Region"
"Burlington",900310100,"2012-2016","Total","Number","Margins of Error",124,"Central Region"
"Burlington",900310100,"2012-2016","Total","Percent","Employed or Enrolled Youth",100,"Central Region"
"Burlington",900310100,"2012-2016","Total","Percent","Margins of Error",32.67,"Central Region"
"Burlington",900310100,"2012-2016","Female","Number","Employed or Enrolled Youth",282,"Central Region"
"Burlington",900310100,"2012-2016","Female","Number","Margins of Error",96,"Central Region"
"Burlington",900310100,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"Central Region"
"Burlington",900310100,"2012-2016","Female","Percent","Margins of Error",47.41,"Central Region"
"Burlington",900310100,"2012-2016","Male","Number","Employed or Enrolled Youth",251,"Central Region"
"Burlington",900310100,"2012-2016","Male","Number","Margins of Error",79,"Central Region"
"Burlington",900310100,"2012-2016","Male","Percent","Employed or Enrolled Youth",100,"Central Region"
"Burlington",900310100,"2012-2016","Male","Percent","Margins of Error",43.61,"Central Region"
"Canaan",900510940,"2012-2016","Total","Number","Employed or Enrolled Youth",67,"Western Region"
"Canaan",900510940,"2012-2016","Total","Number","Margins of Error",34,"Western Region"
"Canaan",900510940,"2012-2016","Total","Percent","Employed or Enrolled Youth",94.37,"Western Region"
"Canaan",900510940,"2012-2016","Total","Percent","Margins of Error",67.16,"Western Region"
"Canaan",900510940,"2012-2016","Female","Number","Employed or Enrolled Youth",48,"Western Region"
"Canaan",900510940,"2012-2016","Female","Number","Margins of Error",29,"Western Region"
"Canaan",900510940,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"Western Region"
"Canaan",900510940,"2012-2016","Female","Percent","Margins of Error",79.14,"Western Region"
"Canaan",900510940,"2012-2016","Male","Number","Employed or Enrolled Youth",19,"Western Region"
"Canaan",900510940,"2012-2016","Male","Number","Margins of Error",19,"Western Region"
"Canaan",900510940,"2012-2016","Male","Percent","Employed or Enrolled Youth",82.61,"Western Region"
"Canaan",900510940,"2012-2016","Male","Percent","Margins of Error",105.26,"Western Region"
"Canterbury",901512130,"2012-2016","Total","Number","Employed or Enrolled Youth",158,"Eastern Region"
"Canterbury",901512130,"2012-2016","Total","Number","Margins of Error",78,"Eastern Region"
"Canterbury",901512130,"2012-2016","Total","Percent","Employed or Enrolled Youth",95.18,"Eastern Region"
"Canterbury",901512130,"2012-2016","Total","Percent","Margins of Error",60.87,"Eastern Region"
"Canterbury",901512130,"2012-2016","Female","Number","Employed or Enrolled Youth",68,"Eastern Region"
"Canterbury",901512130,"2012-2016","Female","Number","Margins of Error",49,"Eastern Region"
"Canterbury",901512130,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"Eastern Region"
"Canterbury",901512130,"2012-2016","Female","Percent","Margins of Error",96.16,"Eastern Region"
"Canterbury",901512130,"2012-2016","Male","Number","Employed or Enrolled Youth",90,"Eastern Region"
"Canterbury",901512130,"2012-2016","Male","Number","Margins of Error",61,"Eastern Region"
"Canterbury",901512130,"2012-2016","Male","Percent","Employed or Enrolled Youth",91.84,"Eastern Region"
"Canterbury",901512130,"2012-2016","Male","Percent","Margins of Error",83.86,"Eastern Region"
"Canton",900312270,"2012-2016","Total","Number","Employed or Enrolled Youth",411,"Central Region"
"Canton",900312270,"2012-2016","Total","Number","Margins of Error",150,"Central Region"
"Canton",900312270,"2012-2016","Total","Percent","Employed or Enrolled Youth",97.16,"Central Region"
"Canton",900312270,"2012-2016","Total","Percent","Margins of Error",47.46,"Central Region"
"Canton",900312270,"2012-2016","Female","Number","Employed or Enrolled Youth",274,"Central Region"
"Canton",900312270,"2012-2016","Female","Number","Margins of Error",118,"Central Region"
"Canton",900312270,"2012-2016","Female","Percent","Employed or Enrolled Youth",95.8,"Central Region"
"Canton",900312270,"2012-2016","Female","Percent","Margins of Error",56.47,"Central Region"
"Canton",900312270,"2012-2016","Male","Number","Employed or Enrolled Youth",137,"Central Region"
"Canton",900312270,"2012-2016","Male","Number","Margins of Error",93,"Central Region"
"Canton",900312270,"2012-2016","Male","Percent","Employed or Enrolled Youth",100,"Central Region"
"Canton",900312270,"2012-2016","Male","Percent","Margins of Error",93.94,"Central Region"
"Chaplin",901513810,"2012-2016","Total","Number","Employed or Enrolled Youth",97,"Eastern Region"
"Chaplin",901513810,"2012-2016","Total","Number","Margins of Error",44,"Eastern Region"
"Chaplin",901513810,"2012-2016","Total","Percent","Employed or Enrolled Youth",97,"Eastern Region"
"Chaplin",901513810,"2012-2016","Total","Percent","Margins of Error",58.24,"Eastern Region"
"Chaplin",901513810,"2012-2016","Female","Number","Employed or Enrolled Youth",48,"Eastern Region"
"Chaplin",901513810,"2012-2016","Female","Number","Margins of Error",33,"Eastern Region"
"Chaplin",901513810,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"Eastern Region"
"Chaplin",901513810,"2012-2016","Female","Percent","Margins of Error",95.95,"Eastern Region"
"Chaplin",901513810,"2012-2016","Male","Number","Employed or Enrolled Youth",49,"Eastern Region"
"Chaplin",901513810,"2012-2016","Male","Number","Margins of Error",29,"Eastern Region"
"Chaplin",901513810,"2012-2016","Male","Percent","Employed or Enrolled Youth",94.23,"Eastern Region"
"Chaplin",901513810,"2012-2016","Male","Percent","Margins of Error",73.59,"Eastern Region"
"Cheshire",900914160,"2012-2016","Total","Number","Employed or Enrolled Youth",1921,"Western Region"
"Cheshire",900914160,"2012-2016","Total","Number","Margins of Error",299,"Western Region"
"Cheshire",900914160,"2012-2016","Total","Percent","Employed or Enrolled Youth",97.46,"Western Region"
"Cheshire",900914160,"2012-2016","Total","Percent","Margins of Error",21,"Western Region"
"Cheshire",900914160,"2012-2016","Female","Number","Employed or Enrolled Youth",822,"Western Region"
"Cheshire",900914160,"2012-2016","Female","Number","Margins of Error",200,"Western Region"
"Cheshire",900914160,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"Western Region"
"Cheshire",900914160,"2012-2016","Female","Percent","Margins of Error",34.27,"Western Region"
"Cheshire",900914160,"2012-2016","Male","Number","Employed or Enrolled Youth",1099,"Western Region"
"Cheshire",900914160,"2012-2016","Male","Number","Margins of Error",221,"Western Region"
"Cheshire",900914160,"2012-2016","Male","Percent","Employed or Enrolled Youth",95.65,"Western Region"
"Cheshire",900914160,"2012-2016","Male","Percent","Margins of Error",26.7,"Western Region"
"Chester",900714300,"2012-2016","Total","Number","Employed or Enrolled Youth",231,"Eastern Region"
"Chester",900714300,"2012-2016","Total","Number","Margins of Error",93,"Eastern Region"
"Chester",900714300,"2012-2016","Total","Percent","Employed or Enrolled Youth",100,"Eastern Region"
"Chester",900714300,"2012-2016","Total","Percent","Margins of Error",60.11,"Eastern Region"
"Chester",900714300,"2012-2016","Female","Number","Employed or Enrolled Youth",100,"Eastern Region"
"Chester",900714300,"2012-2016","Female","Number","Margins of Error",68,"Eastern Region"
"Chester",900714300,"2012-2016","Female","Percent","Employed or Enrolled Youth",100,"Eastern Region"
"Chester",900714300,"2012-2016","Female","Percent","Margins of Error",92.37,"Eastern Region"
"Chester",900714300,"2012-2016","Male","Number","Employed or Enrolled Youth",131,"Eastern Region"
"Chester",900714300,"2012-2016","Male","Number","Margins of Error",64,"Eastern Region"
"Chester",900714300,"2012-2016","Male","Percent","Employed or Enrolled Youth",100,"Eastern Region"
