"Town","FIPS","Year","Measure Period","Indicator","Measure Type","Variable","Value","Region"
"Andover",901301080,2014,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",3,"North Central Region"
"Andover",901301080,2015,"Calendar Year","Referrals","Number","Birth to Three Indicators",3,"North Central Region"
"Andover",901301080,2015,"Calendar Year","Evaluations","Number","Birth to Three Indicators",4,"North Central Region"
"Andover",901301080,2015,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",3,"North Central Region"
"Andover",901301080,2015,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",4,"North Central Region"
"Andover",901301080,2015,"Calendar Year","Total Served","Number","Birth to Three Indicators",4,"North Central Region"
"Andover",901301080,2015,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",1,"North Central Region"
"Andover",901301080,2016,"Calendar Year","Referrals","Number","Birth to Three Indicators",3,"North Central Region"
"Andover",901301080,2016,"Calendar Year","Evaluations","Number","Birth to Three Indicators",2,"North Central Region"
"Andover",901301080,2016,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",1,"North Central Region"
"Andover",901301080,2016,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",4,"North Central Region"
"Andover",901301080,2016,"Calendar Year","Total Served","Number","Birth to Three Indicators",4,"North Central Region"
"Andover",901301080,2016,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",0,"North Central Region"
"Ansonia",900901220,2005,"Calendar Year","Referrals","Number","Birth to Three Indicators",40,"South Central Region"
"Ansonia",900901220,2005,"Calendar Year","Evaluations","Number","Birth to Three Indicators",40,"South Central Region"
"Ansonia",900901220,2005,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",30,"South Central Region"
"Ansonia",900901220,2005,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",52,"South Central Region"
"Ansonia",900901220,2005,"Calendar Year","Total Served","Number","Birth to Three Indicators",49,"South Central Region"
"Ansonia",900901220,2005,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",10,"South Central Region"
"Ansonia",900901220,2006,"Calendar Year","Referrals","Number","Birth to Three Indicators",27,"South Central Region"
"Ansonia",900901220,2006,"Calendar Year","Evaluations","Number","Birth to Three Indicators",21,"South Central Region"
"Ansonia",900901220,2006,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",10,"South Central Region"
"Ansonia",900901220,2006,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",38,"South Central Region"
"Ansonia",900901220,2006,"Calendar Year","Total Served","Number","Birth to Three Indicators",38,"South Central Region"
"Ansonia",900901220,2006,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",11,"South Central Region"
"Ansonia",900901220,2007,"Calendar Year","Referrals","Number","Birth to Three Indicators",42,"South Central Region"
"Ansonia",900901220,2007,"Calendar Year","Evaluations","Number","Birth to Three Indicators",36,"South Central Region"
"Ansonia",900901220,2007,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",19,"South Central Region"
"Ansonia",900901220,2007,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",32,"South Central Region"
"Ansonia",900901220,2007,"Calendar Year","Total Served","Number","Birth to Three Indicators",30,"South Central Region"
"Ansonia",900901220,2007,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",11,"South Central Region"
"Ansonia",900901220,2008,"Calendar Year","Referrals","Number","Birth to Three Indicators",33,"South Central Region"
"Ansonia",900901220,2008,"Calendar Year","Evaluations","Number","Birth to Three Indicators",34,"South Central Region"
"Ansonia",900901220,2008,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",22,"South Central Region"
"Ansonia",900901220,2008,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",33,"South Central Region"
"Ansonia",900901220,2008,"Calendar Year","Total Served","Number","Birth to Three Indicators",32,"South Central Region"
"Ansonia",900901220,2008,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",7,"South Central Region"
"Ansonia",900901220,2009,"Calendar Year","Referrals","Number","Birth to Three Indicators",41,"South Central Region"
"Ansonia",900901220,2009,"Calendar Year","Evaluations","Number","Birth to Three Indicators",40,"South Central Region"
"Ansonia",900901220,2009,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",30,"South Central Region"
"Ansonia",900901220,2009,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",42,"South Central Region"
"Ansonia",900901220,2009,"Calendar Year","Total Served","Number","Birth to Three Indicators",41,"South Central Region"
"Ansonia",900901220,2009,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",5,"South Central Region"
"Ansonia",900901220,2010,"Calendar Year","Referrals","Number","Birth to Three Indicators",38,"South Central Region"
"Ansonia",900901220,2010,"Calendar Year","Evaluations","Number","Birth to Three Indicators",37,"South Central Region"
"Ansonia",900901220,2010,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",27,"South Central Region"
"Ansonia",900901220,2010,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",51,"South Central Region"
"Ansonia",900901220,2010,"Calendar Year","Total Served","Number","Birth to Three Indicators",49,"South Central Region"
"Ansonia",900901220,2010,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",12,"South Central Region"
"Ansonia",900901220,2011,"Calendar Year","Referrals","Number","Birth to Three Indicators",28,"South Central Region"
"Ansonia",900901220,2011,"Calendar Year","Evaluations","Number","Birth to Three Indicators",26,"South Central Region"
"Ansonia",900901220,2011,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",16,"South Central Region"
"Ansonia",900901220,2011,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",45,"South Central Region"
"Ansonia",900901220,2011,"Calendar Year","Total Served","Number","Birth to Three Indicators",45,"South Central Region"
"Ansonia",900901220,2011,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",11,"South Central Region"
"Ansonia",900901220,2012,"Calendar Year","Referrals","Number","Birth to Three Indicators",36,"South Central Region"
"Ansonia",900901220,2012,"Calendar Year","Evaluations","Number","Birth to Three Indicators",33,"South Central Region"
"Ansonia",900901220,2012,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",23,"South Central Region"
"Ansonia",900901220,2012,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",47,"South Central Region"
"Ansonia",900901220,2012,"Calendar Year","Total Served","Number","Birth to Three Indicators",47,"South Central Region"
"Ansonia",900901220,2012,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",11,"South Central Region"
"Ansonia",900901220,2013,"Calendar Year","Referrals","Number","Birth to Three Indicators",39,"South Central Region"
"Ansonia",900901220,2013,"Calendar Year","Evaluations","Number","Birth to Three Indicators",35,"South Central Region"
"Ansonia",900901220,2013,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",27,"South Central Region"
"Ansonia",900901220,2013,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",47,"South Central Region"
"Ansonia",900901220,2013,"Calendar Year","Total Served","Number","Birth to Three Indicators",46,"South Central Region"
"Ansonia",900901220,2013,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",10,"South Central Region"
"Ansonia",900901220,2014,"Calendar Year","Referrals","Number","Birth to Three Indicators",42,"South Central Region"
"Ansonia",900901220,2014,"Calendar Year","Evaluations","Number","Birth to Three Indicators",41,"South Central Region"
"Ansonia",900901220,2014,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",31,"South Central Region"
"Ansonia",900901220,2014,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",52,"South Central Region"
"Ansonia",900901220,2014,"Calendar Year","Total Served","Number","Birth to Three Indicators",52,"South Central Region"
"Ansonia",900901220,2014,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",11,"South Central Region"
"Ansonia",900901220,2015,"Calendar Year","Referrals","Number","Birth to Three Indicators",52,"South Central Region"
"Ansonia",900901220,2015,"Calendar Year","Evaluations","Number","Birth to Three Indicators",47,"South Central Region"
"Ansonia",900901220,2015,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",36,"South Central Region"
"Ansonia",900901220,2015,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",60,"South Central Region"
"Ansonia",900901220,2015,"Calendar Year","Total Served","Number","Birth to Three Indicators",55,"South Central Region"
"Ansonia",900901220,2015,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",14,"South Central Region"
"Ansonia",900901220,2016,"Calendar Year","Referrals","Number","Birth to Three Indicators",45,"South Central Region"
"Ansonia",900901220,2016,"Calendar Year","Evaluations","Number","Birth to Three Indicators",40,"South Central Region"
"Ansonia",900901220,2016,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",30,"South Central Region"
"Ansonia",900901220,2016,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",59,"South Central Region"
"Ansonia",900901220,2016,"Calendar Year","Total Served","Number","Birth to Three Indicators",36,"South Central Region"
"Ansonia",900901220,2016,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",16,"South Central Region"
"Ashford",901501430,2005,"Calendar Year","Referrals","Number","Birth to Three Indicators",4,"Eastern Region"
"Ashford",901501430,2005,"Calendar Year","Evaluations","Number","Birth to Three Indicators",5,"Eastern Region"
"Ashford",901501430,2005,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",2,"Eastern Region"
"Ashford",901501430,2005,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",7,"Eastern Region"
"Ashford",901501430,2005,"Calendar Year","Total Served","Number","Birth to Three Indicators",7,"Eastern Region"
"Ashford",901501430,2005,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",3,"Eastern Region"
"Ashford",901501430,2006,"Calendar Year","Referrals","Number","Birth to Three Indicators",5,"Eastern Region"
"Ashford",901501430,2006,"Calendar Year","Evaluations","Number","Birth to Three Indicators",5,"Eastern Region"
"Ashford",901501430,2006,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",1,"Eastern Region"
"Ashford",901501430,2006,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",3,"Eastern Region"
"Ashford",901501430,2006,"Calendar Year","Total Served","Number","Birth to Three Indicators",3,"Eastern Region"
"Ashford",901501430,2006,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",1,"Eastern Region"
"Ashford",901501430,2007,"Calendar Year","Referrals","Number","Birth to Three Indicators",5,"Eastern Region"
"Ashford",901501430,2007,"Calendar Year","Evaluations","Number","Birth to Three Indicators",5,"Eastern Region"
"Ashford",901501430,2007,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",4,"Eastern Region"
"Ashford",901501430,2007,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",6,"Eastern Region"
"Ashford",901501430,2007,"Calendar Year","Total Served","Number","Birth to Three Indicators",6,"Eastern Region"
"Ashford",901501430,2007,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",1,"Eastern Region"
"Ashford",901501430,2008,"Calendar Year","Referrals","Number","Birth to Three Indicators",7,"Eastern Region"
"Ashford",901501430,2008,"Calendar Year","Evaluations","Number","Birth to Three Indicators",7,"Eastern Region"
"Ashford",901501430,2008,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",5,"Eastern Region"
"Ashford",901501430,2008,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",10,"Eastern Region"
"Ashford",901501430,2008,"Calendar Year","Total Served","Number","Birth to Three Indicators",9,"Eastern Region"
"Ashford",901501430,2008,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",1,"Eastern Region"
"Ashford",901501430,2009,"Calendar Year","Referrals","Number","Birth to Three Indicators",6,"Eastern Region"
"Ashford",901501430,2009,"Calendar Year","Evaluations","Number","Birth to Three Indicators",6,"Eastern Region"
"Ashford",901501430,2009,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",5,"Eastern Region"
"Ashford",901501430,2009,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",12,"Eastern Region"
"Ashford",901501430,2009,"Calendar Year","Total Served","Number","Birth to Three Indicators",10,"Eastern Region"
"Ashford",901501430,2009,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",4,"Eastern Region"
"Ashford",901501430,2010,"Calendar Year","Referrals","Number","Birth to Three Indicators",7,"Eastern Region"
"Ashford",901501430,2010,"Calendar Year","Evaluations","Number","Birth to Three Indicators",7,"Eastern Region"
"Ashford",901501430,2010,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",4,"Eastern Region"
"Ashford",901501430,2010,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",8,"Eastern Region"
"Ashford",901501430,2010,"Calendar Year","Total Served","Number","Birth to Three Indicators",7,"Eastern Region"
"Ashford",901501430,2010,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",4,"Eastern Region"
"Ashford",901501430,2011,"Calendar Year","Referrals","Number","Birth to Three Indicators",9,"Eastern Region"
"Ashford",901501430,2011,"Calendar Year","Evaluations","Number","Birth to Three Indicators",7,"Eastern Region"
"Ashford",901501430,2011,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",6,"Eastern Region"
"Ashford",901501430,2011,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",10,"Eastern Region"
"Ashford",901501430,2011,"Calendar Year","Total Served","Number","Birth to Three Indicators",9,"Eastern Region"
"Ashford",901501430,2011,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",2,"Eastern Region"
"Ashford",901501430,2012,"Calendar Year","Referrals","Number","Birth to Three Indicators",11,"Eastern Region"
"Ashford",901501430,2012,"Calendar Year","Evaluations","Number","Birth to Three Indicators",12,"Eastern Region"
"Ashford",901501430,2012,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",10,"Eastern Region"
"Ashford",901501430,2012,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",16,"Eastern Region"
"Ashford",901501430,2012,"Calendar Year","Total Served","Number","Birth to Three Indicators",15,"Eastern Region"
"Ashford",901501430,2012,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",4,"Eastern Region"
"Ashford",901501430,2013,"Calendar Year","Referrals","Number","Birth to Three Indicators",8,"Eastern Region"
"Ashford",901501430,2013,"Calendar Year","Evaluations","Number","Birth to Three Indicators",7,"Eastern Region"
"Ashford",901501430,2013,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",7,"Eastern Region"
"Ashford",901501430,2013,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",13,"Eastern Region"
"Ashford",901501430,2013,"Calendar Year","Total Served","Number","Birth to Three Indicators",11,"Eastern Region"
"Ashford",901501430,2013,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",1,"Eastern Region"
"Ashford",901501430,2014,"Calendar Year","Referrals","Number","Birth to Three Indicators",7,"Eastern Region"
"Ashford",901501430,2014,"Calendar Year","Evaluations","Number","Birth to Three Indicators",7,"Eastern Region"
"Ashford",901501430,2014,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",5,"Eastern Region"
"Ashford",901501430,2014,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",11,"Eastern Region"
"Ashford",901501430,2014,"Calendar Year","Total Served","Number","Birth to Three Indicators",11,"Eastern Region"
"Ashford",901501430,2014,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",1,"Eastern Region"
"Ashford",901501430,2015,"Calendar Year","Referrals","Number","Birth to Three Indicators",11,"Eastern Region"
"Ashford",901501430,2015,"Calendar Year","Evaluations","Number","Birth to Three Indicators",11,"Eastern Region"
"Ashford",901501430,2015,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",9,"Eastern Region"
"Ashford",901501430,2015,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",15,"Eastern Region"
"Ashford",901501430,2015,"Calendar Year","Total Served","Number","Birth to Three Indicators",14,"Eastern Region"
"Ashford",901501430,2015,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",5,"Eastern Region"
"Ashford",901501430,2016,"Calendar Year","Referrals","Number","Birth to Three Indicators",8,"Eastern Region"
"Ashford",901501430,2016,"Calendar Year","Evaluations","Number","Birth to Three Indicators",8,"Eastern Region"
"Ashford",901501430,2016,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",8,"Eastern Region"
"Ashford",901501430,2016,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",13,"Eastern Region"
"Ashford",901501430,2016,"Calendar Year","Total Served","Number","Birth to Three Indicators",10,"Eastern Region"
"Ashford",901501430,2016,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",4,"Eastern Region"
"Avon",900302060,2005,"Calendar Year","Referrals","Number","Birth to Three Indicators",51,"Central Region"
"Avon",900302060,2005,"Calendar Year","Evaluations","Number","Birth to Three Indicators",43,"Central Region"
"Avon",900302060,2005,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",22,"Central Region"
"Avon",900302060,2005,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",39,"Central Region"
"Avon",900302060,2005,"Calendar Year","Total Served","Number","Birth to Three Indicators",37,"Central Region"
"Avon",900302060,2005,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",8,"Central Region"
"Avon",900302060,2006,"Calendar Year","Referrals","Number","Birth to Three Indicators",25,"Central Region"
"Avon",900302060,2006,"Calendar Year","Evaluations","Number","Birth to Three Indicators",34,"Central Region"
"Avon",900302060,2006,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",18,"Central Region"
"Avon",900302060,2006,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",33,"Central Region"
"Avon",900302060,2006,"Calendar Year","Total Served","Number","Birth to Three Indicators",32,"Central Region"
"Avon",900302060,2006,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",9,"Central Region"
"Avon",900302060,2007,"Calendar Year","Referrals","Number","Birth to Three Indicators",25,"Central Region"
"Avon",900302060,2007,"Calendar Year","Evaluations","Number","Birth to Three Indicators",24,"Central Region"
"Avon",900302060,2007,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",14,"Central Region"
"Avon",900302060,2007,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",30,"Central Region"
"Avon",900302060,2007,"Calendar Year","Total Served","Number","Birth to Three Indicators",28,"Central Region"
"Avon",900302060,2007,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",5,"Central Region"
"Avon",900302060,2008,"Calendar Year","Referrals","Number","Birth to Three Indicators",32,"Central Region"
"Avon",900302060,2008,"Calendar Year","Evaluations","Number","Birth to Three Indicators",30,"Central Region"
"Avon",900302060,2008,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",18,"Central Region"
"Avon",900302060,2008,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",32,"Central Region"
"Avon",900302060,2008,"Calendar Year","Total Served","Number","Birth to Three Indicators",30,"Central Region"
"Avon",900302060,2008,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",3,"Central Region"
"Avon",900302060,2009,"Calendar Year","Referrals","Number","Birth to Three Indicators",28,"Central Region"
"Avon",900302060,2009,"Calendar Year","Evaluations","Number","Birth to Three Indicators",27,"Central Region"
"Avon",900302060,2009,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",21,"Central Region"
"Avon",900302060,2009,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",40,"Central Region"
"Avon",900302060,2009,"Calendar Year","Total Served","Number","Birth to Three Indicators",38,"Central Region"
"Avon",900302060,2009,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",8,"Central Region"
"Avon",900302060,2010,"Calendar Year","Referrals","Number","Birth to Three Indicators",22,"Central Region"
"Avon",900302060,2010,"Calendar Year","Evaluations","Number","Birth to Three Indicators",20,"Central Region"
"Avon",900302060,2010,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",13,"Central Region"
"Avon",900302060,2010,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",32,"Central Region"
"Avon",900302060,2010,"Calendar Year","Total Served","Number","Birth to Three Indicators",30,"Central Region"
"Avon",900302060,2010,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",8,"Central Region"
"Avon",900302060,2011,"Calendar Year","Referrals","Number","Birth to Three Indicators",31,"Central Region"
"Avon",900302060,2011,"Calendar Year","Evaluations","Number","Birth to Three Indicators",27,"Central Region"
"Avon",900302060,2011,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",19,"Central Region"
"Avon",900302060,2011,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",33,"Central Region"
"Avon",900302060,2011,"Calendar Year","Total Served","Number","Birth to Three Indicators",31,"Central Region"
"Avon",900302060,2011,"Calendar Year","Exited to Early Childhood Special Education","Number","Birth to Three Indicators",11,"Central Region"
"Avon",900302060,2012,"Calendar Year","Referrals","Number","Birth to Three Indicators",22,"Central Region"
"Avon",900302060,2012,"Calendar Year","Evaluations","Number","Birth to Three Indicators",24,"Central Region"
"Avon",900302060,2012,"Calendar Year","Total Eligible","Number","Birth to Three Indicators",15,"Central Region"
"Avon",900302060,2012,"Calendar Year","Individual Family Service Plans","Number","Birth to Three Indicators",34,"Central Region"
