"Region","Location of Placement","Type of Placement","Race/Ethnicity","Value"
"Central Region","In State","Therapeutic Foster Care","Black",13
"Central Region","In State","Therapeutic Foster Care","Hispanic",56
"Central Region","In State","Therapeutic Foster Care","Other",14
"Central Region","In State","Therapeutic Foster Care","White",39
"Central Region","In State","Total","Black",70
"Central Region","In State","Total","Hispanic",209
"Central Region","In State","Total","Other",34
"Central Region","In State","Total","White",214
"Central Region","Out of State","Connecticut Juvenile Training School","Black",0
"Central Region","Out of State","Connecticut Juvenile Training School","Hispanic",0
"Central Region","Out of State","Connecticut Juvenile Training School","Other",0
"Central Region","Out of State","Connecticut Juvenile Training School","White",0
"Central Region","Out of State","Foster Care","Black",0
"Central Region","Out of State","Foster Care","Hispanic",1
"Central Region","Out of State","Foster Care","Other",1
"Central Region","Out of State","Foster Care","White",1
"Central Region","Out of State","Group Home","Black",0
"Central Region","Out of State","Group Home","Hispanic",0
"Central Region","Out of State","Group Home","Other",0
"Central Region","Out of State","Group Home","White",0
"Central Region","Out of State","High Meadows","Black",0
"Central Region","Out of State","High Meadows","Hispanic",0
"Central Region","Out of State","High Meadows","Other",0
"Central Region","Out of State","High Meadows","White",0
"Central Region","Out of State","Independent Living","Black",0
"Central Region","Out of State","Independent Living","Hispanic",0
"Central Region","Out of State","Independent Living","Other",0
"Central Region","Out of State","Independent Living","White",0
"Central Region","Out of State","Medical or Psychiatric Hospital Placement","Black",0
"Central Region","Out of State","Medical or Psychiatric Hospital Placement","Hispanic",0
"Central Region","Out of State","Medical or Psychiatric Hospital Placement","Other",0
"Central Region","Out of State","Medical or Psychiatric Hospital Placement","White",0
"Central Region","Out of State","PDC or Safe Home","Black",0
"Central Region","Out of State","PDC or Safe Home","Hispanic",0
"Central Region","Out of State","PDC or Safe Home","Other",0
"Central Region","Out of State","PDC or Safe Home","White",0
"Central Region","Out of State","Relative Foster Care","Black",1
"Central Region","Out of State","Relative Foster Care","Hispanic",0
"Central Region","Out of State","Relative Foster Care","Other",2
"Central Region","Out of State","Relative Foster Care","White",7
"Central Region","Out of State","Residential Treatment Center","Black",2
"Central Region","Out of State","Residential Treatment Center","Hispanic",1
"Central Region","Out of State","Residential Treatment Center","Other",0
"Central Region","Out of State","Residential Treatment Center","White",1
"Central Region","Out of State","Shelter","Black",0
"Central Region","Out of State","Shelter","Hispanic",0
"Central Region","Out of State","Shelter","Other",0
"Central Region","Out of State","Shelter","White",0
"Central Region","Out of State","Solnit Center","Black",0
"Central Region","Out of State","Solnit Center","Hispanic",0
"Central Region","Out of State","Solnit Center","Other",0
"Central Region","Out of State","Solnit Center","White",0
"Central Region","Out of State","Special Study","Black",0
"Central Region","Out of State","Special Study","Hispanic",0
"Central Region","Out of State","Special Study","Other",0
"Central Region","Out of State","Special Study","White",0
"Central Region","Out of State","Therapeutic Foster Care","Black",0
"Central Region","Out of State","Therapeutic Foster Care","Hispanic",1
"Central Region","Out of State","Therapeutic Foster Care","Other",0
"Central Region","Out of State","Therapeutic Foster Care","White",0
"Central Region","Out of State","Total","Black",3
"Central Region","Out of State","Total","Hispanic",3
"Central Region","Out of State","Total","Other",3
"Central Region","Out of State","Total","White",9
"Eastern Region","In State","Connecticut Juvenile Training School","Black",4
"Eastern Region","In State","Connecticut Juvenile Training School","Hispanic",4
"Eastern Region","In State","Connecticut Juvenile Training School","Other",1
"Eastern Region","In State","Connecticut Juvenile Training School","White",7
"Eastern Region","In State","Foster Care","Black",24
"Eastern Region","In State","Foster Care","Hispanic",47
"Eastern Region","In State","Foster Care","Other",16
"Eastern Region","In State","Foster Care","White",133
"Eastern Region","In State","Group Home","Black",4
"Eastern Region","In State","Group Home","Hispanic",12
"Eastern Region","In State","Group Home","Other",5
"Eastern Region","In State","Group Home","White",38
"Eastern Region","In State","High Meadows","Black",0
"Eastern Region","In State","High Meadows","Hispanic",0
"Eastern Region","In State","High Meadows","Other",0
"Eastern Region","In State","High Meadows","White",0
"Eastern Region","In State","Independent Living","Black",3
"Eastern Region","In State","Independent Living","Hispanic",1
"Eastern Region","In State","Independent Living","Other",1
"Eastern Region","In State","Independent Living","White",10
"Eastern Region","In State","Medical or Psychiatric Hospital Placement","Black",0
"Eastern Region","In State","Medical or Psychiatric Hospital Placement","Hispanic",0
"Eastern Region","In State","Medical or Psychiatric Hospital Placement","Other",0
"Eastern Region","In State","Medical or Psychiatric Hospital Placement","White",0
"Eastern Region","In State","PDC or Safe Home","Black",1
"Eastern Region","In State","PDC or Safe Home","Hispanic",4
"Eastern Region","In State","PDC or Safe Home","Other",1
"Eastern Region","In State","PDC or Safe Home","White",5
"Eastern Region","In State","Relative Foster Care","Black",17
"Eastern Region","In State","Relative Foster Care","Hispanic",34
"Eastern Region","In State","Relative Foster Care","Other",15
"Eastern Region","In State","Relative Foster Care","White",92
"Eastern Region","In State","Residential Treatment Center","Black",2
"Eastern Region","In State","Residential Treatment Center","Hispanic",2
"Eastern Region","In State","Residential Treatment Center","Other",1
"Eastern Region","In State","Residential Treatment Center","White",20
"Eastern Region","In State","Shelter","Black",3
"Eastern Region","In State","Shelter","Hispanic",5
"Eastern Region","In State","Shelter","Other",0
"Eastern Region","In State","Shelter","White",7
"Eastern Region","In State","Solnit Center","Black",1
"Eastern Region","In State","Solnit Center","Hispanic",3
"Eastern Region","In State","Solnit Center","Other",0
"Eastern Region","In State","Solnit Center","White",4
"Eastern Region","In State","Special Study","Black",5
"Eastern Region","In State","Special Study","Hispanic",5
"Eastern Region","In State","Special Study","Other",5
"Eastern Region","In State","Special Study","White",28
"Eastern Region","In State","Therapeutic Foster Care","Black",19
"Eastern Region","In State","Therapeutic Foster Care","Hispanic",31
"Eastern Region","In State","Therapeutic Foster Care","Other",9
"Eastern Region","In State","Therapeutic Foster Care","White",62
"Eastern Region","In State","Total","Black",83
"Eastern Region","In State","Total","Hispanic",148
"Eastern Region","In State","Total","Other",54
"Eastern Region","In State","Total","White",406
"Eastern Region","Out of State","Connecticut Juvenile Training School","Black",0
"Eastern Region","Out of State","Connecticut Juvenile Training School","Hispanic",0
"Eastern Region","Out of State","Connecticut Juvenile Training School","Other",0
"Eastern Region","Out of State","Connecticut Juvenile Training School","White",0
"Eastern Region","Out of State","Foster Care","Black",3
"Eastern Region","Out of State","Foster Care","Hispanic",1
"Eastern Region","Out of State","Foster Care","Other",0
"Eastern Region","Out of State","Foster Care","White",6
"Eastern Region","Out of State","Group Home","Black",0
"Eastern Region","Out of State","Group Home","Hispanic",0
"Eastern Region","Out of State","Group Home","Other",0
"Eastern Region","Out of State","Group Home","White",0
"Eastern Region","Out of State","High Meadows","Black",0
"Eastern Region","Out of State","High Meadows","Hispanic",0
"Eastern Region","Out of State","High Meadows","Other",0
"Eastern Region","Out of State","High Meadows","White",0
"Eastern Region","Out of State","Independent Living","Black",0
"Eastern Region","Out of State","Independent Living","Hispanic",0
"Eastern Region","Out of State","Independent Living","Other",0
"Eastern Region","Out of State","Independent Living","White",0
"Eastern Region","Out of State","Medical or Psychiatric Hospital Placement","Black",0
"Eastern Region","Out of State","Medical or Psychiatric Hospital Placement","Hispanic",0
"Eastern Region","Out of State","Medical or Psychiatric Hospital Placement","Other",0
"Eastern Region","Out of State","Medical or Psychiatric Hospital Placement","White",0
"Eastern Region","Out of State","PDC or Safe Home","Black",0
"Eastern Region","Out of State","PDC or Safe Home","Hispanic",0
"Eastern Region","Out of State","PDC or Safe Home","Other",0
"Eastern Region","Out of State","PDC or Safe Home","White",0
"Eastern Region","Out of State","Relative Foster Care","Black",1
"Eastern Region","Out of State","Relative Foster Care","Hispanic",4
"Eastern Region","Out of State","Relative Foster Care","Other",2
"Eastern Region","Out of State","Relative Foster Care","White",11
"Eastern Region","Out of State","Residential Treatment Center","Black",2
"Eastern Region","Out of State","Residential Treatment Center","Hispanic",1
"Eastern Region","Out of State","Residential Treatment Center","Other",1
"Eastern Region","Out of State","Residential Treatment Center","White",8
"Eastern Region","Out of State","Shelter","Black",0
"Eastern Region","Out of State","Shelter","Hispanic",0
"Eastern Region","Out of State","Shelter","Other",0
"Eastern Region","Out of State","Shelter","White",0
"Eastern Region","Out of State","Solnit Center","Black",0
"Eastern Region","Out of State","Solnit Center","Hispanic",0
"Eastern Region","Out of State","Solnit Center","Other",0
"Eastern Region","Out of State","Solnit Center","White",0
"Eastern Region","Out of State","Special Study","Black",0
"Eastern Region","Out of State","Special Study","Hispanic",0
"Eastern Region","Out of State","Special Study","Other",0
"Eastern Region","Out of State","Special Study","White",0
"Eastern Region","Out of State","Therapeutic Foster Care","Black",0
"Eastern Region","Out of State","Therapeutic Foster Care","Hispanic",0
"Eastern Region","Out of State","Therapeutic Foster Care","Other",0
"Eastern Region","Out of State","Therapeutic Foster Care","White",1
"Eastern Region","Out of State","Total","Black",6
"Eastern Region","Out of State","Total","Hispanic",6
"Eastern Region","Out of State","Total","Other",3
"Eastern Region","Out of State","Total","White",26
"North Central Region","In State","Connecticut Juvenile Training School","Black",5
"North Central Region","In State","Connecticut Juvenile Training School","Hispanic",4
"North Central Region","In State","Connecticut Juvenile Training School","Other",0
"North Central Region","In State","Connecticut Juvenile Training School","White",0
"North Central Region","In State","Foster Care","Black",79
"North Central Region","In State","Foster Care","Hispanic",130
"North Central Region","In State","Foster Care","Other",16
"North Central Region","In State","Foster Care","White",51
"North Central Region","In State","Group Home","Black",31
"North Central Region","In State","Group Home","Hispanic",30
"North Central Region","In State","Group Home","Other",1
"North Central Region","In State","Group Home","White",13
"North Central Region","In State","High Meadows","Black",0
"North Central Region","In State","High Meadows","Hispanic",0
"North Central Region","In State","High Meadows","Other",0
"North Central Region","In State","High Meadows","White",0
"North Central Region","In State","Independent Living","Black",21
"North Central Region","In State","Independent Living","Hispanic",17
"North Central Region","In State","Independent Living","Other",4
"North Central Region","In State","Independent Living","White",9
"North Central Region","In State","Medical or Psychiatric Hospital Placement","Black",1
"North Central Region","In State","Medical or Psychiatric Hospital Placement","Hispanic",3
"North Central Region","In State","Medical or Psychiatric Hospital Placement","Other",0
"North Central Region","In State","Medical or Psychiatric Hospital Placement","White",1
"North Central Region","In State","PDC or Safe Home","Black",4
"North Central Region","In State","PDC or Safe Home","Hispanic",6
"North Central Region","In State","PDC or Safe Home","Other",1
"North Central Region","In State","PDC or Safe Home","White",1
"North Central Region","In State","Relative Foster Care","Black",94
"North Central Region","In State","Relative Foster Care","Hispanic",123
"North Central Region","In State","Relative Foster Care","Other",18
"North Central Region","In State","Relative Foster Care","White",39
"North Central Region","In State","Residential Treatment Center","Black",17
"North Central Region","In State","Residential Treatment Center","Hispanic",13
"North Central Region","In State","Residential Treatment Center","Other",2
"North Central Region","In State","Residential Treatment Center","White",16
"North Central Region","In State","Shelter","Black",7
"North Central Region","In State","Shelter","Hispanic",8
"North Central Region","In State","Shelter","Other",1
"North Central Region","In State","Shelter","White",1
"North Central Region","In State","Solnit Center","Black",4
"North Central Region","In State","Solnit Center","Hispanic",2
"North Central Region","In State","Solnit Center","Other",0
"North Central Region","In State","Solnit Center","White",1
"North Central Region","In State","Special Study","Black",20
"North Central Region","In State","Special Study","Hispanic",13
"North Central Region","In State","Special Study","Other",2
"North Central Region","In State","Special Study","White",6
"North Central Region","In State","Therapeutic Foster Care","Black",46
"North Central Region","In State","Therapeutic Foster Care","Hispanic",45
"North Central Region","In State","Therapeutic Foster Care","Other",7
"North Central Region","In State","Therapeutic Foster Care","White",27
"North Central Region","In State","Total","Black",329
"North Central Region","In State","Total","Hispanic",394
"North Central Region","In State","Total","Other",52
"North Central Region","In State","Total","White",165
"North Central Region","Out of State","Connecticut Juvenile Training School","Black",0
"North Central Region","Out of State","Connecticut Juvenile Training School","Hispanic",0
"North Central Region","Out of State","Connecticut Juvenile Training School","Other",0
"North Central Region","Out of State","Connecticut Juvenile Training School","White",0
"North Central Region","Out of State","Foster Care","Black",1
"North Central Region","Out of State","Foster Care","Hispanic",2
"North Central Region","Out of State","Foster Care","Other",0
"North Central Region","Out of State","Foster Care","White",1
"North Central Region","Out of State","Group Home","Black",0
"North Central Region","Out of State","Group Home","Hispanic",0
"North Central Region","Out of State","Group Home","Other",0
"North Central Region","Out of State","Group Home","White",0
"North Central Region","Out of State","High Meadows","Black",0
"North Central Region","Out of State","High Meadows","Hispanic",0
"North Central Region","Out of State","High Meadows","Other",0
"North Central Region","Out of State","High Meadows","White",0
"North Central Region","Out of State","Independent Living","Black",0
"North Central Region","Out of State","Independent Living","Hispanic",0
"North Central Region","Out of State","Independent Living","Other",0
"North Central Region","Out of State","Independent Living","White",0
"North Central Region","Out of State","Medical or Psychiatric Hospital Placement","Black",0
"North Central Region","Out of State","Medical or Psychiatric Hospital Placement","Hispanic",0
"North Central Region","Out of State","Medical or Psychiatric Hospital Placement","Other",1
"North Central Region","Out of State","Medical or Psychiatric Hospital Placement","White",0
"North Central Region","Out of State","PDC or Safe Home","Black",0
"North Central Region","Out of State","PDC or Safe Home","Hispanic",0
"North Central Region","Out of State","PDC or Safe Home","Other",0
"North Central Region","Out of State","PDC or Safe Home","White",0
"North Central Region","Out of State","Relative Foster Care","Black",3
"North Central Region","Out of State","Relative Foster Care","Hispanic",5
"North Central Region","Out of State","Relative Foster Care","Other",1
"North Central Region","Out of State","Relative Foster Care","White",5
"North Central Region","Out of State","Residential Treatment Center","Black",1
"North Central Region","Out of State","Residential Treatment Center","Hispanic",2
"North Central Region","Out of State","Residential Treatment Center","Other",3
"North Central Region","Out of State","Residential Treatment Center","White",1
"North Central Region","Out of State","Shelter","Black",0
"North Central Region","Out of State","Shelter","Hispanic",0
"North Central Region","Out of State","Shelter","Other",0
"North Central Region","Out of State","Shelter","White",0
"North Central Region","Out of State","Solnit Center","Black",0
"North Central Region","Out of State","Solnit Center","Hispanic",0
"North Central Region","Out of State","Solnit Center","Other",0
"North Central Region","Out of State","Solnit Center","White",0
"North Central Region","Out of State","Special Study","Black",0
"North Central Region","Out of State","Special Study","Hispanic",0
"North Central Region","Out of State","Special Study","Other",0
"North Central Region","Out of State","Special Study","White",0
"North Central Region","Out of State","Therapeutic Foster Care","Black",0
"North Central Region","Out of State","Therapeutic Foster Care","Hispanic",0
"North Central Region","Out of State","Therapeutic Foster Care","Other",0
"North Central Region","Out of State","Therapeutic Foster Care","White",1
"North Central Region","Out of State","Total","Black",5
"North Central Region","Out of State","Total","Hispanic",9
"North Central Region","Out of State","Total","Other",5
"North Central Region","Out of State","Total","White",8
"South Central Region","In State","Connecticut Juvenile Training School","Black",5
"South Central Region","In State","Connecticut Juvenile Training School","Hispanic",1
"South Central Region","In State","Connecticut Juvenile Training School","Other",0
"South Central Region","In State","Connecticut Juvenile Training School","White",0
"South Central Region","In State","Foster Care","Black",51
"South Central Region","In State","Foster Care","Hispanic",32
"South Central Region","In State","Foster Care","Other",12
"South Central Region","In State","Foster Care","White",56
"South Central Region","In State","Group Home","Black",29
"South Central Region","In State","Group Home","Hispanic",8
"South Central Region","In State","Group Home","Other",2
"South Central Region","In State","Group Home","White",24
"South Central Region","In State","High Meadows","Black",0
"South Central Region","In State","High Meadows","Hispanic",0
"South Central Region","In State","High Meadows","Other",0
"South Central Region","In State","High Meadows","White",0
"South Central Region","In State","Independent Living","Black",12
"South Central Region","In State","Independent Living","Hispanic",7
"South Central Region","In State","Independent Living","Other",1
"South Central Region","In State","Independent Living","White",5
"South Central Region","In State","Medical or Psychiatric Hospital Placement","Black",2
"South Central Region","In State","Medical or Psychiatric Hospital Placement","Hispanic",2
"South Central Region","In State","Medical or Psychiatric Hospital Placement","Other",2
"South Central Region","In State","Medical or Psychiatric Hospital Placement","White",0
"South Central Region","In State","PDC or Safe Home","Black",2
"South Central Region","In State","PDC or Safe Home","Hispanic",0
"South Central Region","In State","PDC or Safe Home","Other",0
"South Central Region","In State","PDC or Safe Home","White",0
"South Central Region","In State","Relative Foster Care","Black",46
"South Central Region","In State","Relative Foster Care","Hispanic",22
"South Central Region","In State","Relative Foster Care","Other",9
"South Central Region","In State","Relative Foster Care","White",33
"South Central Region","In State","Residential Treatment Center","Black",9
"South Central Region","In State","Residential Treatment Center","Hispanic",10
"South Central Region","In State","Residential Treatment Center","Other",0
"South Central Region","In State","Residential Treatment Center","White",9
"South Central Region","In State","Shelter","Black",8
"South Central Region","In State","Shelter","Hispanic",2
"South Central Region","In State","Shelter","Other",0
"South Central Region","In State","Shelter","White",4
"South Central Region","In State","Solnit Center","Black",1
"South Central Region","In State","Solnit Center","Hispanic",2
"South Central Region","In State","Solnit Center","Other",0
"South Central Region","In State","Solnit Center","White",1
"South Central Region","In State","Special Study","Black",10
"South Central Region","In State","Special Study","Hispanic",11
"South Central Region","In State","Special Study","Other",1
"South Central Region","In State","Special Study","White",10
"South Central Region","In State","Therapeutic Foster Care","Black",60
"South Central Region","In State","Therapeutic Foster Care","Hispanic",40
"South Central Region","In State","Therapeutic Foster Care","Other",5
"South Central Region","In State","Therapeutic Foster Care","White",18
"South Central Region","In State","Total","Black",235
"South Central Region","In State","Total","Hispanic",137
"South Central Region","In State","Total","Other",32
"South Central Region","In State","Total","White",160
"South Central Region","Out of State","Connecticut Juvenile Training School","Black",0
"South Central Region","Out of State","Connecticut Juvenile Training School","Hispanic",0
"South Central Region","Out of State","Connecticut Juvenile Training School","Other",0
"South Central Region","Out of State","Connecticut Juvenile Training School","White",0
"South Central Region","Out of State","Foster Care","Black",1
"South Central Region","Out of State","Foster Care","Hispanic",1
"South Central Region","Out of State","Foster Care","Other",0
"South Central Region","Out of State","Foster Care","White",1
"South Central Region","Out of State","Group Home","Black",0
"South Central Region","Out of State","Group Home","Hispanic",0
"South Central Region","Out of State","Group Home","Other",0
"South Central Region","Out of State","Group Home","White",0
"South Central Region","Out of State","High Meadows","Black",0
"South Central Region","Out of State","High Meadows","Hispanic",0
"South Central Region","Out of State","High Meadows","Other",0
"South Central Region","Out of State","High Meadows","White",0
"South Central Region","Out of State","Independent Living","Black",0
"South Central Region","Out of State","Independent Living","Hispanic",0
"South Central Region","Out of State","Independent Living","Other",0
"South Central Region","Out of State","Independent Living","White",0
"South Central Region","Out of State","Medical or Psychiatric Hospital Placement","Black",0
"South Central Region","Out of State","Medical or Psychiatric Hospital Placement","Hispanic",0
"South Central Region","Out of State","Medical or Psychiatric Hospital Placement","Other",0
"South Central Region","Out of State","Medical or Psychiatric Hospital Placement","White",0
"South Central Region","Out of State","PDC or Safe Home","Black",0
"South Central Region","Out of State","PDC or Safe Home","Hispanic",0
"South Central Region","Out of State","PDC or Safe Home","Other",0
"South Central Region","Out of State","PDC or Safe Home","White",0
"South Central Region","Out of State","Relative Foster Care","Black",3
"South Central Region","Out of State","Relative Foster Care","Hispanic",0
"South Central Region","Out of State","Relative Foster Care","Other",0
"South Central Region","Out of State","Relative Foster Care","White",1
"South Central Region","Out of State","Residential Treatment Center","Black",3
"South Central Region","Out of State","Residential Treatment Center","Hispanic",0
"South Central Region","Out of State","Residential Treatment Center","Other",1
"South Central Region","Out of State","Residential Treatment Center","White",1
"South Central Region","Out of State","Shelter","Black",0
"South Central Region","Out of State","Shelter","Hispanic",0
"South Central Region","Out of State","Shelter","Other",0
"South Central Region","Out of State","Shelter","White",0
"South Central Region","Out of State","Solnit Center","Black",0
"South Central Region","Out of State","Solnit Center","Hispanic",0
"South Central Region","Out of State","Solnit Center","Other",0
"South Central Region","Out of State","Solnit Center","White",0
"South Central Region","Out of State","Special Study","Black",0
"South Central Region","Out of State","Special Study","Hispanic",0
"South Central Region","Out of State","Special Study","Other",0
"South Central Region","Out of State","Special Study","White",0
"South Central Region","Out of State","Therapeutic Foster Care","Black",1
"South Central Region","Out of State","Therapeutic Foster Care","Hispanic",1
"South Central Region","Out of State","Therapeutic Foster Care","Other",0
"South Central Region","Out of State","Therapeutic Foster Care","White",0
"South Central Region","Out of State","Total","Black",8
"South Central Region","Out of State","Total","Hispanic",2
"South Central Region","Out of State","Total","Other",1
"South Central Region","Out of State","Total","White",3
"Southwest Region","In State","Connecticut Juvenile Training School","Black",13
"Southwest Region","In State","Connecticut Juvenile Training School","Hispanic",4
"Southwest Region","In State","Connecticut Juvenile Training School","Other",1
"Southwest Region","In State","Connecticut Juvenile Training School","White",1
"Southwest Region","In State","Foster Care","Black",34
"Southwest Region","In State","Foster Care","Hispanic",42
"Southwest Region","In State","Foster Care","Other",6
"Southwest Region","In State","Foster Care","White",14
"Southwest Region","In State","Group Home","Black",20
"Southwest Region","In State","Group Home","Hispanic",19
"Southwest Region","In State","Group Home","Other",4
"Southwest Region","In State","Group Home","White",8
"Southwest Region","In State","High Meadows","Black",0
"Southwest Region","In State","High Meadows","Hispanic",0
"Southwest Region","In State","High Meadows","Other",0
"Southwest Region","In State","High Meadows","White",0
"Southwest Region","In State","Independent Living","Black",7
"Southwest Region","In State","Independent Living","Hispanic",5
"Southwest Region","In State","Independent Living","Other",0
"Southwest Region","In State","Independent Living","White",0
"Southwest Region","In State","Medical or Psychiatric Hospital Placement","Black",2
"Southwest Region","In State","Medical or Psychiatric Hospital Placement","Hispanic",1
"Southwest Region","In State","Medical or Psychiatric Hospital Placement","Other",0
"Southwest Region","In State","Medical or Psychiatric Hospital Placement","White",0
"Southwest Region","In State","PDC or Safe Home","Black",0
"Southwest Region","In State","PDC or Safe Home","Hispanic",0
"Southwest Region","In State","PDC or Safe Home","Other",0
"Southwest Region","In State","PDC or Safe Home","White",0
"Southwest Region","In State","Relative Foster Care","Black",33
"Southwest Region","In State","Relative Foster Care","Hispanic",23
"Southwest Region","In State","Relative Foster Care","Other",4
"Southwest Region","In State","Relative Foster Care","White",9
"Southwest Region","In State","Residential Treatment Center","Black",9
"Southwest Region","In State","Residential Treatment Center","Hispanic",6
"Southwest Region","In State","Residential Treatment Center","Other",0
"Southwest Region","In State","Residential Treatment Center","White",6
"Southwest Region","In State","Shelter","Black",6
"Southwest Region","In State","Shelter","Hispanic",2
"Southwest Region","In State","Shelter","Other",0
"Southwest Region","In State","Shelter","White",2
"Southwest Region","In State","Solnit Center","Black",2
"Southwest Region","In State","Solnit Center","Hispanic",3
"Southwest Region","In State","Solnit Center","Other",2
"Southwest Region","In State","Solnit Center","White",0
"Southwest Region","In State","Special Study","Black",8
"Southwest Region","In State","Special Study","Hispanic",11
"Southwest Region","In State","Special Study","Other",2
"Southwest Region","In State","Special Study","White",4
"Southwest Region","In State","Therapeutic Foster Care","Black",50
"Southwest Region","In State","Therapeutic Foster Care","Hispanic",25
"Southwest Region","In State","Therapeutic Foster Care","Other",4
"Southwest Region","In State","Therapeutic Foster Care","White",6
"Southwest Region","In State","Total","Black",184
"Southwest Region","In State","Total","Hispanic",141
"Southwest Region","In State","Total","Other",23
"Southwest Region","In State","Total","White",50
"Southwest Region","Out of State","Connecticut Juvenile Training School","Black",0
"Southwest Region","Out of State","Connecticut Juvenile Training School","Hispanic",0
"Southwest Region","Out of State","Connecticut Juvenile Training School","Other",0
"Southwest Region","Out of State","Connecticut Juvenile Training School","White",0
"Southwest Region","Out of State","Foster Care","Black",1
"Southwest Region","Out of State","Foster Care","Hispanic",0
"Southwest Region","Out of State","Foster Care","Other",0
"Southwest Region","Out of State","Foster Care","White",0
"Southwest Region","Out of State","Group Home","Black",0
"Southwest Region","Out of State","Group Home","Hispanic",0
"Southwest Region","Out of State","Group Home","Other",0
"Southwest Region","Out of State","Group Home","White",0
"Southwest Region","Out of State","High Meadows","Black",0
"Southwest Region","Out of State","High Meadows","Hispanic",0
"Southwest Region","Out of State","High Meadows","Other",0
"Southwest Region","Out of State","High Meadows","White",0
"Southwest Region","Out of State","Independent Living","Black",0
"Southwest Region","Out of State","Independent Living","Hispanic",0
"Southwest Region","Out of State","Independent Living","Other",0
"Southwest Region","Out of State","Independent Living","White",0
"Southwest Region","Out of State","Medical or Psychiatric Hospital Placement","Black",0
"Southwest Region","Out of State","Medical or Psychiatric Hospital Placement","Hispanic",0
"Southwest Region","Out of State","Medical or Psychiatric Hospital Placement","Other",0
"Southwest Region","Out of State","Medical or Psychiatric Hospital Placement","White",0
"Southwest Region","Out of State","PDC or Safe Home","Black",0
"Southwest Region","Out of State","PDC or Safe Home","Hispanic",0
"Southwest Region","Out of State","PDC or Safe Home","Other",0
"Southwest Region","Out of State","PDC or Safe Home","White",0
"Southwest Region","Out of State","Relative Foster Care","Black",5
"Southwest Region","Out of State","Relative Foster Care","Hispanic",7
"Southwest Region","Out of State","Relative Foster Care","Other",0
"Southwest Region","Out of State","Relative Foster Care","White",0
"Southwest Region","Out of State","Residential Treatment Center","Black",4
"Southwest Region","Out of State","Residential Treatment Center","Hispanic",0
"Southwest Region","Out of State","Residential Treatment Center","Other",0
"Southwest Region","Out of State","Residential Treatment Center","White",2
"Southwest Region","Out of State","Shelter","Black",0
"Southwest Region","Out of State","Shelter","Hispanic",0
"Southwest Region","Out of State","Shelter","Other",0
"Southwest Region","Out of State","Shelter","White",0
"Southwest Region","Out of State","Solnit Center","Black",0
"Southwest Region","Out of State","Solnit Center","Hispanic",0
"Southwest Region","Out of State","Solnit Center","Other",0
"Southwest Region","Out of State","Solnit Center","White",0
"Southwest Region","Out of State","Special Study","Black",0
"Southwest Region","Out of State","Special Study","Hispanic",0
"Southwest Region","Out of State","Special Study","Other",0
"Southwest Region","Out of State","Special Study","White",0
"Southwest Region","Out of State","Therapeutic Foster Care","Black",2
"Southwest Region","Out of State","Therapeutic Foster Care","Hispanic",0
"Southwest Region","Out of State","Therapeutic Foster Care","Other",0
"Southwest Region","Out of State","Therapeutic Foster Care","White",0
"Southwest Region","Out of State","Total","Black",12
