"Town","Year","FIPS","Indicator","Measure Type","Variable","Value","Region","Total Births"
"Ansonia",2013,900901220,"Evaluated that are Eligible","Percent","Birth to Three Indicators",75,"South Central Region",201
"Ashford",2013,901501430,"Evaluations","Number","Birth to Three Indicators",12,"Eastern Region",46
"Ashford",2013,901501430,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"Eastern Region",46
"Ashford",2013,901501430,"Individual Family Service Plans","Number","Birth to Three Indicators",10,"Eastern Region",46
"Ashford",2013,901501430,"Evaluated that are Eligible","Percent","Birth to Three Indicators",91.67,"Eastern Region",46
"Ashford",2013,901501430,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",4,"Eastern Region",46
"Ashford",2013,901501430,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",8.7,"Eastern Region",46
"Ashford",2013,901501430,"Total Served","Percent","Birth to Three Indicators",21.74,"Eastern Region",46
"Ashford",2013,901501430,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",90.91,"Eastern Region",46
"Ashford",2013,901501430,"Referrals","Number","Birth to Three Indicators",12,"Eastern Region",46
"Ashford",2013,901501430,"Referred that are Evaluated","Percent","Birth to Three Indicators",100,"Eastern Region",46
"Ashford",2013,901501430,"Evaluations","Percent","Birth to Three Indicators",26.09,"Eastern Region",46
"Ashford",2013,901501430,"Individual Family Service Plans","Percent","Birth to Three Indicators",21.74,"Eastern Region",46
"Ashford",2013,901501430,"Total Eligible","Percent","Birth to Three Indicators",23.91,"Eastern Region",46
"Ashford",2013,901501430,"Total Served","Number","Birth to Three Indicators",10,"Eastern Region",46
"Ashford",2013,901501430,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",36.36,"Eastern Region",46
"Ashford",2013,901501430,"Referrals","Percent","Birth to Three Indicators",26.09,"Eastern Region",46
"Ashford",2013,901501430,"Total Eligible","Number","Birth to Three Indicators",11,"Eastern Region",46
"Avon",2013,900302060,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",7,"Central Region",118
"Avon",2013,900302060,"Total Eligible","Percent","Birth to Three Indicators",10.17,"Central Region",118
"Avon",2013,900302060,"Total Served","Number","Birth to Three Indicators",12,"Central Region",118
"Avon",2013,900302060,"Individual Family Service Plans","Percent","Birth to Three Indicators",10.17,"Central Region",118
"Avon",2013,900302060,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",5.93,"Central Region",118
"Avon",2013,900302060,"Total Served","Percent","Birth to Three Indicators",10.17,"Central Region",118
"Avon",2013,900302060,"Total Eligible","Number","Birth to Three Indicators",12,"Central Region",118
"Avon",2013,900302060,"Referred that are Evaluated","Percent","Birth to Three Indicators",100,"Central Region",118
"Avon",2013,900302060,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"Central Region",118
"Avon",2013,900302060,"Individual Family Service Plans","Number","Birth to Three Indicators",12,"Central Region",118
"Avon",2013,900302060,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",58.33,"Central Region",118
"Avon",2013,900302060,"Referrals","Number","Birth to Three Indicators",19,"Central Region",118
"Avon",2013,900302060,"Referrals","Percent","Birth to Three Indicators",16.1,"Central Region",118
"Avon",2013,900302060,"Evaluations","Number","Birth to Three Indicators",19,"Central Region",118
"Avon",2013,900302060,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,"Central Region",118
"Avon",2013,900302060,"Evaluations","Percent","Birth to Three Indicators",16.1,"Central Region",118
"Avon",2013,900302060,"Evaluated that are Eligible","Percent","Birth to Three Indicators",63.16,"Central Region",118
"Barkhamsted",2013,900502760,"Evaluations","Number","Birth to Three Indicators",8,"Western Region",18
"Barkhamsted",2013,900502760,"Total Eligible","Number","Birth to Three Indicators",5,"Western Region",18
"Barkhamsted",2013,900502760,"Total Served","Number","Birth to Three Indicators",5,"Western Region",18
"Barkhamsted",2013,900502760,"Total Eligible","Percent","Birth to Three Indicators",27.78,"Western Region",18
"Barkhamsted",2013,900502760,"Individual Family Service Plans","Number","Birth to Three Indicators",5,"Western Region",18
"Barkhamsted",2013,900502760,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",3,"Western Region",18
"Barkhamsted",2013,900502760,"Referrals","Number","Birth to Three Indicators",9,"Western Region",18
"Barkhamsted",2013,900502760,"Referred that are Evaluated","Percent","Birth to Three Indicators",88.89,"Western Region",18
"Barkhamsted",2013,900502760,"Individual Family Service Plans","Percent","Birth to Three Indicators",27.78,"Western Region",18
"Barkhamsted",2013,900502760,"Total Served","Percent","Birth to Three Indicators",27.78,"Western Region",18
"Barkhamsted",2013,900502760,"Referrals","Percent","Birth to Three Indicators",50,"Western Region",18
"Barkhamsted",2013,900502760,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",60,"Western Region",18
"Barkhamsted",2013,900502760,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",16.67,"Western Region",18
"Barkhamsted",2013,900502760,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,"Western Region",18
"Barkhamsted",2013,900502760,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"Western Region",18
"Barkhamsted",2013,900502760,"Evaluated that are Eligible","Percent","Birth to Three Indicators",62.5,"Western Region",18
"Barkhamsted",2013,900502760,"Evaluations","Percent","Birth to Three Indicators",44.44,"Western Region",18
"Beacon Falls",2013,900903250,"Total Eligible","Number","Birth to Three Indicators",6,"Western Region",48
"Beacon Falls",2013,900903250,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",1,"Western Region",48
"Beacon Falls",2013,900903250,"Evaluations","Number","Birth to Three Indicators",12,"Western Region",48
"Beacon Falls",2013,900903250,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",16.67,"Western Region",48
"Beacon Falls",2013,900903250,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"Western Region",48
"Beacon Falls",2013,900903250,"Referrals","Number","Birth to Three Indicators",12,"Western Region",48
"Beacon Falls",2013,900903250,"Total Served","Number","Birth to Three Indicators",5,"Western Region",48
"Beacon Falls",2013,900903250,"Evaluated that are Eligible","Percent","Birth to Three Indicators",50,"Western Region",48
"Beacon Falls",2013,900903250,"Referred that are Evaluated","Percent","Birth to Three Indicators",100,"Western Region",48
"Beacon Falls",2013,900903250,"Total Eligible","Percent","Birth to Three Indicators",12.5,"Western Region",48
"Beacon Falls",2013,900903250,"Individual Family Service Plans","Number","Birth to Three Indicators",5,"Western Region",48
"Beacon Falls",2013,900903250,"Referrals","Percent","Birth to Three Indicators",25,"Western Region",48
"Beacon Falls",2013,900903250,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",2.08,"Western Region",48
"Beacon Falls",2013,900903250,"Individual Family Service Plans","Percent","Birth to Three Indicators",10.42,"Western Region",48
"Beacon Falls",2013,900903250,"Total Served","Percent","Birth to Three Indicators",10.42,"Western Region",48
"Beacon Falls",2013,900903250,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",83.33,"Western Region",48
"Beacon Falls",2013,900903250,"Evaluations","Percent","Birth to Three Indicators",25,"Western Region",48
"Berlin",2013,900304300,"Total Served","Percent","Birth to Three Indicators",15.13,"Central Region",152
"Berlin",2013,900304300,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",11,"Central Region",152
"Berlin",2013,900304300,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",92,"Central Region",152
"Berlin",2013,900304300,"Individual Family Service Plans","Percent","Birth to Three Indicators",15.13,"Central Region",152
"Berlin",2013,900304300,"Total Served","Number","Birth to Three Indicators",23,"Central Region",152
"Berlin",2013,900304300,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",44,"Central Region",152
"Berlin",2013,900304300,"Evaluated that are Eligible","Percent","Birth to Three Indicators",75.76,"Central Region",152
"Berlin",2013,900304300,"Referrals","Percent","Birth to Three Indicators",23.03,"Central Region",152
"Berlin",2013,900304300,"Individual Family Service Plans","Number","Birth to Three Indicators",23,"Central Region",152
"Berlin",2013,900304300,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"Central Region",152
"Berlin",2013,900304300,"Evaluations","Percent","Birth to Three Indicators",21.71,"Central Region",152
"Berlin",2013,900304300,"Evaluations","Number","Birth to Three Indicators",33,"Central Region",152
"Berlin",2013,900304300,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",7.24,"Central Region",152
"Berlin",2013,900304300,"Referrals","Number","Birth to Three Indicators",35,"Central Region",152
"Berlin",2013,900304300,"Referred that are Evaluated","Percent","Birth to Three Indicators",94.29,"Central Region",152
"Berlin",2013,900304300,"Total Eligible","Number","Birth to Three Indicators",25,"Central Region",152
"Berlin",2013,900304300,"Total Eligible","Percent","Birth to Three Indicators",16.45,"Central Region",152
"Bethany",2013,900904580,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,"South Central Region",43
"Bethany",2013,900904580,"Total Served","Number","Birth to Three Indicators",2,"South Central Region",43
"Bethany",2013,900904580,"IFSP Receiving Services","Percent","Birth to Three Indicators",50,"South Central Region",43
"Bethany",2013,900904580,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",25,"South Central Region",43
"Bethany",2013,900904580,"Individual Family Service Plans","Percent","Birth to Three Indicators",9.3,"South Central Region",43
"Bethany",2013,900904580,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",1,"South Central Region",43
"Bethany",2013,900904580,"Evaluated that are Eligible","Percent","Birth to Three Indicators",57.14,"South Central Region",43
"Bethany",2013,900904580,"Referred that are Evaluated","Percent","Birth to Three Indicators",87.5,"South Central Region",43
"Bethany",2013,900904580,"Total Eligible","Percent","Birth to Three Indicators",9.3,"South Central Region",43
"Bethany",2013,900904580,"Individual Family Service Plans","Number","Birth to Three Indicators",4,"South Central Region",43
"Bethany",2013,900904580,"Total Eligible","Number","Birth to Three Indicators",4,"South Central Region",43
"Bethany",2013,900904580,"Referrals","Percent","Birth to Three Indicators",18.6,"South Central Region",43
"Bethany",2013,900904580,"Evaluations","Percent","Birth to Three Indicators",16.28,"South Central Region",43
"Bethany",2013,900904580,"Referrals","Number","Birth to Three Indicators",8,"South Central Region",43
"Bethany",2013,900904580,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",2.33,"South Central Region",43
"Bethany",2013,900904580,"Evaluations","Number","Birth to Three Indicators",7,"South Central Region",43
"Bethany",2013,900904580,"Total Served","Percent","Birth to Three Indicators",4.65,"South Central Region",43
"Bethel",2013,900104720,"Evaluations","Percent","Birth to Three Indicators",19.01,"Western Region",142
"Bethel",2013,900104720,"Total Served","Percent","Birth to Three Indicators",10.56,"Western Region",142
"Bethel",2013,900104720,"Referrals","Percent","Birth to Three Indicators",19.01,"Western Region",142
"Bethel",2013,900104720,"Total Eligible","Number","Birth to Three Indicators",17,"Western Region",142
"Bethel",2013,900104720,"Total Eligible","Percent","Birth to Three Indicators",11.97,"Western Region",142
"Bethel",2013,900104720,"Individual Family Service Plans","Number","Birth to Three Indicators",16,"Western Region",142
"Bethel",2013,900104720,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",94.12,"Western Region",142
"Bethel",2013,900104720,"Total Served","Number","Birth to Three Indicators",15,"Western Region",142
"Bethel",2013,900104720,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",47.06,"Western Region",142
"Bethel",2013,900104720,"Evaluations","Number","Birth to Three Indicators",27,"Western Region",142
"Bethel",2013,900104720,"Individual Family Service Plans","Percent","Birth to Three Indicators",11.27,"Western Region",142
"Bethel",2013,900104720,"Evaluated that are Eligible","Percent","Birth to Three Indicators",62.96,"Western Region",142
"Bethel",2013,900104720,"Referred that are Evaluated","Percent","Birth to Three Indicators",100,"Western Region",142
"Bethel",2013,900104720,"Referrals","Number","Birth to Three Indicators",27,"Western Region",142
"Bethel",2013,900104720,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",8,"Western Region",142
"Bethel",2013,900104720,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",5.63,"Western Region",142
"Bethel",2013,900104720,"IFSP Receiving Services","Percent","Birth to Three Indicators",93.75,"Western Region",142
"Bethlehem",2013,900504930,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"Western Region",27
"Bethlehem",2013,900504930,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,"Western Region",27
"Bethlehem",2013,900504930,"Referrals","Number","Birth to Three Indicators",5,"Western Region",27
"Bethlehem",2013,900504930,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",25,"Western Region",27
"Bethlehem",2013,900504930,"Referrals","Percent","Birth to Three Indicators",18.52,"Western Region",27
"Bethlehem",2013,900504930,"Evaluations","Number","Birth to Three Indicators",5,"Western Region",27
"Bethlehem",2013,900504930,"Individual Family Service Plans","Number","Birth to Three Indicators",4,"Western Region",27
"Bethlehem",2013,900504930,"Total Served","Percent","Birth to Three Indicators",14.81,"Western Region",27
"Bethlehem",2013,900504930,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",3.7,"Western Region",27
"Bethlehem",2013,900504930,"Evaluated that are Eligible","Percent","Birth to Three Indicators",80,"Western Region",27
"Bethlehem",2013,900504930,"Referred that are Evaluated","Percent","Birth to Three Indicators",100,"Western Region",27
"Bethlehem",2013,900504930,"Total Eligible","Number","Birth to Three Indicators",4,"Western Region",27
"Bethlehem",2013,900504930,"Evaluations","Percent","Birth to Three Indicators",18.52,"Western Region",27
"Bethlehem",2013,900504930,"Total Served","Number","Birth to Three Indicators",4,"Western Region",27
"Bethlehem",2013,900504930,"Individual Family Service Plans","Percent","Birth to Three Indicators",14.81,"Western Region",27
"Bethlehem",2013,900504930,"Total Eligible","Percent","Birth to Three Indicators",14.81,"Western Region",27
"Bethlehem",2013,900504930,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",1,"Western Region",27
"Bloomfield",2013,900305910,"Evaluations","Number","Birth to Three Indicators",16,"North Central Region",145
"Bloomfield",2013,900305910,"Total Eligible","Percent","Birth to Three Indicators",5.52,"North Central Region",145
"Bloomfield",2013,900305910,"Individual Family Service Plans","Number","Birth to Three Indicators",8,"North Central Region",145
"Bloomfield",2013,900305910,"Total Served","Number","Birth to Three Indicators",7,"North Central Region",145
"Bloomfield",2013,900305910,"Referred that are Evaluated","Percent","Birth to Three Indicators",88.89,"North Central Region",145
"Bloomfield",2013,900305910,"Evaluations","Percent","Birth to Three Indicators",11.03,"North Central Region",145
"Bloomfield",2013,900305910,"Total Eligible","Number","Birth to Three Indicators",8,"North Central Region",145
"Bloomfield",2013,900305910,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",4,"North Central Region",145
"Bloomfield",2013,900305910,"IFSP Receiving Services","Percent","Birth to Three Indicators",87.5,"North Central Region",145
"Bloomfield",2013,900305910,"Evaluated that are Eligible","Percent","Birth to Three Indicators",50,"North Central Region",145
"Bloomfield",2013,900305910,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,"North Central Region",145
"Bloomfield",2013,900305910,"Individual Family Service Plans","Percent","Birth to Three Indicators",5.52,"North Central Region",145
"Bloomfield",2013,900305910,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",2.76,"North Central Region",145
"Bloomfield",2013,900305910,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",50,"North Central Region",145
"Bloomfield",2013,900305910,"Total Served","Percent","Birth to Three Indicators",4.83,"North Central Region",145
"Bloomfield",2013,900305910,"Referrals","Number","Birth to Three Indicators",18,"North Central Region",145
"Bloomfield",2013,900305910,"Referrals","Percent","Birth to Three Indicators",12.41,"North Central Region",145
"Bolton",2013,901306260,"Individual Family Service Plans","Number","Birth to Three Indicators",3,"North Central Region",39
"Bolton",2013,901306260,"Total Eligible","Number","Birth to Three Indicators",4,"North Central Region",39
"Bolton",2013,901306260,"Referrals","Percent","Birth to Three Indicators",15.38,"North Central Region",39
"Bolton",2013,901306260,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"North Central Region",39
"Bolton",2013,901306260,"Referred that are Evaluated","Percent","Birth to Three Indicators",100,"North Central Region",39
"Bolton",2013,901306260,"Evaluations","Number","Birth to Three Indicators",6,"North Central Region",39
"Bolton",2013,901306260,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",50,"North Central Region",39
"Bolton",2013,901306260,"Total Eligible","Percent","Birth to Three Indicators",10.26,"North Central Region",39
"Bolton",2013,901306260,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",2,"North Central Region",39
"Bolton",2013,901306260,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",75,"North Central Region",39
"Bolton",2013,901306260,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",5.13,"North Central Region",39
"Bolton",2013,901306260,"Evaluations","Percent","Birth to Three Indicators",15.38,"North Central Region",39
"Bolton",2013,901306260,"Evaluated that are Eligible","Percent","Birth to Three Indicators",66.67,"North Central Region",39
"Bolton",2013,901306260,"Individual Family Service Plans","Percent","Birth to Three Indicators",7.69,"North Central Region",39
"Bolton",2013,901306260,"Referrals","Number","Birth to Three Indicators",6,"North Central Region",39
"Bolton",2013,901306260,"Total Served","Percent","Birth to Three Indicators",7.69,"North Central Region",39
"Bolton",2013,901306260,"Total Served","Number","Birth to Three Indicators",3,"North Central Region",39
"Bozrah",2013,901106820,"Individual Family Service Plans","Number","Birth to Three Indicators",2,"Eastern Region",23
"Bozrah",2013,901106820,"Total Served","Percent","Birth to Three Indicators",8.7,"Eastern Region",23
"Bozrah",2013,901106820,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",100,"Eastern Region",23
"Bozrah",2013,901106820,"IFSP Receiving Services","Percent","Birth to Three Indicators",100,"Eastern Region",23
"Bozrah",2013,901106820,"Total Eligible","Percent","Birth to Three Indicators",8.7,"Eastern Region",23
"Bozrah",2013,901106820,"Total Eligible","Number","Birth to Three Indicators",2,"Eastern Region",23
"Bozrah",2013,901106820,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",0,"Eastern Region",23
"Bozrah",2013,901106820,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",0,"Eastern Region",23
"Bozrah",2013,901106820,"Evaluations","Percent","Birth to Three Indicators",8.7,"Eastern Region",23
"Bozrah",2013,901106820,"Evaluations","Number","Birth to Three Indicators",2,"Eastern Region",23
"Bozrah",2013,901106820,"Total Served","Number","Birth to Three Indicators",2,"Eastern Region",23
"Bozrah",2013,901106820,"Referred that are Evaluated","Percent","Birth to Three Indicators",100,"Eastern Region",23
"Bozrah",2013,901106820,"Referrals","Percent","Birth to Three Indicators",8.7,"Eastern Region",23
"Bozrah",2013,901106820,"Evaluated that are Eligible","Percent","Birth to Three Indicators",100,"Eastern Region",23
"Bozrah",2013,901106820,"Referrals","Number","Birth to Three Indicators",2,"Eastern Region",23
"Bozrah",2013,901106820,"Individual Family Service Plans","Percent","Birth to Three Indicators",8.7,"Eastern Region",23
"Bozrah",2013,901106820,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",0,"Eastern Region",23
"Branford",2013,900907310,"IFSP Receiving Services","Percent","Birth to Three Indicators",95.45,"South Central Region",249
"Branford",2013,900907310,"Total Eligible","Percent","Birth to Three Indicators",10.04,"South Central Region",249
"Branford",2013,900907310,"Individual Family Service Plans","Number","Birth to Three Indicators",22,"South Central Region",249
"Branford",2013,900907310,"Referred that are Evaluated","Percent","Birth to Three Indicators",90.48,"South Central Region",249
"Branford",2013,900907310,"Referrals","Number","Birth to Three Indicators",42,"South Central Region",249
"Branford",2013,900907310,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",88,"South Central Region",249
"Branford",2013,900907310,"Total Served","Percent","Birth to Three Indicators",8.43,"South Central Region",249
"Branford",2013,900907310,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",48,"South Central Region",249
"Branford",2013,900907310,"Evaluations","Percent","Birth to Three Indicators",15.26,"South Central Region",249
"Branford",2013,900907310,"Evaluated that are Eligible","Percent","Birth to Three Indicators",65.79,"South Central Region",249
"Branford",2013,900907310,"Referrals","Percent","Birth to Three Indicators",16.87,"South Central Region",249
"Branford",2013,900907310,"Evaluations","Number","Birth to Three Indicators",38,"South Central Region",249
"Branford",2013,900907310,"Individual Family Service Plans","Percent","Birth to Three Indicators",8.84,"South Central Region",249
"Branford",2013,900907310,"Total Eligible","Number","Birth to Three Indicators",25,"South Central Region",249
"Branford",2013,900907310,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",4.82,"South Central Region",249
"Branford",2013,900907310,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",12,"South Central Region",249
"Branford",2013,900907310,"Total Served","Number","Birth to Three Indicators",21,"South Central Region",249
"Bridgeport",2013,900108070,"Total Served","Number","Birth to Three Indicators",264,"Southwest Region",2069
"Bridgeport",2013,900108070,"Total Eligible","Number","Birth to Three Indicators",288,"Southwest Region",2069
"Bridgeport",2013,900108070,"Individual Family Service Plans","Percent","Birth to Three Indicators",13.1,"Southwest Region",2069
"Bridgeport",2013,900108070,"Individual Family Service Plans","Number","Birth to Three Indicators",271,"Southwest Region",2069
"Bridgeport",2013,900108070,"IFSP Receiving Services","Percent","Birth to Three Indicators",97.42,"Southwest Region",2069
"Bridgeport",2013,900108070,"Total Served","Percent","Birth to Three Indicators",12.76,"Southwest Region",2069
"Bridgeport",2013,900108070,"Referrals","Percent","Birth to Three Indicators",20.49,"Southwest Region",2069
"Bridgeport",2013,900108070,"Referrals","Number","Birth to Three Indicators",424,"Southwest Region",2069
"Bridgeport",2013,900108070,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",53.82,"Southwest Region",2069
"Bridgeport",2013,900108070,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",7.49,"Southwest Region",2069
"Bridgeport",2013,900108070,"Total Eligible","Percent","Birth to Three Indicators",13.92,"Southwest Region",2069
"Bridgeport",2013,900108070,"Evaluations","Percent","Birth to Three Indicators",18.95,"Southwest Region",2069
"Bridgeport",2013,900108070,"Evaluated that are Eligible","Percent","Birth to Three Indicators",73.47,"Southwest Region",2069
"Bridgeport",2013,900108070,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",94.1,"Southwest Region",2069
"Bridgeport",2013,900108070,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",155,"Southwest Region",2069
"Bridgeport",2013,900108070,"Evaluations","Number","Birth to Three Indicators",392,"Southwest Region",2069
"Bridgeport",2013,900108070,"Referred that are Evaluated","Percent","Birth to Three Indicators",92.45,"Southwest Region",2069
"Bridgewater",2013,900508210,"Eligible that Exit to ECSE","Percent","Birth to Three Indicators",0,"Western Region",3
"Bridgewater",2013,900508210,"Evaluations","Percent","Birth to Three Indicators",0,"Western Region",3
"Bridgewater",2013,900508210,"Total Eligible","Number","Birth to Three Indicators",0,"Western Region",3
"Bridgewater",2013,900508210,"Total Eligible","Percent","Birth to Three Indicators",0,"Western Region",3
"Bridgewater",2013,900508210,"Individual Family Service Plans","Percent","Birth to Three Indicators",0,"Western Region",3
"Bridgewater",2013,900508210,"Individual Family Service Plans","Number","Birth to Three Indicators",0,"Western Region",3
"Bridgewater",2013,900508210,"Evaluated that are Eligible","Percent","Birth to Three Indicators",0,"Western Region",3
"Bridgewater",2013,900508210,"Total Served","Percent","Birth to Three Indicators",0,"Western Region",3
"Bridgewater",2013,900508210,"Total Served","Number","Birth to Three Indicators",0,"Western Region",3
"Bridgewater",2013,900508210,"Eligible that Recieve IFSP","Percent","Birth to Three Indicators",0,"Western Region",3
"Bridgewater",2013,900508210,"Evaluations","Number","Birth to Three Indicators",0,"Western Region",3
"Bridgewater",2013,900508210,"Referrals","Percent","Birth to Three Indicators",0,"Western Region",3
"Bridgewater",2013,900508210,"Exited to Early Childhood Special Education","Percent","Birth to Three Indicators",0,"Western Region",3
"Bridgewater",2013,900508210,"Referred that are Evaluated","Percent","Birth to Three Indicators",0,"Western Region",3
"Bridgewater",2013,900508210,"Referrals","Number","Birth to Three Indicators",0,"Western Region",3
"Bridgewater",2013,900508210,"IFSP Receiving Services","Percent","Birth to Three Indicators",0,"Western Region",3
"Bridgewater",2013,900508210,"Exited to Early Childhood Special Education","Number","Birth to Three Indicators",0,"Western Region",3
"Bristol",2013,900308490,"IFSP Receiving Services","Percent","Birth to Three Indicators",97.92,"Central Region",626
"Bristol",2013,900308490,"Total Eligible","Number","Birth to Three Indicators",102,"Central Region",626
"Bristol",2013,900308490,"Evaluated that are Eligible","Percent","Birth to Three Indicators",73.91,"Central Region",626
